p_spot,p_free_racks,b_battery_pack,b_active,b_pedelec_battery,p_address,p_bike_racks,p_lat,b_lock_types,p_free_special_racks,p_name,b_state,p_number,p_bikes,p_uid,p_place_type,datetime,p_bike,trip,p_terminal_type,b_bike_type,p_booked_bikes,b_electric_lock,p_lng,p_rack_locks,b_number,p_bike_types,p_maintenance,p_special_racks,b_boardcomputer,city
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 00:00:00,False,first,,71,0,True,13.7388753890991,False,93474,"{""71"": 4}",False,0,7551005324,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 20:57:00,False,start,,71,0,True,13.7388753890991,False,93474,"{""71"": 4}",False,0,7551005324,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 20:59:00,False,end,,71,0,True,13.7388753890991,False,93474,"{""71"": 4}",False,0,7551005324,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,3,40,0,2020-01-03 23:59:00,False,last,,71,0,True,13.7388753890991,False,93474,"{""71"": 3}",False,0,7551005324,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 00:00:00,False,first,,71,0,True,13.7388753890991,False,93393,"{""71"": 4}",False,0,7551003834,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 19:26:00,False,start,,71,0,True,13.7388753890991,False,93393,"{""71"": 4}",False,0,7551003834,dresden
True,0,,True,,,6,51.08737775269143,frame_lock,0,DVB Trachenberger Straße,ok,4305,9,265881,0,2020-01-03 19:36:00,False,end,stele,71,0,True,13.730077743530273,False,93393,"{""15"": 1, ""71"": 8}",False,0,7551003834,dresden
True,0,,True,,,6,51.08737775269143,frame_lock,0,DVB Trachenberger Straße,ok,4305,9,265881,0,2020-01-03 19:38:00,False,start,stele,71,0,True,13.730077743530273,False,93393,"{""15"": 1, ""71"": 8}",False,0,7551003834,dresden
True,0,,True,,,0,51.066946872474276,frame_lock,0,Alaunstraße,ok,4374,5,264576,0,2020-01-03 19:53:00,False,end,,71,0,True,13.751809000968931,False,93393,"{""71"": 5}",False,0,7551003834,dresden
True,0,,True,,,0,51.066946872474276,frame_lock,0,Alaunstraße,ok,4374,8,264576,0,2020-01-03 20:57:00,False,start,,71,0,True,13.751809000968931,False,93393,"{""71"": 8}",False,0,7551003834,dresden
True,0,,True,,,0,51.066946872474276,frame_lock,0,Alaunstraße,ok,4374,8,264576,0,2020-01-03 20:59:00,False,end,,71,0,True,13.751809000968931,False,93393,"{""71"": 8}",False,0,7551003834,dresden
True,0,,True,,,0,51.066946872474276,frame_lock,0,Alaunstraße,ok,4374,9,264576,0,2020-01-03 23:59:00,False,last,,71,0,True,13.751809000968931,False,93393,"{""71"": 9}",False,0,7551003834,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 00:00:00,False,first,,71,0,True,13.7388753890991,False,93572,"{""71"": 4}",False,0,7551005295,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 19:22:00,False,start,,71,0,True,13.7388753890991,False,93572,"{""71"": 4}",False,0,7551005295,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 19:24:00,False,end,,71,0,True,13.7388753890991,False,93572,"{""71"": 4}",False,0,7551005295,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 20:57:00,False,start,,71,0,True,13.7388753890991,False,93572,"{""71"": 4}",False,0,7551005295,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 20:59:00,False,end,,71,0,True,13.7388753890991,False,93572,"{""71"": 4}",False,0,7551005295,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,3,40,0,2020-01-03 23:59:00,False,last,,71,0,True,13.7388753890991,False,93572,"{""71"": 3}",False,0,7551005295,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 00:00:00,False,first,,71,0,True,13.7388753890991,False,93618,"{""71"": 4}",False,0,7551002970,dresden
True,0,,True,,,0,51.0741334233362,frame_lock,0,NH-Hotel / Hansa Str. 43,ok,4306,4,40,0,2020-01-03 02:33:00,False,start,,71,0,True,13.7388753890991,False,93618,"{""71"": 4}",False,0,7551002970,dresden
True,0,,True,,,0,51.08974650394621,frame_lock,0,Hubertusplatz,ok,4356,1,264558,0,2020-01-03 02:41:00,False,end,,71,0,True,13.72336685657501,False,93618,"{""71"": 1}",False,0,7551002970,dresden
True,0,,True,,,0,51.08974650394621,frame_lock,0,Hubertusplatz,ok,4356,1,264558,0,2020-01-03 16:57:00,False,start,,71,0,True,13.72336685657501,False,93618,"{""71"": 1}",False,0,7551002970,dresden
True,0,,True,,,6,51.08737775269143,frame_lock,0,DVB Trachenberger Straße,ok,4305,9,265881,0,2020-01-03 17:03:00,False,end,stele,71,0,True,13.730077743530273,False,93618,"{""15"": 1, ""71"": 8}",False,0,7551002970,dresden
True,0,,True,,,6,51.08737775269143,frame_lock,0,DVB Trachenberger Straße,ok,4305,8,265881,0,2020-01-03 20:57:00,False,start,stele,71,0,True,13.730077743530273,False,93618,"{""15"": 1, ""71"": 7}",False,0,7551002970,dresden
True,0,,True,,,6,51.08737775269143,frame_lock,0,DVB Trachenberger Straße,ok,4305,8,265881,0,2020-01-03 20:59:00,False,end,stele,71,0,True,13.730077743530273,False,93618,"{""15"": 1, ""71"": 7}",False,0,7551002970,dresden
True,0,,True,,,6,51.08737775269143,frame_lock,0,DVB Trachenberger Straße,ok,4305,8,265881,0,2020-01-03 23:59:00,False,last,stele,71,0,True,13.730077743530273,False,93618,"{""15"": 1, ""71"": 7}",False,0,7551002970,dresden
True,0,,True,,,0,51.0651837723282,frame_lock,0,Bf. Dresden-Neustadt,ok,4332,1,73,0,2020-01-03 00:00:00,False,first,free,71,0,True,13.7412196397781,False,93785,"{""71"": 1}",False,0,7551002875,dresden
True,0,,True,,,0,51.0651837723282,frame_lock,0,Bf. Dresden-Neustadt,ok,4332,2,73,0,2020-01-03 06:48:00,False,last,free,71,0,True,13.7412196397781,False,93785,"{""71"": 2}",False,0,7551002875,dresden
True,0,,True,,,0,51.040476453474334,frame_lock,0,Hauptbahnhof,ok,4313,1,120,0,2020-01-03 00:00:00,False,first,,71,0,True,13.733623623847961,False,93797,"{""71"": 1}",True,0,7551006891,dresden
True,0,,True,,,0,51.040476453474334,frame_lock,0,Hauptbahnhof,ok,4313,1,120,0,2020-01-03 01:04:00,False,start,,71,0,True,13.733623623847961,False,93797,"{""71"": 1}",True,0,7551006891,dresden
True,0,,True,,,0,51.0381557770824,frame_lock,0,Hepkestraße,ok,4319,3,121812,0,2020-01-03 01:20:00,False,end,,71,0,True,13.7863236665726,False,93797,"{""71"": 3}",False,0,7551006891,dresden
True,0,,True,,,0,51.0381557770824,frame_lock,0,Hepkestraße,ok,4319,3,121812,0,2020-01-03 07:08:00,False,start,,71,0,True,13.7863236665726,False,93797,"{""71"": 3}",False,0,7551006891,dresden
True,0,,True,,,0,51.05422272773753,frame_lock,0,Uniklinikum,ok,4395,3,264602,0,2020-01-03 07:18:00,False,end,,71,0,True,13.781125545501709,False,93797,"{""71"": 3}",False,0,7551006891,dresden
True,0,,True,,,0,51.05422272773753,frame_lock,0,Uniklinikum,ok,4395,5,264602,0,2020-01-03 20:57:00,False,start,,71,0,True,13.781125545501709,False,93797,"{""71"": 5}",False,0,7551006891,dresden
True,0,,True,,,0,51.05422272773753,frame_lock,0,Uniklinikum,ok,4395,5,264602,0,2020-01-03 20:59:00,False,end,,71,0,True,13.781125545501709,False,93797,"{""71"": 5}",False,0,7551006891,dresden
True,0,,True,,,0,51.05422272773753,frame_lock,0,Uniklinikum,ok,4395,6,264602,0,2020-01-03 23:59:00,False,last,,71,0,True,13.781125545501709,False,93797,"{""71"": 6}",False,0,7551006891,dresden
True,0,,True,,,0,51.06389595884549,frame_lock,0,Albertplatz,ok,4302,1,2985,0,2020-01-03 00:00:00,False,first,,71,0,True,13.747313618659973,False,93581,"{""71"": 1}",False,0,7551006433,dresden
True,0,,True,,,0,51.06389595884549,frame_lock,0,Albertplatz,ok,4302,1,2985,0,2020-01-03 13:44:00,False,start,,71,0,True,13.747313618659973,False,93581,"{""71"": 1}",False,0,7551006433,dresden
False,0,,True,,,0,51.064933333333,frame_lock,0,BIKE 93581,ok,0,1,26585463,12,2020-01-03 13:52:00,True,end,,71,0,True,13.750562222222,False,93581,"{""71"": 1}",False,0,7551006433,dresden
True,0,,True,,,0,51.068905419326775,frame_lock,0,Bischofsweg / Kamenzer Str.,ok,4312,1,176054,0,2020-01-03 16:36:00,False,start,,71,0,True,13.758975863456726,False,93581,"{""71"": 1}",False,0,7551006433,dresden
