,h3_hex_small_id,geometry
36,881f1b558dfffff,"POLYGON ((13.64005291725078 51.04485560372218, 13.63786835989521 51.04052587804464, 13.64305286115003 51.03747061373598, 13.65042208888326 51.0387449003116, 13.65260746457434 51.04307459078142, 13.6474227942649 51.04613002990474, 13.64005291725078 51.04485560372218))"
37,881f1b5497fffff,"POLYGON ((13.75722924001727 51.07690461584772, 13.75503552084012 51.07257810026047, 13.76021935189257 51.06951874483175, 13.76759706713458 51.07078572967453, 13.76979160370186 51.0751122086203, 13.76460760770595 51.07817173938616, 13.75722924001727 51.07690461584772))"
38,881f1b09ebfffff,"POLYGON ((13.87028648134513 51.06072003907038, 13.86808541378544 51.05639385783006, 13.87326506073808 51.05332805613951, 13.8806459360654 51.05458826004857, 13.88284781897969 51.05891440350445, 13.87766801128149 51.06198038085699, 13.87028648134513 51.06072003907038))"
39,881f1b568dfffff,"POLYGON ((13.68599517738535 51.13571515916958, 13.68380456597186 51.13139131675053, 13.68899464070341 51.12833861984056, 13.69637549473845 51.12960959006397, 13.69856692596066 51.1339333963158, 13.69337668340789 51.13698626853287, 13.68599517738535 51.13571515916958))"
40,881f1b56a7fffff,"POLYGON ((13.68542267058889 51.10798635038282, 13.6832329717965 51.10366086105292, 13.68842099374826 51.10060671369379, 13.6957988822695 51.10187788048296, 13.69798940022583 51.10620333379273, 13.69280121056564 51.1092576563549, 13.68542267058889 51.10798635038282))"
41,881f1b0833fffff,"POLYGON ((13.90565485498257 51.09044800870365, 13.90345039151757 51.08612399268133, 13.90863130814944 51.08305802838366, 13.91601684790693 51.08431590424021, 13.91822212690008 51.08863988194653, 13.91304105067727 51.09170602213356, 13.90565485498257 51.09044800870365))"
42,881f1b5467fffff,"POLYGON ((13.59992198364905 51.08531720056239, 13.59773895432598 51.08098941554091, 13.602927504205 51.07793829396541, 13.61029925418607 51.0792147826119, 13.6124831033727 51.08354253265666, 13.60729438278283 51.08659382905313, 13.59992198364905 51.08531720056239))"
43,881f1b09bbfffff,"POLYGON ((13.92350455386049 51.0460939822964, 13.92130025355539 51.04176755046294, 13.9264774001414 51.03869834506864, 13.93385900583894 51.03995539574221, 13.93606412037132 51.04428178928877, 13.93088681504855 51.04735117046989, 13.92350455386049 51.0460939822964))"
44,881f1b460bfffff,"POLYGON ((13.75005116918468 51.03616380279797, 13.74785923050613 51.03183480065081, 13.75304022161624 51.0287736314996, 13.76041331648586 51.03004128935259, 13.7626060717044 51.03437025514137, 13.75742491558211 51.03743159945684, 13.75005116918468 51.03616380279797))"
45,881f1b0925fffff,"POLYGON ((13.78174331221197 51.04556034495893, 13.77954887475394 51.04123225662042, 13.7847297325302 51.03817002098085, 13.79210519173604 51.03943569839426, 13.79430044549215 51.0437637499834, 13.78911942381331 51.04682616092981, 13.78174331221197 51.04556034495893))"
46,881f1b54a5fffff,"POLYGON ((13.69384035999742 51.05809537941131, 13.69165164291877 51.05376703738833, 13.69683573165824 51.05070981552803, 13.70420870470719 51.05198076066212, 13.70639823965556 51.05630906682619, 13.70121398375382 51.05936646373649, 13.69384035999742 51.05809537941131))"
47,881f1b5423fffff,"POLYGON ((13.62804709641397 51.07438612551667, 13.62586244978578 51.07005800831424, 13.63104945874161 51.06700491104291, 13.63842128402847 51.06827975611554, 13.64060674985873 51.07260783809115, 13.63541957126835 51.07566111024239, 13.62804709641397 51.07438612551667))"
48,881f1b09e5fffff,"POLYGON ((13.85112513691854 51.04954470553779, 13.84892575281114 51.04521764424041, 13.85410507730168 51.04215219371605, 13.86148394736177 51.04341362895357, 13.86368414684433 51.04774065272992, 13.85850466096097 51.05080627881105, 13.85112513691854 51.04954470553779))"
49,881f1b19abfffff,"POLYGON ((13.75903369235846 51.16010427948196, 13.75683722363344 51.15578270796469, 13.76202720747956 51.15272769917439, 13.769413825392 51.15399408627313, 13.77161111343723 51.15831562070817, 13.76642096431897 51.1613708051481, 13.75903369235846 51.16010427948196))"
50,881f1b19e1fffff,"POLYGON ((13.73088183976126 51.17105145560719, 13.72868698625562 51.16673021347768, 13.73387852618961 51.16367718142991, 13.741265086051 51.16494521593971, 13.743460759546 51.16926642123599, 13.73826905325931 51.1723196288771, 13.73088183976126 51.17105145560719))"
51,881f1b464dfffff,"POLYGON ((13.70939233335147 51.04892282240107, 13.70720282199746 51.04459411406086, 13.7123858235035 51.0415356345181, 13.71975850298458 51.04280568826648, 13.72194883176785 51.04713436062529, 13.71676566370935 51.05019301523852, 13.70939233335147 51.04892282240107))"
52,881f1b0923fffff,"POLYGON ((13.80387300474925 51.04935642546163, 13.80167690964013 51.04502881302069, 13.80685746732709 51.04196568598083, 13.81423428330651 51.04322999600718, 13.81643119447918 51.04755757143985, 13.81125047367801 51.05062087387574, 13.80387300474925 51.04935642546163))"
53,881f1b56a3fffff,"POLYGON ((13.69499175195696 51.11358270702704, 13.69280121056564 51.1092576563549, 13.69798940022583 51.10620333379273, 13.70536829873276 51.10747388666729, 13.707559659281 51.11179890118712, 13.70237130223415 51.11485339900611, 13.69499175195696 51.11358270702704))"
54,881f1b09c5fffff,"POLYGON ((13.86730730027647 51.06811107904669, 13.86510620632152 51.06378530033638, 13.87028648134513 51.06072003907038, 13.87766801128149 51.06198038085699, 13.87986992080778 51.06630612177802, 13.87468948489583 51.06937155872299, 13.86730730027647 51.06811107904669))"
55,881f1b0b33fffff,"POLYGON ((13.81768059347262 51.10306371192704, 13.81548184507759 51.09873943124324, 13.82066603234748 51.09567848196468, 13.82804913094349 51.096941637752, 13.83024869645832 51.10126588100768, 13.82506434632669 51.10432700592551, 13.81768059347262 51.10306371192704))"
56,881f1b0b61fffff,"POLYGON ((13.75184594093343 51.11941169347081, 13.7496512571029 51.11508763032711, 13.75483839430995 51.11203080616006, 13.76222038075778 51.11329786968352, 13.76441588305536 51.11762189602921, 13.75922858050708 51.1206788956708, 13.75184594093343 51.11941169347081))"
57,881f1b5689fffff,"POLYGON ((13.69556813809385 51.14130967191553, 13.69337668340789 51.13698626853287, 13.69856692596066 51.1339333963158, 13.70594879076717 51.13520375214186, 13.70814106525483 51.13952711922509, 13.70295065520306 51.14258016680313, 13.69556813809385 51.14130967191553))"
58,881f1b444bfffff,"POLYGON ((13.7524417869433 51.00099899550587, 13.7502507861015 50.99666794735087, 13.75542910527294 50.99360479011796, 13.76279859011404 50.99487250601595, 13.76499040663875 50.99920351796322, 13.75981192270814 51.00226685024153, 13.7524417869433 51.00099899550587))"
59,881f1b4661fffff,"POLYGON ((13.70581822489317 51.02854746315278, 13.70362960160727 51.02421751278898, 13.70881118260927 51.02115812587467, 13.71618155355092 51.02242851436122, 13.71837099384047 51.02675842888507, 13.71318924625327 51.0298179907837, 13.70581822489317 51.02854746315278))"
60,881f1b095dfffff,"POLYGON ((13.81108521646603 51.09009002707054, 13.80888733614818 51.08576490366485, 13.81407073189466 51.08270358899575, 13.82145217106993 51.08396722218444, 13.82365086829994 51.08829230829879, 13.81846730951172 51.09135379853714, 13.81108521646603 51.09009002707054))"
61,881f1b19a1fffff,"POLYGON ((13.74945096116934 51.15451556649532, 13.74725533635338 51.15019355490289, 13.75244515460395 51.14713872170856, 13.75983076333515 51.1484057245321, 13.76202720747956 51.15272769917439, 13.75683722363344 51.15578270796469, 13.74945096116934 51.15451556649532))"
62,881f1b56d7fffff,"POLYGON ((13.71771705858979 51.14511978812714, 13.71552394067368 51.14079686040621, 13.7207138889908 51.1377430955113, 13.72809712200211 51.13901208290701, 13.73029105948778 51.14333497406916, 13.72510094446153 51.14638891441582, 13.71771705858979 51.14511978812714))"
63,881f1b55cbfffff,"POLYGON ((13.64360783537011 51.06522594211805, 13.64142239200375 51.06089745793294, 13.64660831621568 51.05784310215798, 13.6539798528864 51.05911705568849, 13.65616611501542 51.06344550452414, 13.6509800217794 51.06650003520016, 13.64360783537011 51.06522594211805))"
64,881f1b0b69fffff,"POLYGON ((13.74885288333551 51.12679163642304, 13.74665817512492 51.12246797611191, 13.75184594093343 51.11941169347081, 13.75922858050708 51.1206788956708, 13.761424107402 51.12500251917896, 13.756236176108 51.1280589773115, 13.74885288333551 51.12679163642304))"
65,881f1b5697fffff,"POLYGON ((13.73628155194908 51.12857928272885, 13.73408766264814 51.12425558574182, 13.73927589122522 51.12120002015001, 13.74665817512492 51.12246797611191, 13.74885288333551 51.12679163642304, 13.74366448880575 51.12984737746962, 13.73628155194908 51.12857928272885))"
66,881f1b5405fffff,"POLYGON ((13.62204055652382 51.08914572175905, 13.61985586554353 51.08481840913733, 13.62504412906351 51.0817663957973, 13.63241725355701 51.08304152018768, 13.63460276417306 51.0873687975729, 13.62941433072813 51.09042098582566, 13.62204055652382 51.08914572175905))"
67,881f1b4645fffff,"POLYGON ((13.7123858235035 51.0415356345181, 13.71019633579079 51.03720652405916, 13.71537871027782 51.03414750330388, 13.72275073895444 51.03541741797487, 13.72494104387991 51.03974649245716, 13.71975850298458 51.04280568826648, 13.7123858235035 51.0415356345181))"
68,881f1b0943fffff,"POLYGON ((13.80150624881492 51.08450051676579, 13.79930921085374 51.08017495357574, 13.80449244323521 51.07711381442288, 13.81187287701205 51.07837806296516, 13.81407073189466 51.08270358899575, 13.80888733614818 51.08576490366485, 13.80150624881492 51.08450051676579))"
69,881f1b0937fffff,"POLYGON ((13.82898927061789 51.04575724815948, 13.82679154360755 51.04142970986215, 13.83197117184217 51.03836515078519, 13.8393486893385 51.0396279545587, 13.8415472319604 51.04395545559368, 13.83636744154358 51.04702019013882, 13.82898927061789 51.04575724815948))"
70,881f1b4665fffff,"POLYGON ((13.69625958772235 51.02294637244582, 13.6940718050128 51.01861598443281, 13.69925321910885 51.01555677244948, 13.7066225828889 51.01682777356957, 13.70881118260927 51.02115812587467, 13.70362960160727 51.02421751278898, 13.69625958772235 51.02294637244582))"
71,881f1b0909fffff,"POLYGON ((13.80449244323521 51.07711381442288, 13.80229543053879 51.07278784866989, 13.8074780348455 51.06972616859245, 13.81485781513929 51.07099027879003, 13.81705564454022 51.0753162073884, 13.81187287701205 51.07837806296516, 13.80449244323521 51.07711381442288))"
72,881f1b0915fffff,"POLYGON ((13.83260176028688 51.06612812634028, 13.83040314015249 51.06180183250799, 13.83558418621346 51.0587381791214, 13.84296401462327 51.0600006440338, 13.84516345079283 51.06432690046237, 13.83998224258671 51.06739072940357, 13.83260176028688 51.06612812634028))"
73,881f1b5685fffff,"POLYGON ((13.68899464070341 51.12833861984056, 13.68680405258347 51.12401437461385, 13.69199349883837 51.12096113575137, 13.69937370095828 51.12223196684671, 13.70156510866962 51.12655617591118, 13.69637549473845 51.12960959006397, 13.68899464070341 51.12833861984056))"
74,881f1b462bfffff,"POLYGON ((13.73391406176363 51.01757722895784, 13.73172382869241 51.0132469484505, 13.73690386212743 51.0101855885495, 13.74427429421358 51.01145433413564, 13.74646534362432 51.01578457855318, 13.74128514467803 51.01884611349573, 13.73391406176363 51.01757722895784))"
75,881f1b551bfffff,"POLYGON ((13.60893672927234 51.06317764783688, 13.60675376539017 51.05884865623025, 13.61194043411642 51.05579590855697, 13.61931023706781 51.05707197773968, 13.62149402016324 51.06140093438403, 13.6163071811622 51.06445385682937, 13.60893672927234 51.06317764783688))"
76,881f1b0b3bfffff,"POLYGON ((13.81469455150887 51.11044799806005, 13.812495777601 51.10612412017684, 13.81768059347262 51.10306371192704, 13.82506434632669 51.10432700592551, 13.82726393757151 51.10865084637563, 13.82207895869461 51.11171143028172, 13.81469455150887 51.11044799806005))"
77,881f1b5511fffff,"POLYGON ((13.5993843252168 51.05757183547682, 13.59720220246186 51.0532424069596, 13.60238870059356 51.05018983400434, 13.60975749214287 51.05146651486972, 13.61194043411642 51.05579590855697, 13.60675376539017 51.05884865623025, 13.5993843252168 51.05757183547682))"
78,881f1b092dfffff,"POLYGON ((13.77875628933617 51.0529497258385, 13.77656182703096 51.04862203976219, 13.78174331221197 51.04556034495893, 13.78911942381331 51.04682616092981, 13.79131470263322 51.051153810252, 13.78613305340606 51.05421568037874, 13.77875628933617 51.0529497258385))"
79,881f1b09abfffff,"POLYGON ((13.88880181104468 51.04412813846508, 13.88659998149256 51.03980119011155, 13.89177790527002 51.03673359195309, 13.89915781866299 51.03799276650572, 13.90136046290909 51.04231967695753, 13.89618237913773 51.04538745077973, 13.88880181104468 51.04412813846508))"
80,881f1b0b13fffff,"POLYGON ((13.83386444893505 51.12162068110625, 13.83166398882496 51.11729768400753, 13.83684913038332 51.11423692439205, 13.84423489447861 51.11549898613412, 13.8464361719064 51.119821945536, 13.84125086799061 51.12288288091397, 13.83386444893505 51.12162068110625))"
81,881f1b0863fffff,"POLYGON ((13.85240236397769 51.1050521301834, 13.85020113873937 51.10072836498018, 13.85538455591931 51.09766580687618, 13.86276936001044 51.09892683823254, 13.8649714019049 51.10325056562198, 13.85978782312162 51.10631329949013, 13.85240236397769 51.1050521301834))"
82,881f1b54b1fffff,"POLYGON ((13.73808892977398 51.0657150558412, 13.73589689421254 51.06138766257048, 13.74108039441161 51.05832865765615, 13.74845609582861 51.05959687080338, 13.75064894879637 51.0639242276966, 13.74546528300958 51.06698340784148, 13.73808892977398 51.0657150558412))"
83,881f1b0845fffff,"POLYGON ((13.8464361719064 51.119821945536, 13.84423489447861 51.11549898613412, 13.84941956936222 51.11243750977859, 13.85680568363295 51.11369881704784, 13.85900777815124 51.11802173862601, 13.85382294137785 51.12108339077995, 13.8464361719064 51.119821945536))"
84,881f1b54d7fffff,"POLYGON ((13.73868217349046 51.09346310403664, 13.73648922352135 51.08913735695516, 13.74167477281128 51.08607980066351, 13.74905343783715 51.08734781614075, 13.75124720585525 51.09167352669817, 13.74606149086737 51.09473125832378, 13.73868217349046 51.09346310403664))"
85,881f1b46d7fffff,"POLYGON ((13.84750787067309 51.02916896079154, 13.8453093799575 51.02484065524202, 13.85048728780672 51.02177429948016, 13.85786384787125 51.02303607381856, 13.86006315353902 51.02736434198828, 13.85488508425935 51.03043087322069, 13.84750787067309 51.02916896079154))"
86,881f1b0b53fffff,"POLYGON ((13.81531886974089 51.13818126785122, 13.81311917604092 51.13385903919066, 13.81830604187429 51.13080007873265, 13.82569276458935 51.13206317119586, 13.82789327626872 51.13638536227646, 13.82270624732299 51.13944449849518, 13.81531886974089 51.13818126785122))"
87,881f1b7349fffff,"POLYGON ((13.89475339851199 51.02933810294903, 13.892551622506 51.02501034992778, 13.89772829093653 51.02194167158017, 13.90510689515171 51.02320057064514, 13.90730948541866 51.02752828577425, 13.90213265727898 51.03059713975176, 13.89475339851199 51.02933810294903))"
88,881f1b19b7fffff,"POLYGON ((13.78717937286825 51.14914754940142, 13.7849812907447 51.14482564904047, 13.79016971655606 51.14176866411254, 13.79755638875229 51.14303340386157, 13.79975528952604 51.14735526689137, 13.79456669952267 51.15041242752469, 13.78717937286825 51.14914754940142))"
89,881f1b54e9fffff,"POLYGON ((13.68185283267571 51.08762819703379, 13.67966402255658 51.08330146426868, 13.68485062094053 51.08024640856686, 13.69222619725262 51.08151791053548, 13.69441582610851 51.08584460742239, 13.68922905998413 51.08889983824029, 13.68185283267571 51.08762819703379))"
90,881f1b54cdfffff,"POLYGON ((13.68842099374826 51.10060671369379, 13.6862313182209 51.09628082178796, 13.6914187121993 51.09322613266512, 13.69879594933736 51.09449716028314, 13.70098644381157 51.09882301617372, 13.6957988822695 51.10187788048296, 13.68842099374826 51.10060671369379))"
91,881f1b4651fffff,"POLYGON ((13.75662871613521 51.04914912794034, 13.75443591194871 51.04482096648452, 13.75961769530792 51.04176016310786, 13.76699244775658 51.04302734597444, 13.76918606869134 51.04735547093517, 13.76400412049802 51.05041644954578, 13.75662871613521 51.04914912794034))"
92,881f1b1985fffff,"POLYGON ((13.75603957240115 51.16747991484245, 13.75384307914245 51.16315874650649, 13.75903369235846 51.16010427948196, 13.76642096431897 51.1613708051481, 13.76861827711558 51.16569193639675, 13.76342749848297 51.16874657908799, 13.75603957240115 51.16747991484245))"
93,881f1b54b9fffff,"POLYGON ((13.73509686166931 51.07310051043175, 13.73290480200411 51.06877351952343, 13.73808892977398 51.0657150558412, 13.74546528300958 51.06698340784148, 13.74765816029787 51.07131036236747, 13.74247386679624 51.07436900129689, 13.73509686166931 51.07310051043175))"
94,881f1b5583fffff,"POLYGON ((13.66516191410938 51.04129210969731, 13.66297572030541 51.03696245456265, 13.668159305633 51.03390575753113, 13.67552925295755 51.0351785407663, 13.67771626465152 51.03950816043839, 13.67253251119934 51.04256503235928, 13.66516191410938 51.04129210969731))"
95,881f1b5597fffff,"POLYGON ((13.69027051499648 51.03772274297359, 13.68808268563556 51.03339315889144, 13.69326535307359 51.03033502932948, 13.70063601713547 51.03160630890736, 13.70282466393999 51.03593585727219, 13.69764182930752 51.03899416179785, 13.69027051499648 51.03772274297359))"
96,881f1b0999fffff,"POLYGON ((13.92714582829731 51.06646507821632, 13.92494063132828 51.06213989233225, 13.93011919313634 51.05907159120451, 13.93750311067967 51.06032830010884, 13.93970912229782 51.06465344756479, 13.93453040179327 51.06772192456581, 13.92714582829731 51.06646507821632))"
97,881f1b5451fffff,"POLYGON ((13.64772187968041 51.1133265799571, 13.64553463972234 51.10900098333053, 13.65072403995162 51.10594898710941, 13.65810084931522 51.10722241244508, 13.66028890910824 51.11154797343342, 13.65509933977122 51.1146001447458, 13.64772187968041 51.1133265799571))"
98,881f1b461bfffff,"POLYGON ((13.7847297325302 51.03817002098085, 13.78253531996589 51.03384153043761, 13.78771555045694 51.03077875403107, 13.79509035734037 51.03204429289889, 13.79728558598622 51.03637274669753, 13.79210519173604 51.03943569839426, 13.7847297325302 51.03817002098085))"
