b_number,p_address,p_bikes,p_booked_bikes,b_boardcomputer,b_lock_types,p_rack_locks,p_bike_types,p_free_racks,b_active,p_maintenance,b_state,city,p_bike_racks,p_spot,p_name,p_number,p_terminal_type,datetime,p_uid,b_pedelec_battery,p_special_racks,b_battery_pack,b_electric_lock,trip,p_place_type,b_bike_type,p_lat,p_free_special_racks,p_lng,p_bike
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93918,0,,2019-06-17 00:00:00,17471887,,0,,True,first,12,71,51.048626666667,0,13.725685555556,True
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93918,0,,2019-06-17 06:00:00,17485723,,0,,True,start,12,71,51.049524444444,0,13.725085555556,True
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Kulturpalast,4412,,2019-06-17 06:16:00,155920,,0,,True,end,0,71,51.050547111895305,0,13.737196326255798,False
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Kulturpalast,4412,,2019-06-17 06:21:00,155920,,0,,True,start,0,71,51.050547111895305,0,13.737196326255798,False
93918,,2,0,7551012905,frame_lock,False,"{""15"": 1, ""71"": 1}",4,True,False,ok,dresden,6,True,Sächsische Dampfschifffahrt,4447,stele,2019-06-17 06:28:00,1031808,,0,,True,end,0,71,51.053683206065735,0,13.741117715835571,False
93918,,3,0,7551012905,frame_lock,False,"{""15"": 1, ""71"": 2}",3,True,False,ok,dresden,6,True,Sächsische Dampfschifffahrt,4447,stele,2019-06-17 13:49:00,1031808,,0,,True,start,0,71,51.053683206065735,0,13.741117715835571,False
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93918,0,,2019-06-17 16:00:00,17520162,,0,,True,end,12,71,51.06324,0,13.746547777778,True
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93918,0,,2019-06-17 16:04:00,17520162,,0,,True,start,12,71,51.063297777778,0,13.746425555556,True
93918,,5,0,7551012905,frame_lock,False,"{""15"": 4, ""71"": 1}",0,True,False,ok,dresden,6,True,Schillergalerie,4399,,2019-06-17 18:09:00,329097,,0,,True,end,0,71,51.05136993564705,0,13.804289102554321,False
93918,,5,0,7551012905,frame_lock,False,"{""15"": 4, ""71"": 1}",0,True,False,ok,dresden,6,True,Schillergalerie,4399,,2019-06-17 18:25:00,329097,,0,,True,start,0,71,51.05136993564705,0,13.804289102554321,False
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Uniklinikum,4395,,2019-06-17 18:33:00,264602,,0,,True,end,0,71,51.05422272773753,0,13.781125545501709,False
93918,,1,0,7551012905,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Uniklinikum,4395,,2019-06-17 21:04:00,264602,,0,,True,start,0,71,51.05422272773753,0,13.781125545501709,False
93918,,2,0,7551012905,frame_lock,False,"{""15"": 1, ""71"": 1}",0,True,False,ok,dresden,0,True,Alaunstraße,4374,,2019-06-17 21:22:00,264576,,0,,True,end,0,71,51.066946872474276,0,13.751809000968931,False
93918,,2,0,7551012905,frame_lock,False,"{""15"": 1, ""71"": 1}",0,True,False,ok,dresden,0,True,Alaunstraße,4374,,2019-06-17 21:23:00,264576,,0,,True,start,0,71,51.066946872474276,0,13.751809000968931,False
93918,,2,0,7551012905,frame_lock,False,"{""15"": 1, ""71"": 1}",0,True,False,ok,dresden,0,True,Weberplatz,4457,traffic_sign,2019-06-17 22:52:00,4783682,,0,,True,end,0,71,51.03022,0,13.74926,False
93918,,2,0,7551012905,frame_lock,False,"{""15"": 1, ""71"": 1}",0,True,False,ok,dresden,0,True,Weberplatz,4457,traffic_sign,2019-06-17 23:59:00,4783682,,0,,True,last,0,71,51.03022,0,13.74926,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1}",0,True,False,ok,dresden,0,True,Altleubitz,4505,free,2019-06-17 00:00:00,10299865,,0,,True,first,0,71,51.01559733603955,0,13.767585754394531,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1}",0,True,False,ok,dresden,0,True,Altleubitz,4505,free,2019-06-17 05:48:00,10299865,,0,,True,start,0,71,51.01559733603955,0,13.767585754394531,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Kino im Dach,4446,,2019-06-17 06:05:00,681987,,0,,True,end,0,71,51.04090819439722,0,13.800866603851318,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Kino im Dach,4446,,2019-06-17 06:28:00,681987,,0,,True,start,0,71,51.04090819439722,0,13.800866603851318,False
93856,,4,0,7551013009,frame_lock,False,"{""15"": 3, ""71"": 1}",0,True,True,ok,dresden,0,True,Hauptbahnhof,4313,,2019-06-17 06:44:00,120,,0,,True,end,0,71,51.040476453474334,0,13.733623623847961,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,True,ok,dresden,0,True,Hauptbahnhof,4313,,2019-06-17 09:17:00,120,,0,,True,start,0,71,51.040476453474334,0,13.733623623847961,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-17 09:41:00,17496977,,0,,True,end,12,71,51.082786666667,0,13.713156666667,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Altpieschen,4355,,2019-06-17 12:40:00,264557,,0,,True,start,0,71,51.07764876381213,0,13.716709613800047,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1}",0,True,False,ok,dresden,0,True,Friedensstraße/Conradstr.,4373,,2019-06-17 12:58:00,264575,,0,,True,end,0,71,51.07174027751911,0,13.741257190704346,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 1, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Friedensstraße/Conradstr.,4373,,2019-06-17 14:07:00,264575,,0,,True,start,0,71,51.07174027751911,0,13.741257190704346,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 1, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Friedensstraße/Conradstr.,4373,,2019-06-17 14:10:00,264575,,0,,True,end,0,71,51.07174027751911,0,13.741257190704346,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 1, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Friedensstraße/Conradstr.,4373,,2019-06-17 14:11:00,264575,,0,,True,start,0,71,51.07174027751911,0,13.741257190704346,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Schauburg,4327,,2019-06-17 14:16:00,121771,,0,,True,end,0,71,51.07114365710672,0,13.75032842159271,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Schauburg,4327,,2019-06-17 14:42:00,121771,,0,,True,start,0,71,51.07114365710672,0,13.75032842159271,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-17 15:06:00,17515802,,0,,True,end,12,71,51.064804444444,0,13.749821111111,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-17 16:40:00,17515802,,0,,True,start,12,71,51.06492,0,13.749741111111,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-17 16:57:00,17524531,,0,,True,end,12,71,51.048453333333,0,13.733673333333,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-17 17:18:00,17524531,,0,,True,start,12,71,51.048346666667,0,13.733725555556,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Holzhofgasse,4378,,2019-06-17 17:33:00,264580,,0,,True,end,0,71,51.0627463359157,0,13.7629723548889,False
93856,,2,0,7551013009,frame_lock,False,"{""71"": 2}",0,True,False,ok,dresden,0,True,Holzhofgasse,4378,,2019-06-17 17:39:00,264580,,0,,True,start,0,71,51.0627463359157,0,13.7629723548889,False
93856,,2,0,7551013009,frame_lock,False,"{""71"": 2}",0,True,False,ok,dresden,0,True,Holzhofgasse,4378,,2019-06-17 17:47:00,264580,,0,,True,end,0,71,51.0627463359157,0,13.7629723548889,False
93856,,2,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 1}",0,True,False,ok,dresden,0,True,Holzhofgasse,4378,,2019-06-17 21:04:00,264580,,0,,True,start,0,71,51.0627463359157,0,13.7629723548889,False
93856,,2,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 1}",0,True,False,ok,dresden,0,True,Holzhofgasse,4378,,2019-06-17 21:11:00,264580,,0,,True,end,0,71,51.0627463359157,0,13.7629723548889,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1}",0,True,False,ok,dresden,0,True,Holzhofgasse,4378,,2019-06-17 21:52:00,264580,,0,,True,start,0,71,51.0627463359157,0,13.7629723548889,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Martin-Luther-Platz (Kirche),4376,,2019-06-17 21:59:00,264578,,0,,True,end,0,71,51.064135319559504,0,13.756663799285887,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 2, ""71"": 1, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Martin-Luther-Platz (Kirche),4376,,2019-06-17 22:33:00,264578,,0,,True,last,0,71,51.064135319559504,0,13.756663799285887,False
93377,,5,0,7551003856,frame_lock,False,"{""15"": 2, ""71"": 2, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Cottaer Straße (Haltestelle),4481,free,2019-06-17 06:04:00,10299537,,0,,True,first,0,0,51.050166045123035,0,13.712477087974548,False
