b_number,p_address,p_bikes,p_booked_bikes,b_boardcomputer,b_lock_types,p_rack_locks,p_bike_types,p_free_racks,b_active,p_maintenance,b_state,city,p_bike_racks,p_spot,p_name,p_number,p_terminal_type,datetime,p_uid,b_pedelec_battery,p_special_racks,b_battery_pack,b_electric_lock,trip,p_place_type,b_bike_type,p_lat,p_free_special_racks,p_lng,p_bike
93749,,2,0,7551003061,frame_lock,False,"{""15"": 2}",0,True,True,ok,dresden,0,True,Pohlandplatz,4322,,2019-06-30 16:09:00,126784,,0,,True,first,0,15,51.0429555360267,0,13.795416355133057,False
93749,,1,0,7551003061,frame_lock,False,"{""15"": 1}",0,True,True,ok,dresden,0,True,Pohlandplatz,4322,,2019-06-30 17:52:00,126784,,0,,True,start,0,15,51.0429555360267,0,13.795416355133057,False
93749,,1,0,7551003061,frame_lock,False,"{""15"": 1}",5,True,False,ok,dresden,6,True,DVB Endpunkt Pillnitz,4428,stele,2019-06-30 18:35:00,300243,,0,,True,end,0,15,51.01393690341422,0,13.863823413848875,False
93749,,1,0,7551003061,frame_lock,False,"{""15"": 1}",5,True,False,ok,dresden,6,True,DVB Endpunkt Pillnitz,4428,stele,2019-06-30 18:36:00,300243,,0,,True,start,0,15,51.01393690341422,0,13.863823413848875,False
93749,,1,0,7551003061,frame_lock,False,"{""15"": 1}",5,True,False,ok,dresden,6,True,DVB Endpunkt Pillnitz,4428,stele,2019-06-30 19:19:00,300243,,0,,True,start,0,15,51.01393690341422,0,13.863823413848875,False
93749,,4,0,7551003061,frame_lock,False,"{""15"": 4}",0,True,False,ok,dresden,0,True,Körnerplatz / Friedrich-Wieck-Straße,4316,,2019-06-30 19:50:00,12938,,0,,True,end,0,15,51.05387203936588,0,13.814862370491028,False
93749,,4,0,7551003061,frame_lock,False,"{""15"": 4}",0,True,False,ok,dresden,0,True,Körnerplatz / Friedrich-Wieck-Straße,4316,,2019-06-30 19:58:00,12938,,0,,True,start,0,15,51.05387203936588,0,13.814862370491028,False
93749,,1,0,7551003061,frame_lock,False,"{""15"": 1}",0,True,False,ok,dresden,0,False,BIKE 93749,0,,2019-06-30 20:35:00,18368816,,0,,True,end,12,15,51.042982222222,0,13.736832222222,True
93749,,1,0,7551003061,frame_lock,False,"{""15"": 1}",0,True,False,ok,dresden,0,False,BIKE 93749,0,,2019-06-30 21:28:00,18370368,,0,,True,start,12,15,51.041404444444,0,13.736613333333,True
93749,,3,0,7551003061,frame_lock,False,"{""15"": 2, ""71"": 1}",0,True,False,ok,dresden,0,True,Stadtteilzentrum Straßburger Platz,4468,free,2019-06-30 22:04:00,10299434,,0,,True,end,0,15,51.04649,0,13.75599,False
