b_number,p_address,p_bikes,p_booked_bikes,b_boardcomputer,b_lock_types,p_rack_locks,p_bike_types,p_free_racks,b_active,p_maintenance,b_state,city,p_bike_racks,p_spot,p_name,p_number,p_terminal_type,datetime,p_uid,b_pedelec_battery,p_special_racks,b_battery_pack,b_electric_lock,trip,p_place_type,b_bike_type,p_lat,p_free_special_racks,p_lng,p_bike
93856,,5,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 2, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 00:00:00,264582,,0,,True,first,0,71,51.04038538260956,0,13.719418644905089,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 2, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 00:04:00,264582,,0,,True,start,0,71,51.04038538260956,0,13.719418644905089,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 2, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 00:07:00,264582,,0,,True,end,0,71,51.04038538260956,0,13.719418644905089,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 2, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 02:24:00,264582,,0,,True,start,0,71,51.04038538260956,0,13.719418644905089,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 2, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 02:26:00,264582,,0,,True,end,0,71,51.04038538260956,0,13.719418644905089,False
93856,,5,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 2, ""undefined"": 2}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 02:29:00,264582,,0,,True,start,0,71,51.04038538260956,0,13.719418644905089,False
93856,,5,0,7551013009,frame_lock,False,"{""71"": 2, ""undefined"": 3}",0,True,False,ok,dresden,0,True,Budapester Straße,4379,,2019-06-22 08:57:00,264582,,0,,True,end,0,71,51.04038538260956,0,13.719418644905089,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 12:19:00,17810479,,0,,True,start,12,71,51.03996,0,13.720476666667,True
93856,,2,0,7551013009,frame_lock,False,"{""71"": 1, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Sächsische Landesbibliothek,4441,free,2019-06-22 12:30:00,637839,,0,,True,start,0,71,51.02893263812449,0,13.7363862991333,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Wundtstr. / Zellescher Weg,4458,free,2019-06-22 12:35:00,4405670,,0,,True,end,0,71,51.02837,0,13.74773,False
93856,,2,0,7551013009,frame_lock,False,"{""71"": 1, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Wundtstr. / Zellescher Weg,4458,free,2019-06-22 13:04:00,4405670,,0,,True,start,0,71,51.02837,0,13.74773,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Weberplatz,4457,traffic_sign,2019-06-22 13:25:00,4783682,,0,,True,end,0,71,51.03022,0,13.74926,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Weberplatz,4457,traffic_sign,2019-06-22 13:48:00,4783682,,0,,True,start,0,71,51.03022,0,13.74926,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,True,Prager Str. / Mc Donalds,4418,,2019-06-22 14:01:00,19892,,0,,True,end,0,71,51.0428121913295,0,13.7352356314659,False
93856,,3,0,7551013009,frame_lock,False,"{""15"": 1, ""71"": 1, ""undefined"": 1}",0,True,False,ok,dresden,0,True,Prager Str. / Mc Donalds,4418,,2019-06-22 16:57:00,19892,,0,,True,start,0,71,51.0428121913295,0,13.7352356314659,False
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 17:17:00,17829100,,0,,True,end,12,71,51.0438,0,13.702162222222,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 18:44:00,17829100,,0,,True,start,12,71,51.044031111111,0,13.701831111111,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 19:06:00,17836173,,0,,True,end,12,71,51.062728888889,0,13.749282222222,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 22:01:00,17836173,,0,,True,start,12,71,51.063191111111,0,13.748384444444,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 22:10:00,17845360,,0,,True,end,12,71,51.048017777778,0,13.755875555556,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 23:43:00,17845360,,0,,True,start,12,71,51.048617777778,0,13.754992222222,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 23:45:00,17845360,,0,,True,end,12,71,51.048617777778,0,13.754992222222,True
93856,,1,0,7551013009,frame_lock,False,"{""71"": 1}",0,True,False,ok,dresden,0,False,BIKE 93856,0,,2019-06-22 23:59:00,17845360,,0,,True,last,12,71,51.04864,0,13.754874444444,True
93267,,1,0,7551003439,frame_lock,False,"{""undefined"": 1}",0,True,False,ok,dresden,0,False,BIKE 93267,0,,2019-06-22 00:00:00,17790787,,0,,True,first,12,0,51.044591111111,0,13.737326666667,True
93267,,1,0,7551003439,frame_lock,False,"{""undefined"": 1}",0,True,False,ok,dresden,0,False,BIKE 93267,0,,2019-06-22 00:04:00,17790787,,0,,True,start,12,0,51.044591111111,0,13.737326666667,True
93267,,1,0,7551003439,frame_lock,False,"{""undefined"": 1}",0,True,False,ok,dresden,0,False,BIKE 93267,0,,2019-06-22 00:07:00,17790787,,0,,True,end,12,0,51.044591111111,0,13.737326666667,True
