p_booked_bikes,p_name,b_state,p_bikes,p_address,p_number,p_lng,b_active,b_number,b_lock_types,p_spot,p_place_type,p_rack_locks,p_free_racks,b_boardcomputer,p_free_special_racks,datetime,b_bike_type,b_electric_lock,p_uid,p_bike,p_special_racks,p_bike_racks,p_maintenance,b_battery_pack,trip,p_terminal_type,city,p_lat,p_bike_types,b_pedelec_battery
0,NH-Hotel / Hansa Str. 43,ok,6,,4306,13.7388753890991,True,93910,frame_lock,True,0,False,0,7551012684,0,2019-12-02 09:19:00,71,True,40,False,0,0,False,,end,,dresden,51.0741334233362,"{""71"": 6}",
0,NH-Hotel / Hansa Str. 43,ok,6,,4306,13.7388753890991,True,93910,frame_lock,True,0,False,0,7551012684,0,2019-12-02 23:59:00,71,True,40,False,0,0,False,,last,,dresden,51.0741334233362,"{""71"": 6}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93704,frame_lock,True,0,False,0,7551003656,0,2019-12-02 00:00:00,71,True,820,False,0,0,False,,first,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93704,frame_lock,True,0,False,0,7551003656,0,2019-12-02 09:17:00,71,True,820,False,0,0,False,,start,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93704,frame_lock,True,0,False,0,7551003656,0,2019-12-02 09:19:00,71,True,820,False,0,0,False,,end,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93704,frame_lock,True,0,False,0,7551003656,0,2019-12-02 23:59:00,71,True,820,False,0,0,False,,last,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93888,frame_lock,True,0,False,0,7551012678,0,2019-12-02 00:00:00,71,True,820,False,0,0,False,,first,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93888,frame_lock,True,0,False,0,7551012678,0,2019-12-02 09:17:00,71,True,820,False,0,0,False,,start,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93888,frame_lock,True,0,False,0,7551012678,0,2019-12-02 09:19:00,71,True,820,False,0,0,False,,end,,dresden,51.048962,"{""71"": 2}",
0,Jugendgästehaus Maternistr. 22,ok,2,,4416,13.723669,True,93888,frame_lock,True,0,False,0,7551012678,0,2019-12-02 23:59:00,71,True,820,False,0,0,False,,last,,dresden,51.048962,"{""71"": 2}",
0,Albertplatz,ok,1,,4302,13.747313618659973,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 00:00:00,71,True,2985,False,0,0,False,,first,,dresden,51.06389595884549,"{""71"": 1}",
0,Albertplatz,ok,1,,4302,13.747313618659973,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 00:38:00,71,True,2985,False,0,0,False,,start,,dresden,51.06389595884549,"{""71"": 1}",
0,Albertplatz,ok,1,,4302,13.747313618659973,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 00:40:00,71,True,2985,False,0,0,False,,end,,dresden,51.06389595884549,"{""71"": 1}",
0,Albertplatz,ok,1,,4302,13.747313618659973,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 02:52:00,71,True,2985,False,0,0,False,,start,,dresden,51.06389595884549,"{""71"": 1}",
0,Schauburg,ok,4,,4327,13.75032842159271,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 03:00:00,71,True,121771,False,0,0,False,,end,,dresden,51.07114365710672,"{""71"": 4}",
0,Schauburg,ok,3,,4327,13.75032842159271,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 09:17:00,71,True,121771,False,0,0,False,,start,,dresden,51.07114365710672,"{""71"": 3}",
0,Schauburg,ok,3,,4327,13.75032842159271,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 09:19:00,71,True,121771,False,0,0,False,,end,,dresden,51.07114365710672,"{""71"": 3}",
0,Schauburg,ok,1,,4327,13.75032842159271,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 11:51:00,71,True,121771,False,0,0,False,,start,,dresden,51.07114365710672,"{""71"": 1}",
0,Bf. Dresden-Neustadt,ok,4,,4332,13.7412196397781,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 12:10:00,71,True,73,False,0,0,False,,end,free,dresden,51.0651837723282,"{""71"": 4}",
0,Bf. Dresden-Neustadt,ok,3,,4332,13.7412196397781,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 15:28:00,71,True,73,False,0,0,False,,start,free,dresden,51.0651837723282,"{""71"": 3}",
0,Louisenstraße,ok,1,,4484,13.74754,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 15:34:00,71,True,10299599,False,0,0,False,,end,free,dresden,51.06798,"{""71"": 1}",
0,Louisenstraße,ok,2,,4484,13.74754,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 21:43:00,71,True,10299599,False,0,0,False,,start,free,dresden,51.06798,"{""71"": 2}",
0,Alexander-Puschkin-Platz,ok,1,,4504,13.72983,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 21:51:00,71,True,10299848,False,0,0,False,,end,free,dresden,51.07035,"{""71"": 1}",
0,Alexander-Puschkin-Platz,ok,2,,4504,13.72983,True,93643,frame_lock,True,0,False,0,7551005312,0,2019-12-02 23:59:00,71,True,10299848,False,0,0,False,,last,free,dresden,51.07035,"{""71"": 2}",
0,Fetscherplatz,ok,2,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 00:00:00,71,True,6768,False,0,0,False,,first,,dresden,51.0466418719772,"{""71"": 2}",
0,Fetscherplatz,ok,2,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 07:00:00,71,True,6768,False,0,0,False,,start,,dresden,51.0466418719772,"{""71"": 2}",
0,Fetscherplatz,ok,2,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 07:08:00,71,True,6768,False,0,0,False,,end,,dresden,51.0466418719772,"{""71"": 2}",
0,Fetscherplatz,ok,2,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 07:51:00,71,True,6768,False,0,0,False,,start,,dresden,51.0466418719772,"{""71"": 2}",
0,Fetscherplatz,ok,2,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 07:58:00,71,True,6768,False,0,0,False,,end,,dresden,51.0466418719772,"{""71"": 2}",
0,Fetscherplatz,ok,3,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 09:17:00,71,True,6768,False,0,0,False,,start,,dresden,51.0466418719772,"{""71"": 3}",
0,Fetscherplatz,ok,3,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 09:19:00,71,True,6768,False,0,0,False,,end,,dresden,51.0466418719772,"{""71"": 3}",
0,Fetscherplatz,ok,1,,4325,13.771276473999,True,93394,frame_lock,True,0,False,0,7551004445,0,2019-12-02 19:27:00,71,True,6768,False,0,0,False,,start,,dresden,51.0466418719772,"{""71"": 1}",
0,BIKE 93394,ok,1,,0,13.739514444444,True,93394,frame_lock,False,12,False,0,7551004445,0,2019-12-02 19:54:00,71,True,25563237,True,0,0,False,,end,,dresden,51.067586666667,"{""71"": 1}",
