b_boardcomputer,p_place_type,b_state,b_bike_type,p_number,datetime,p_bikes,b_number,b_pedelec_battery,trip,p_bike,p_lng,b_electric_lock,p_free_racks,p_address,city,p_spot,p_maintenance,b_lock_types,p_rack_locks,p_terminal_type,p_lat,p_uid,p_bike_types,b_active,p_name,p_booked_bikes,p_bike_racks
7551006689,0,ok,0,4469,2019-02-14 00:00:00,5,93359,0,first,False,13.746272921562,True,0,,dresden,True,False,frame_lock,False,free,51.071925666476,10299456,"{""15"": 3, ""undefined"": 2}",True,Bischofsplatz (S-Bahn),0,0
7551006689,0,ok,0,4469,2019-02-14 06:50:00,5,93359,0,start,False,13.746272921562,True,0,,dresden,True,False,frame_lock,False,free,51.071925666476,10299456,"{""15"": 3, ""undefined"": 2}",True,Bischofsplatz (S-Bahn),0,0
7551006689,12,ok,0,0,2019-02-14 06:55:00,1,93359,0,end,True,13.743328888889,True,0,,dresden,False,False,frame_lock,False,,51.064008888889,12739842,"{""undefined"": 1}",True,BIKE 93359,0,0
7551006689,12,ok,0,0,2019-02-14 09:38:00,1,93359,0,start,True,13.743161111111,True,0,,dresden,False,False,frame_lock,False,,51.063975555555,12739842,"{""undefined"": 1}",True,BIKE 93359,0,0
7551006689,12,ok,0,0,2019-02-14 09:40:00,1,93359,0,end,True,13.743161111111,True,0,,dresden,False,False,frame_lock,False,,51.063975555555,12739842,"{""undefined"": 1}",True,BIKE 93359,0,0
7551006689,12,ok,0,0,2019-02-14 22:38:00,1,93359,0,start,True,13.743139166667,True,0,,dresden,False,False,frame_lock,False,,51.063863506945,12739842,"{""undefined"": 1}",True,BIKE 93359,0,0
7551006689,12,ok,0,0,2019-02-14 22:40:00,1,93359,0,end,True,13.743139166667,True,0,,dresden,False,False,frame_lock,False,,51.063863506945,12739842,"{""undefined"": 1}",True,BIKE 93359,0,0
7551006689,12,ok,0,0,2019-02-14 23:59:00,1,93359,0,last,True,13.743295138889,True,0,,dresden,False,False,frame_lock,False,,51.063936197917,12739842,"{""undefined"": 1}",True,BIKE 93359,0,0
7551006859,0,ok,15,4399,2019-02-14 00:00:00,5,93586,0,first,False,13.804289102554,True,0,,dresden,True,False,frame_lock,False,,51.051369935647,329097,"{""15"": 3, ""undefined"": 2}",True,Schillergalerie,0,6
7551006859,0,ok,15,4399,2019-02-14 07:02:00,5,93586,0,last,False,13.804289102554,True,0,,dresden,True,False,frame_lock,False,,51.051369935647,329097,"{""15"": 3, ""undefined"": 2}",True,Schillergalerie,0,6
7551006976,0,ok,0,4315,2019-02-14 07:37:00,5,93369,0,first,False,13.74415397644,True,0,,dresden,True,False,frame_lock,False,,51.048972240425,9972732,"{""15"": 1, ""undefined"": 4}",True,Pirnaischer Platz,0,0
7551006976,0,ok,0,4315,2019-02-14 09:38:00,5,93369,0,start,False,13.74415397644,True,0,,dresden,True,False,frame_lock,False,,51.048972240425,9972732,"{""15"": 1, ""undefined"": 4}",True,Pirnaischer Platz,0,0
7551006976,0,ok,0,4315,2019-02-14 09:40:00,5,93369,0,end,False,13.74415397644,True,0,,dresden,True,False,frame_lock,False,,51.048972240425,9972732,"{""15"": 1, ""undefined"": 4}",True,Pirnaischer Platz,0,0
7551006976,0,ok,0,4315,2019-02-14 14:45:00,5,93369,0,start,False,13.74415397644,True,0,,dresden,True,False,frame_lock,False,,51.048972240425,9972732,"{""15"": 1, ""undefined"": 4}",True,Pirnaischer Platz,0,0
7551006976,0,ok,0,4388,2019-02-14 15:35:00,1,93369,0,end,False,13.765482902527,True,0,,dresden,True,False,frame_lock,False,,51.056262737238,264594,"{""undefined"": 1}",True,Bönischplatz / Konsum,0,0
7551006976,0,ok,0,4388,2019-02-14 17:15:00,1,93369,0,start,False,13.765482902527,True,0,,dresden,True,False,frame_lock,False,,51.056262737238,264594,"{""undefined"": 1}",True,Bönischplatz / Konsum,0,0
7551006976,0,ok,0,4374,2019-02-14 17:28:00,5,93369,0,end,False,13.751809000969,True,0,,dresden,True,False,frame_lock,False,,51.066946872474,264576,"{""15"": 1, ""undefined"": 4}",True,Alaunstraße,0,0
7551006976,0,ok,0,4374,2019-02-14 21:56:00,5,93369,0,start,False,13.751809000969,True,0,,dresden,True,False,frame_lock,False,,51.066946872474,264576,"{""15"": 1, ""undefined"": 4}",True,Alaunstraße,0,0
7551006976,0,ok,0,4392,2019-02-14 22:29:00,5,93369,0,end,False,13.777724504471,True,0,,dresden,True,False,frame_lock,False,,51.044739718786,264599,"{""15"": 2, ""undefined"": 3}",True,Mosenstraße,0,0
7551006976,0,ok,0,4392,2019-02-14 22:38:00,5,93369,0,start,False,13.777724504471,True,0,,dresden,True,False,frame_lock,False,,51.044739718786,264599,"{""15"": 2, ""undefined"": 3}",True,Mosenstraße,0,0
7551006976,0,ok,0,4392,2019-02-14 22:40:00,5,93369,0,end,False,13.777724504471,True,0,,dresden,True,False,frame_lock,False,,51.044739718786,264599,"{""15"": 2, ""undefined"": 3}",True,Mosenstraße,0,0
7551006976,0,ok,0,4392,2019-02-14 23:59:00,5,93369,0,last,False,13.777724504471,True,0,,dresden,True,False,frame_lock,False,,51.044739718786,264599,"{""15"": 2, ""undefined"": 3}",True,Mosenstraße,0,0
7551002302,0,ok,15,4300,2019-02-14 17:05:00,3,93605,0,first,False,13.722803592682,True,0,,dresden,True,False,frame_lock,False,,51.055706379924,338637,"{""15"": 3}",True,Bhf. Mitte - Weißeritzstraße,0,0
7551002302,0,ok,15,4300,2019-02-14 17:21:00,3,93605,0,last,False,13.722803592682,True,0,,dresden,True,False,frame_lock,False,,51.055706379924,338637,"{""15"": 3}",True,Bhf. Mitte - Weißeritzstraße,0,0
7551005457,0,ok,15,4387,2019-02-14 00:00:00,5,93018,0,first,False,13.758552074432,True,0,,dresden,True,False,frame_lock,False,,51.05400017581,264593,"{""15"": 4, ""undefined"": 1}",True,Güntzplatz,0,0
7551005457,0,ok,15,4387,2019-02-14 06:20:00,5,93018,0,last,False,13.758552074432,True,0,,dresden,True,False,frame_lock,False,,51.05400017581,264593,"{""15"": 4, ""undefined"": 1}",True,Güntzplatz,0,0
7551003832,0,ok,15,4344,2019-02-14 00:00:00,1,93574,0,first,False,13.734632134438,True,0,,dresden,True,False,frame_lock,False,,51.035443676568,264544,"{""15"": 1}",True,HTW Dresden / Schnorrstraße,0,0
7551003832,0,ok,15,4313,2019-02-14 09:29:00,4,93574,0,start,False,13.733623623848,True,0,,dresden,True,True,frame_lock,False,,51.040476453474,120,"{""15"": 4}",True,Hauptbahnhof,0,0
7551003832,12,ok,15,0,2019-02-14 09:33:00,1,93574,0,end,True,13.735956666667,True,0,,dresden,False,False,frame_lock,False,,51.038173333333,12742298,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,12,ok,15,0,2019-02-14 09:38:00,1,93574,0,start,True,13.735956666667,True,0,,dresden,False,False,frame_lock,False,,51.038173333333,12742298,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,12,ok,15,0,2019-02-14 09:40:00,1,93574,0,end,True,13.735956666667,True,0,,dresden,False,False,frame_lock,False,,51.038173333333,12742298,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,12,ok,15,0,2019-02-14 12:08:00,1,93574,0,start,True,13.732895555556,True,0,,dresden,False,False,frame_lock,False,,51.03872,12742758,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,0,ok,15,4323,2019-02-14 13:20:00,5,93574,0,end,False,13.734766244888,True,0,,dresden,True,False,frame_lock,False,,51.037595829035,5254203,"{""15"": 1, ""undefined"": 4}",True,HTW Dresden / Friedrich List Platz 1,0,0
7551003832,0,ok,15,4323,2019-02-14 20:03:00,5,93574,0,start,False,13.734766244888,True,0,,dresden,True,False,frame_lock,False,,51.037595829035,5254203,"{""15"": 1, ""undefined"": 4}",True,HTW Dresden / Friedrich List Platz 1,0,0
7551003832,12,ok,15,0,2019-02-14 20:08:00,1,93574,0,end,True,13.73043,True,0,,dresden,False,False,frame_lock,False,,51.032235555556,12753705,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,12,ok,15,0,2019-02-14 22:38:00,1,93574,0,start,True,13.731291111111,True,0,,dresden,False,False,frame_lock,False,,51.031444444444,12755093,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,12,ok,15,0,2019-02-14 22:40:00,1,93574,0,end,True,13.731291111111,True,0,,dresden,False,False,frame_lock,False,,51.031444444444,12755093,"{""15"": 1}",True,BIKE 93574,0,0
7551003832,12,ok,15,0,2019-02-14 23:59:00,1,93574,0,last,True,13.731291111111,True,0,,dresden,False,False,frame_lock,False,,51.031444444444,12755093,"{""15"": 1}",True,BIKE 93574,0,0
7551003107,12,ok,15,0,2019-02-14 00:00:00,1,93026,0,first,True,13.779732083333,True,0,,dresden,False,False,frame_lock,False,,51.044406041667,12726095,"{""15"": 1}",True,BIKE 93026,0,0
7551003107,12,ok,15,0,2019-02-14 06:00:00,1,93026,0,last,True,13.779892777778,True,0,,dresden,False,False,frame_lock,False,,51.044544444444,12738449,"{""15"": 1}",True,BIKE 93026,0,0
7551004009,0,ok,0,4423,2019-02-14 00:00:00,2,93432,0,first,False,13.751379847527,True,0,,dresden,True,False,frame_lock,False,,51.060089620047,273621,"{""undefined"": 2}",True,Park Inn,0,0
7551004009,0,ok,0,4423,2019-02-14 09:38:00,2,93432,0,start,False,13.751379847527,True,0,,dresden,True,False,frame_lock,False,,51.060089620047,273621,"{""undefined"": 2}",True,Park Inn,0,0
7551004009,0,ok,0,4423,2019-02-14 09:40:00,2,93432,0,end,False,13.751379847527,True,0,,dresden,True,False,frame_lock,False,,51.060089620047,273621,"{""undefined"": 2}",True,Park Inn,0,0
7551004009,0,ok,0,4423,2019-02-14 22:38:00,4,93432,0,start,False,13.751379847527,True,0,,dresden,True,False,frame_lock,False,,51.060089620047,273621,"{""15"": 1, ""undefined"": 3}",True,Park Inn,0,0
7551004009,0,ok,0,4423,2019-02-14 22:40:00,4,93432,0,end,False,13.751379847527,True,0,,dresden,True,False,frame_lock,False,,51.060089620047,273621,"{""15"": 1, ""undefined"": 3}",True,Park Inn,0,0
7551004009,0,ok,0,4423,2019-02-14 23:59:00,4,93432,0,last,False,13.751379847527,True,0,,dresden,True,False,frame_lock,False,,51.060089620047,273621,"{""15"": 1, ""undefined"": 3}",True,Park Inn,0,0
7551005810,12,ok,15,0,2019-02-14 00:00:00,1,93648,0,first,True,13.725034444444,True,0,,dresden,False,False,frame_lock,False,,51.056213333334,12736526,"{""15"": 1}",True,BIKE 93648,0,0
7551005810,12,ok,15,0,2019-02-14 09:38:00,1,93648,0,start,True,13.725018611111,True,0,,dresden,False,False,frame_lock,False,,51.055938888889,12736526,"{""15"": 1}",True,BIKE 93648,0,0
7551005810,12,ok,15,0,2019-02-14 09:40:00,1,93648,0,end,True,13.725018611111,True,0,,dresden,False,False,frame_lock,False,,51.055938888889,12736526,"{""15"": 1}",True,BIKE 93648,0,0
7551005810,12,ok,15,0,2019-02-14 17:37:00,1,93648,0,start,True,13.724700555556,True,0,,dresden,False,False,frame_lock,False,,51.055786666666,12748198,"{""15"": 1}",True,BIKE 93648,0,0
7551005810,12,ok,15,0,2019-02-14 17:40:00,1,93648,0,end,True,13.728127777778,True,0,,dresden,False,False,frame_lock,False,,51.054466666667,12751216,"{""15"": 1}",True,BIKE 93648,0,0
