b_boardcomputer,p_place_type,b_state,b_bike_type,p_number,datetime,p_bikes,b_number,b_pedelec_battery,trip,p_bike,p_lng,b_electric_lock,p_free_racks,p_address,city,p_spot,p_maintenance,b_lock_types,p_rack_locks,p_terminal_type,p_lat,p_uid,p_bike_types,b_active,p_name,p_booked_bikes,p_bike_racks
7551006689,0,ok,0,4328,2019-02-22 00:00:00,1,93359,0,first,False,13.787916898727,True,0,,dresden,True,False,frame_lock,False,,51.045818964226,121811,"{""undefined"": 1}",True,Wormserstraße,0,0
7551006689,0,ok,0,4328,2019-02-22 05:59:00,1,93359,0,start,False,13.787916898727,True,0,,dresden,True,False,frame_lock,False,,51.045818964226,121811,"{""undefined"": 1}",True,Wormserstraße,0,0
7551006689,0,ok,0,4395,2019-02-22 06:10:00,5,93359,0,end,False,13.781125545502,True,0,,dresden,True,False,frame_lock,False,,51.054222727738,264602,"{""15"": 3, ""undefined"": 2}",True,Uniklinikum,0,0
7551006689,0,ok,0,4395,2019-02-22 14:13:00,5,93359,0,start,False,13.781125545502,True,0,,dresden,True,False,frame_lock,False,,51.054222727738,264602,"{""15"": 2, ""undefined"": 3}",True,Uniklinikum,0,0
7551006689,0,ok,0,4393,2019-02-22 14:28:00,2,93359,0,end,False,13.779215812683,True,0,,dresden,True,False,frame_lock,False,,51.04745464766,264600,"{""15"": 1, ""undefined"": 1}",True,Holbeinstraße,0,0
7551006689,0,ok,0,4393,2019-02-22 23:59:00,2,93359,0,last,False,13.779215812683,True,0,,dresden,True,False,frame_lock,False,,51.04745464766,264600,"{""15"": 1, ""undefined"": 1}",True,Holbeinstraße,0,0
7551006859,12,ok,15,0,2019-02-22 15:21:00,1,93586,0,first,True,13.709828888889,True,0,,dresden,False,False,frame_lock,False,,51.035311111111,12915029,"{""15"": 1}",True,BIKE 93586,0,0
7551006859,12,ok,15,0,2019-02-22 16:07:00,1,93586,0,start,True,13.708428888889,True,0,,dresden,False,False,frame_lock,False,,51.036066666667,12915205,"{""15"": 1}",True,BIKE 93586,0,0
7551006859,12,ok,15,0,2019-02-22 16:22:00,1,93586,0,end,True,13.722064444444,True,0,,dresden,False,False,frame_lock,False,,51.033822222222,12916461,"{""15"": 1}",True,BIKE 93586,0,0
7551006859,12,ok,15,0,2019-02-22 23:59:00,1,93586,0,last,True,13.721058333333,True,0,,dresden,False,False,frame_lock,False,,51.03439,12917913,"{""15"": 1}",True,BIKE 93586,0,0
7551002537,0,ok,15,4486,2019-02-22 00:00:00,2,93540,0,first,False,13.744711875916,True,0,,dresden,True,False,frame_lock,False,free,51.038209747621,10299640,"{""15"": 2}",True,Wohnheim Gret-Palucca.Straße / Lenneplatz,0,0
7551002537,0,ok,15,4486,2019-02-22 01:00:00,2,93540,0,start,False,13.744711875916,True,0,,dresden,True,False,frame_lock,False,free,51.038209747621,10299640,"{""15"": 2}",True,Wohnheim Gret-Palucca.Straße / Lenneplatz,0,0
7551002537,0,ok,15,4383,2019-02-22 01:12:00,1,93540,0,end,False,13.715980052948,True,0,,dresden,True,False,frame_lock,False,,51.027664059919,264587,"{""15"": 1}",True,Plauen / Nöthnitzer Straße,0,0
7551002537,0,ok,15,4383,2019-02-22 05:19:00,1,93540,0,start,False,13.715980052948,True,0,,dresden,True,False,frame_lock,False,,51.027664059919,264587,"{""15"": 1}",True,Plauen / Nöthnitzer Straße,0,0
7551002537,0,ok,15,4435,2019-02-22 05:25:00,5,93540,0,end,False,13.703261017799,True,0,,dresden,True,False,frame_lock,False,,51.030086474318,310789,"{""15"": 4, ""undefined"": 1}",True,Haltepunkt Plauen,0,0
7551002537,0,ok,15,4435,2019-02-22 18:48:00,4,93540,0,start,False,13.703261017799,True,0,,dresden,True,False,frame_lock,False,,51.030086474318,310789,"{""15"": 3, ""undefined"": 1}",True,Haltepunkt Plauen,0,0
7551002537,0,ok,15,4461,2019-02-22 18:58:00,2,93540,0,end,False,13.723919391632,True,0,,dresden,True,False,frame_lock,False,traffic_sign,51.025619416653,4405708,"{""15"": 2}",True,Andreas-Pfitzmann-Bau,0,0
7551002537,0,ok,15,4461,2019-02-22 22:21:00,1,93540,0,start,False,13.723919391632,True,0,,dresden,True,False,frame_lock,False,traffic_sign,51.025619416653,4405708,"{""15"": 1}",True,Andreas-Pfitzmann-Bau,0,0
7551002537,0,ok,15,4435,2019-02-22 22:35:00,4,93540,0,end,False,13.703261017799,True,0,,dresden,True,False,frame_lock,False,,51.030086474318,310789,"{""15"": 3, ""undefined"": 1}",True,Haltepunkt Plauen,0,0
7551002537,0,ok,15,4435,2019-02-22 23:59:00,4,93540,0,last,False,13.703261017799,True,0,,dresden,True,False,frame_lock,False,,51.030086474318,310789,"{""15"": 3, ""undefined"": 1}",True,Haltepunkt Plauen,0,0
7551005457,12,ok,15,0,2019-02-22 05:38:00,0,93018,0,first,True,13.739973194445,True,0,,dresden,False,False,frame_lock,False,,51.0532625,12899288,"{""15"": 1}",True,BIKE 93018,0,0
7551005457,0,ok,15,4447,2019-02-22 23:59:00,1,93018,0,last,False,13.741117715836,True,5,,dresden,True,False,frame_lock,False,stele,51.053683206066,1031808,"{""15"": 1}",True,Sächsische Dampfschifffahrt,0,6
