p_rack_locks,city,p_bike_racks,p_name,p_spot,b_state,p_terminal_type,p_booked_bikes,trip,p_uid,b_lock_types,b_active,p_bikes,p_maintenance,p_lat,p_bike_types,p_address,p_lng,b_number,p_bike,b_battery_pack,p_free_racks,b_pedelec_battery,p_place_type,p_special_racks,datetime,p_number,b_boardcomputer,b_electric_lock,p_free_special_racks,b_bike_type
False,dresden,6,Sächsische Zeitung / Haus der Presse,True,ok,,0,first,265880,frame_lock,True,2,False,51.057284394170544,"{""71"": 2}",,13.728811740875244,93850,False,,4,,0,0,2019-09-08 00:00:00,4303,7551012778,True,0,71
False,dresden,6,Sächsische Zeitung / Haus der Presse,True,ok,,0,start,265880,frame_lock,True,2,False,51.057284394170544,"{""71"": 2}",,13.728811740875244,93850,False,,4,,0,0,2019-09-08 07:36:00,4303,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,21693942,frame_lock,True,1,False,51.041871111111,"{""71"": 1}",,13.706223333333,93850,True,,0,,12,0,2019-09-08 07:51:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,21693942,frame_lock,True,1,False,51.041871111111,"{""71"": 1}",,13.706227777778,93850,True,,0,,12,0,2019-09-08 11:09:00,0,7551012778,True,0,71
False,dresden,0,Wasaplatz,True,ok,,0,end,264589,frame_lock,True,2,False,51.02812291136315,"{""71"": 2}",,13.75886857509613,93850,False,,0,,0,0,2019-09-08 11:28:00,4385,7551012778,True,0,71
False,dresden,0,Wasaplatz,True,ok,,0,start,264589,frame_lock,True,2,False,51.02812291136315,"{""71"": 2}",,13.75886857509613,93850,False,,0,,0,0,2019-09-08 12:00:00,4385,7551012778,True,0,71
False,dresden,0,Fetscherplatz,True,ok,,0,end,6768,frame_lock,True,6,False,51.0466418719772,"{""71"": 6}",,13.771276473999,93850,False,,0,,0,0,2019-09-08 12:09:00,4325,7551012778,True,0,71
False,dresden,0,Fetscherplatz,True,ok,,0,start,6768,frame_lock,True,6,False,51.0466418719772,"{""71"": 6}",,13.771276473999,93850,False,,0,,0,0,2019-09-08 14:55:00,4325,7551012778,True,0,71
False,dresden,0,Kreuzkirche,True,ok,,0,end,115668,frame_lock,True,1,False,51.048304505734116,"{""71"": 1}",,13.739261627197266,93850,False,,0,,0,0,2019-09-08 15:14:00,4414,7551012778,True,0,71
False,dresden,0,Kulturpalast,True,ok,,0,start,155920,frame_lock,True,3,False,51.050547111895305,"{""71"": 3}",,13.737196326255798,93850,False,,0,,0,0,2019-09-08 15:48:00,4412,7551012778,True,0,71
False,dresden,0,Malterstraße (Haltestelle),True,ok,free,0,end,10299584,frame_lock,True,1,False,51.04257,"{""71"": 1}",,13.69113,93850,False,,0,,0,0,2019-09-08 16:20:00,4483,7551012778,True,0,71
False,dresden,0,Malterstraße (Haltestelle),True,ok,free,0,last,10299584,frame_lock,True,6,False,51.04257,"{""71"": 6}",,13.69113,93850,False,,0,,0,0,2019-09-08 23:59:00,4483,7551012778,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,first,21665068,frame_lock,True,1,False,51.055217777778,"{""71"": 1}",,13.733015555556,93385,True,,0,,12,0,2019-09-08 00:00:00,0,7551004176,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,start,21709117,frame_lock,True,1,False,51.055737777778,"{""71"": 1}",,13.733276666667,93385,True,,0,,12,0,2019-09-08 17:32:00,0,7551004176,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,end,21716637,frame_lock,True,1,False,51.047062222222,"{""71"": 1}",,13.738863333333,93385,True,,0,,12,0,2019-09-08 18:20:00,0,7551004176,True,0,71
False,dresden,0,Kreuzkirche,True,ok,,0,start,115668,frame_lock,True,2,False,51.048304505734116,"{""71"": 2}",,13.739261627197266,93385,False,,0,,0,0,2019-09-08 20:41:00,4414,7551004176,True,0,71
False,dresden,0,Hauptbahnhof,True,ok,,0,end,120,frame_lock,True,2,True,51.040476453474334,"{""71"": 2}",,13.733623623847961,93385,False,,0,,0,0,2019-09-08 20:48:00,4313,7551004176,True,0,71
False,dresden,0,Hauptbahnhof,True,ok,,0,start,120,frame_lock,True,2,True,51.040476453474334,"{""71"": 2}",,13.733623623847961,93385,False,,0,,0,0,2019-09-08 20:50:00,4313,7551004176,True,0,71
False,dresden,4,Hotel Smetana,True,ok,,0,end,318577,frame_lock,True,4,False,51.03882028496062,"{""71"": 4}",,13.791795372962952,93385,False,,0,,0,0,2019-09-08 21:10:00,4409,7551004176,True,0,71
False,dresden,4,Hotel Smetana,True,ok,,0,last,318577,frame_lock,True,4,False,51.03882028496062,"{""71"": 4}",,13.791795372962952,93385,False,,0,,0,0,2019-09-08 23:59:00,4409,7551004176,True,0,71
False,dresden,6,DVB Trachenberger Straße,True,ok,stele,0,first,265881,frame_lock,True,7,False,51.08737775269143,"{""71"": 7}",,13.730077743530273,93658,False,,0,,0,0,2019-09-08 00:00:00,4305,7551015507,True,0,71
False,dresden,6,DVB Trachenberger Straße,True,ok,stele,0,start,265881,frame_lock,True,6,False,51.08737775269143,"{""71"": 6}",,13.730077743530273,93658,False,,0,,0,0,2019-09-08 13:56:00,4305,7551015507,True,0,71
False,dresden,0,BIKE 93658,False,ok,,0,end,21706714,frame_lock,True,1,False,51.056982222222,"{""71"": 1}",,13.739911111111,93658,True,,0,,12,0,2019-09-08 14:20:00,0,7551015507,True,0,71
False,dresden,0,Blockhaus / Augustusbrücke,True,ok,,0,last,26172,frame_lock,True,2,False,51.05767214585065,"{""71"": 2}",,13.74066710472107,93658,False,,0,,0,0,2019-09-08 23:59:00,4404,7551015507,True,0,71
