p_rack_locks,city,p_bike_racks,p_name,p_spot,b_state,p_terminal_type,p_booked_bikes,trip,p_uid,b_lock_types,b_active,p_bikes,p_maintenance,p_lat,p_bike_types,p_address,p_lng,b_number,p_bike,b_battery_pack,p_free_racks,b_pedelec_battery,p_place_type,p_special_racks,datetime,p_number,b_boardcomputer,b_electric_lock,p_free_special_racks,b_bike_type
False,dresden,0,BIKE 93850,False,ok,,0,first,22562453,frame_lock,True,1,False,51.05224,"{""71"": 1}",,13.743796666667,93850,True,,0,,12,0,2019-09-26 00:00:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22562453,frame_lock,True,1,False,51.052488888889,"{""71"": 1}",,13.743001111111,93850,True,,0,,12,0,2019-09-26 06:20:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22592862,frame_lock,True,1,False,51.051706666667,"{""71"": 1}",,13.729171111111,93850,True,,0,,12,0,2019-09-26 06:26:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22592862,frame_lock,True,1,False,51.051808888889,"{""71"": 1}",,13.729612222222,93850,True,,0,,12,0,2019-09-26 08:21:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22597571,frame_lock,True,1,False,51.051675555556,"{""71"": 1}",,13.735514444444,93850,True,,0,,12,0,2019-09-26 08:26:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22605188,frame_lock,True,1,False,51.050968888889,"{""71"": 1}",,13.736003333333,93850,True,,0,,12,0,2019-09-26 12:12:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22606389,frame_lock,True,1,False,51.051262222222,"{""71"": 1}",,13.735443333333,93850,True,,0,,12,0,2019-09-26 12:14:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22606389,frame_lock,True,1,False,51.051368888889,"{""71"": 1}",,13.735371111111,93850,True,,0,,12,0,2019-09-26 18:31:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22606389,frame_lock,True,1,False,51.051368888889,"{""71"": 1}",,13.735371111111,93850,True,,0,,12,0,2019-09-26 18:33:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,last,22606389,frame_lock,True,1,False,51.050946666667,"{""71"": 1}",,13.735781111111,93850,True,,0,,12,0,2019-09-26 23:59:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,first,22584206,frame_lock,True,1,False,51.057031111111,"{""71"": 1}",,13.726231111111,93385,True,,0,,12,0,2019-09-26 00:00:00,0,7551004176,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,start,22584206,frame_lock,True,1,False,51.056817777778,"{""71"": 1}",,13.726211111111,93385,True,,0,,12,0,2019-09-26 15:16:00,0,7551004176,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,end,22616490,frame_lock,True,1,False,51.054355555556,"{""71"": 1}",,13.728598888889,93385,True,,0,,12,0,2019-09-26 15:20:00,0,7551004176,True,0,71
False,dresden,0,BIKE 93385,False,ok,,0,start,22616490,frame_lock,True,1,False,51.054084444444,"{""71"": 1}",,13.728418888889,93385,True,,0,,12,0,2019-09-26 16:49:00,0,7551004176,True,0,71
False,dresden,0,Jugendgästehaus Maternistr. 22,True,ok,,0,end,820,frame_lock,True,1,False,51.048962,"{""71"": 1}",,13.723669,93385,False,,0,,0,0,2019-09-26 16:56:00,4416,7551004176,True,0,71
False,dresden,0,Jugendgästehaus Maternistr. 22,True,ok,,0,start,820,frame_lock,True,1,False,51.048962,"{""71"": 1}",,13.723669,93385,False,,0,,0,0,2019-09-26 18:31:00,4416,7551004176,True,0,71
False,dresden,0,Jugendgästehaus Maternistr. 22,True,ok,,0,end,820,frame_lock,True,1,False,51.048962,"{""71"": 1}",,13.723669,93385,False,,0,,0,0,2019-09-26 18:33:00,4416,7551004176,True,0,71
False,dresden,0,Jugendgästehaus Maternistr. 22,True,ok,,0,start,820,frame_lock,True,1,False,51.048962,"{""71"": 1}",,13.723669,93385,False,,0,,0,0,2019-09-26 19:02:00,4416,7551004176,True,0,71
False,dresden,0,Ebertplatz,True,ok,,0,end,11248297,frame_lock,True,3,False,51.04148833992683,"{""71"": 3}",,13.705219030380249,93385,False,,0,,0,0,2019-09-26 19:12:00,4507,7551004176,True,0,71
False,dresden,0,Ebertplatz,True,ok,,2,start,11248297,frame_lock,True,3,False,51.04148833992683,"{""71"": 3}",,13.705219030380249,93385,False,,0,,0,0,2019-09-26 23:13:00,4507,7551004176,True,0,71
