p_rack_locks,city,p_bike_racks,p_name,p_spot,b_state,p_terminal_type,p_booked_bikes,trip,p_uid,b_lock_types,b_active,p_bikes,p_maintenance,p_lat,p_bike_types,p_address,p_lng,b_number,p_bike,b_battery_pack,p_free_racks,b_pedelec_battery,p_place_type,p_special_racks,datetime,p_number,b_boardcomputer,b_electric_lock,p_free_special_racks,b_bike_type
False,dresden,0,BIKE 93850,False,ok,,0,first,22606389,frame_lock,True,1,False,51.050946666667,"{""71"": 1}",,13.735781111111,93850,True,,0,,12,0,2019-09-27 00:00:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22606389,frame_lock,True,1,False,51.051155555556,"{""71"": 1}",,13.735076666667,93850,True,,0,,12,0,2019-09-27 07:41:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,end,22645317,frame_lock,True,1,False,51.048906666667,"{""71"": 1}",,13.735371111111,93850,True,,0,,12,0,2019-09-27 07:44:00,0,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22645317,frame_lock,True,1,False,51.049991111111,"{""71"": 1}",,13.733601111111,93850,True,,0,,12,0,2019-09-27 14:21:00,0,7551012778,True,0,71
False,dresden,0,Manitiusstraße,True,ok,free,0,end,10299726,frame_lock,True,4,False,51.05658,"{""71"": 4}",,13.71493,93850,False,,0,,0,0,2019-09-27 14:28:00,4496,7551012778,True,0,71
False,dresden,0,BIKE 93850,False,ok,,0,start,22662625,frame_lock,True,1,False,51.055764444444,"{""71"": 1}",,13.714943333333,93850,True,,0,,12,0,2019-09-27 15:37:00,0,7551012778,True,0,71
False,dresden,0,Manitiusstraße,True,ok,free,0,end,10299726,frame_lock,True,5,False,51.05658,"{""71"": 5}",,13.71493,93850,False,,0,,0,0,2019-09-27 15:39:00,4496,7551012778,True,0,71
False,dresden,0,Manitiusstraße,True,ok,free,0,start,10299726,frame_lock,True,6,False,51.05658,"{""71"": 6}",,13.71493,93850,False,,0,,0,0,2019-09-27 20:23:00,4496,7551012778,True,0,71
False,dresden,0,Alaunstraße,True,ok,,0,end,264576,frame_lock,True,9,False,51.066946872474276,"{""71"": 9}",,13.751809000968931,93850,False,,0,,0,0,2019-09-27 20:35:00,4374,7551012778,True,0,71
False,dresden,0,Alaunstraße,True,ok,,0,start,264576,frame_lock,True,9,False,51.066946872474276,"{""71"": 9}",,13.751809000968931,93850,False,,0,,0,0,2019-09-27 21:15:00,4374,7551012778,True,0,71
False,dresden,0,Alexander-Puschkin-Platz,True,ok,free,0,end,10299848,frame_lock,True,5,False,51.07035,"{""71"": 5}",,13.72983,93850,False,,0,,0,0,2019-09-27 21:29:00,4504,7551012778,True,0,71
False,dresden,0,Alexander-Puschkin-Platz,True,ok,free,0,start,10299848,frame_lock,True,6,False,51.07035,"{""71"": 6}",,13.72983,93850,False,,0,,0,0,2019-09-27 22:26:00,4504,7551012778,True,0,71
False,dresden,0,Friedensstraße/Conradstr.,True,ok,,0,end,264575,frame_lock,True,2,False,51.07174027751911,"{""71"": 2}",,13.741257190704346,93850,False,,0,,0,0,2019-09-27 22:32:00,4373,7551012778,True,0,71
False,dresden,0,Friedensstraße/Conradstr.,True,ok,,0,last,264575,frame_lock,True,2,False,51.07174027751911,"{""71"": 2}",,13.741257190704346,93850,False,,0,,0,0,2019-09-27 23:59:00,4373,7551012778,True,0,71
False,dresden,0,Teplitzer Str. / Reichenbachstr.,True,ok,,0,first,264588,frame_lock,True,1,False,51.03090291415399,"{""71"": 1}",,13.75082194805145,93385,False,,0,,0,0,2019-09-27 00:00:00,4384,7551004176,True,0,71
False,dresden,0,Teplitzer Str. / Reichenbachstr.,True,ok,,0,start,264588,frame_lock,True,1,False,51.03090291415399,"{""71"": 1}",,13.75082194805145,93385,False,,0,,0,0,2019-09-27 05:27:00,4384,7551004176,True,0,71
False,dresden,0,Wiener Str. / Gerhart-Hauptmann-Str.,True,ok,free,0,end,4405619,frame_lock,True,3,False,51.03546,"{""71"": 3}",,13.74965,93385,False,,0,,0,0,2019-09-27 05:31:00,4454,7551004176,True,0,71
