p_bike_types,p_rack_locks,p_spot,p_special_racks,b_state,b_bike_type,p_name,p_uid,trip,p_booked_bikes,p_terminal_type,p_bike_racks,p_place_type,p_bike,p_lng,b_active,b_number,p_address,p_free_racks,b_lock_types,b_boardcomputer,b_electric_lock,city,datetime,p_maintenance,p_bikes,p_free_special_racks,p_lat,b_battery_pack,b_pedelec_battery,p_number
"{""15"": 3, ""undefined"": 1}",False,True,0,ok,15,Barbarossaplatz,264605,first,0,,0,0,False,13.790733218193,True,93786,,0,frame_lock,7551006189,True,dresden,2019-05-10 07:56:00,False,4,0,51.048412423104,,,4398
"{""15"": 3, ""undefined"": 2}",False,True,0,ok,15,Barbarossaplatz,264605,start,0,,0,0,False,13.790733218193,True,93786,,0,frame_lock,7551006189,True,dresden,2019-05-10 17:44:00,False,5,0,51.048412423104,,,4398
"{""15"": 4, ""undefined"": 1}",False,True,0,ok,15,Barbarossaplatz,264605,end,0,,0,0,False,13.790733218193,True,93786,,0,frame_lock,7551006189,True,dresden,2019-05-10 20:16:00,False,5,0,51.048412423104,,,4398
"{""15"": 4, ""undefined"": 1}",False,True,0,ok,15,Barbarossaplatz,264605,last,0,,0,0,False,13.790733218193,True,93786,,0,frame_lock,7551006189,True,dresden,2019-05-10 23:59:00,False,5,0,51.048412423104,,,4398
"{""71"": 1, ""15"": 4}",False,True,0,ok,15,Pirnaischer Platz,9972732,first,0,,0,0,False,13.74415397644,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 07:36:00,False,5,0,51.048972240425,,,4315
"{""15"": 5}",False,True,0,ok,15,Pirnaischer Platz,9972732,start,0,,0,0,False,13.74415397644,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 09:04:00,False,5,0,51.048972240425,,,4315
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15563686,end,0,,0,12,True,13.747694444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 09:36:00,False,1,0,51.049577777778,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15568313,start,0,,0,12,True,13.749147777778,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 14:46:00,False,1,0,51.049968888889,,,0
"{""15"": 1}",False,True,0,ok,15,Pirnaischer Platz,9972732,end,0,,0,0,False,13.74415397644,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 14:56:00,False,1,0,51.048972240425,,,4315
"{""15"": 1}",False,True,0,ok,15,Pirnaischer Platz,9972732,start,0,,0,0,False,13.74415397644,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 15:10:00,False,1,0,51.048972240425,,,4315
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15579068,end,0,,0,12,True,13.748635555556,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 15:24:00,False,1,0,51.073715555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15579068,last,0,,0,12,True,13.748494444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-10 23:59:00,False,1,0,51.073564444444,,,0
"{""15"": 4, ""undefined"": 1}",False,True,0,ok,15,Kino im Dach,681987,first,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-10 00:00:00,False,5,0,51.040908194397,,,4446
"{""15"": 3, ""undefined"": 2}",False,True,0,ok,15,Kino im Dach,681987,start,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-10 14:38:00,False,5,0,51.040908194397,,,4446
"{""15"": 1}",False,False,0,ok,15,BIKE 93658,15576765,end,0,,0,12,True,13.799958888889,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-10 14:41:00,False,1,0,51.041391111111,,,0
"{""15"": 4, ""undefined"": 1}",False,True,0,ok,15,Kino im Dach,681987,last,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-10 23:59:00,False,5,0,51.040908194397,,,4446
"{""undefined"": 5}",False,True,0,ok,0,DVB Endpunkt Laubegast,264566,first,0,stele,6,0,False,13.838900327682,True,93424,,1,frame_lock,7551002635,True,dresden,2019-05-10 00:00:00,False,5,0,51.022778359957,,,4365
"{""71"": 1, ""undefined"": 4}",False,True,0,ok,0,DVB Endpunkt Laubegast,264566,last,0,stele,6,0,False,13.838900327682,True,93424,,0,frame_lock,7551002635,True,dresden,2019-05-10 23:59:00,False,5,0,51.022778359957,,,4365
