p_spot,b_pedelec_battery,p_lng,p_place_type,p_rack_locks,b_lock_types,p_bikes,b_number,p_bike,b_active,b_electric_lock,p_name,datetime,p_uid,b_bike_type,trip,b_boardcomputer,p_bike_types,p_free_special_racks,p_booked_bikes,b_battery_pack,city,p_number,p_maintenance,p_special_racks,p_terminal_type,p_bike_racks,p_lat,p_free_racks,p_address,b_state
False,,13.701132222222,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 00:00:00,16036776,71,first,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.042333333333,0,,ok
False,,13.700968888889,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 04:55:00,16036776,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.042968888889,0,,ok
False,,13.690517777778,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 05:08:00,16043859,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.049617777778,0,,ok
False,,13.690552222222,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 10:07:00,16043859,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.049795555556,0,Klopstockstraße 41,ok
False,,13.692571111111,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 10:10:00,16053729,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.047564444444,0,Rudolf-Renner-Straße 29,ok
False,,13.692673333333,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 10:43:00,16053729,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.047746666667,0,Tunnel Bramschstraße,ok
False,,13.690726666667,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 10:46:00,16054979,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.049911111111,0,Unkersdorfer Straße 18,ok
False,,13.690663333333,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 11:20:00,16054979,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.049951111111,0,Klopstockstraße 41,ok
True,,13.68327,0,False,frame_lock,3,93833,False,True,True,Koblenzer Straße ,2019-05-21 11:29:00,10299824,71,end,7551012504,"{""15"": 1, ""71"": 1, ""undefined"": 1}",0,0,,dresden,4503,False,0,free,0,51.04254,0,,ok
True,,13.68327,0,False,frame_lock,4,93833,False,True,True,Koblenzer Straße ,2019-05-21 14:52:00,10299824,71,start,7551012504,"{""15"": 2, ""71"": 1, ""undefined"": 1}",0,0,,dresden,4503,False,0,free,0,51.04254,0,,ok
False,,13.689223333333,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 14:57:00,16066437,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.041177777778,0,,ok
False,,13.689681111111,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 16:05:00,16066437,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.041208888889,0,,ok
True,,13.698416948318,0,False,frame_lock,1,93833,False,True,True,Bünaustraße,2019-05-21 16:09:00,10299619,71,end,7551012504,"{""71"": 1}",0,0,,dresden,4485,False,0,free,0,51.043407490521,0,,ok
True,,13.698416948318,0,False,frame_lock,1,93833,False,True,True,Bünaustraße,2019-05-21 16:42:00,10299619,71,start,7551012504,"{""71"": 1}",0,0,,dresden,4485,False,0,free,0,51.043407490521,0,,ok
False,,13.733213333333,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 17:29:00,16074313,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.037093333333,0,,ok
False,,13.733244444444,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 20:03:00,16078931,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.03904,0,,ok
False,,13.744262222222,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 20:32:00,16080508,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.055275555556,0,,ok
False,,13.744222222222,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 22:27:00,16080508,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.055231111111,0,,ok
False,,13.745921111111,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 22:36:00,16083182,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.056151111111,0,,ok
False,,13.745967777778,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 22:39:00,16083182,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.05624,0,,ok
False,,13.746445555556,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 22:51:00,16083451,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.062866666667,0,,ok
False,,13.746488888889,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-21 23:51:00,16083451,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.062915555556,0,,ok
True,,13.74731361866,0,False,frame_lock,1,93833,False,True,True,Albertplatz,2019-05-21 23:55:00,2985,71,end,7551012504,"{""71"": 1}",0,0,,dresden,4302,False,0,,0,51.063895958845,0,,ok
True,,13.74731361866,0,False,frame_lock,1,93833,False,True,True,Albertplatz,2019-05-21 23:59:00,2985,71,last,7551012504,"{""71"": 1}",0,0,,dresden,4302,False,0,,0,51.063895958845,0,,ok
True,,13.789837360382,0,False,frame_lock,4,93406,False,True,True,Bergmannstraße / Wormser Straße,2019-05-21 00:00:00,274412,0,first,7551007269,"{""15"": 1, ""71"": 2, ""undefined"": 1}",0,0,,dresden,4425,False,0,,0,51.045090476312,0,,ok
True,,13.789837360382,0,False,frame_lock,1,93406,False,True,True,Bergmannstraße / Wormser Straße,2019-05-21 07:04:00,274412,0,start,7551007269,"{""undefined"": 1}",0,0,,dresden,4425,False,0,,0,51.045090476312,0,,ok
