p_lat,p_bike_racks,b_pedelec_battery,city,p_free_racks,trip,p_rack_locks,p_name,p_uid,b_boardcomputer,datetime,p_number,p_maintenance,b_active,b_bike_type,p_bike,p_lng,p_bike_types,p_spot,p_place_type,p_booked_bikes,p_terminal_type,p_free_special_racks,b_number,p_bikes,p_address,p_special_racks,b_lock_types,b_battery_pack,b_state,b_electric_lock
51.041488339927,0,,dresden,0,end,False,Ebertplatz,11248297,7551006429,2019-05-31 06:45:00,4507,False,True,15,False,13.70521903038,"{""15"": 1}",True,0,0,,0,93616,1,,0,frame_lock,,ok,True
51.041488339927,0,,dresden,0,start,False,Ebertplatz,11248297,7551006429,2019-05-31 06:48:00,4507,False,True,15,False,13.70521903038,"{""15"": 1}",True,0,0,,0,93616,1,,0,frame_lock,,ok,True
51.041488339927,0,,dresden,0,end,False,Ebertplatz,11248297,7551006429,2019-05-31 06:52:00,4507,False,True,15,False,13.70521903038,"{""15"": 1}",True,0,0,,0,93616,1,,0,frame_lock,,ok,True
51.041488339927,0,,dresden,0,start,False,Ebertplatz,11248297,7551006429,2019-05-31 08:23:00,4507,False,True,15,False,13.70521903038,"{""15"": 1}",True,0,0,,0,93616,1,,0,frame_lock,,ok,True
51.042186666667,0,,dresden,0,end,False,BIKE 93616,16526563,7551006429,2019-05-31 08:37:00,0,False,True,15,True,13.734533333333,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.042213333333,0,,dresden,0,start,False,BIKE 93616,16526563,7551006429,2019-05-31 10:16:00,0,False,True,15,True,13.734271111111,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.042933333333,0,,dresden,0,end,False,BIKE 93616,16530851,7551006429,2019-05-31 10:31:00,0,False,True,15,True,13.733798888889,"{""15"": 1}",False,12,0,,0,93616,1,Reitbahnstraße,0,frame_lock,,ok,True
51.042977777778,0,,dresden,0,start,False,BIKE 93616,16530851,7551006429,2019-05-31 11:37:00,0,False,True,15,True,13.733764444444,"{""15"": 1}",False,12,0,,0,93616,1,Reitbahnstraße,0,frame_lock,,ok,True
51.048315555556,0,,dresden,0,end,False,BIKE 93616,16536709,7551006429,2019-05-31 12:31:00,0,False,True,15,True,13.800634444444,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.047884444444,0,,dresden,0,start,False,BIKE 93616,16536790,7551006429,2019-05-31 12:57:00,0,False,True,15,True,13.800927777778,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.032728888889,0,,dresden,0,end,False,BIKE 93616,16539460,7551006429,2019-05-31 13:22:00,0,False,True,15,True,13.765423333333,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.032737777778,0,,dresden,0,start,False,BIKE 93616,16539460,7551006429,2019-05-31 14:04:00,0,False,True,15,True,13.765454444444,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.032737777778,0,,dresden,0,end,False,BIKE 93616,16539460,7551006429,2019-05-31 14:06:00,0,False,True,15,True,13.765454444444,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.032737777778,0,,dresden,0,start,False,BIKE 93616,16539460,7551006429,2019-05-31 14:08:00,0,False,True,15,True,13.765454444444,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.030044444444,0,,dresden,0,end,False,BIKE 93616,16544295,7551006429,2019-05-31 14:51:00,0,False,True,15,True,13.734615555556,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.030222222222,0,,dresden,0,start,False,BIKE 93616,16544295,7551006429,2019-05-31 16:09:00,0,False,True,15,True,13.734694444444,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.044977777778,0,,dresden,0,end,False,BIKE 93616,16550213,7551006429,2019-05-31 16:36:00,0,False,True,15,True,13.6936,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.044977777778,0,,dresden,0,start,False,BIKE 93616,16550213,7551006429,2019-05-31 17:16:00,0,False,True,15,True,13.69379,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.07035,0,,dresden,0,end,False,Alexander-Puschkin-Platz,10299848,7551006429,2019-05-31 17:35:00,4504,False,True,15,False,13.72983,"{""15"": 1}",True,0,0,free,0,93616,1,,0,frame_lock,,ok,True
51.07035,0,,dresden,0,start,False,Alexander-Puschkin-Platz,10299848,7551006429,2019-05-31 17:39:00,4504,False,True,15,False,13.72983,"{""15"": 1}",True,0,0,free,0,93616,1,,0,frame_lock,,ok,True
51.076968888889,0,,dresden,0,end,False,BIKE 93616,16553998,7551006429,2019-05-31 17:46:00,0,False,True,15,True,13.72501,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.077004444444,0,,dresden,0,start,False,BIKE 93616,16553998,7551006429,2019-05-31 20:35:00,0,False,True,15,True,13.725122222222,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.077097777778,0,,dresden,0,end,False,BIKE 93616,16561794,7551006429,2019-05-31 20:38:00,0,False,True,15,True,13.724987777778,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.077097777778,0,,dresden,0,start,False,BIKE 93616,16561794,7551006429,2019-05-31 22:18:00,0,False,True,15,True,13.724987777778,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.066568888889,0,,dresden,0,start,False,BIKE 93616,16565729,7551006429,2019-05-31 22:30:00,0,False,True,15,True,13.753684444444,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.05196,0,,dresden,0,end,False,BIKE 93616,16566277,7551006429,2019-05-31 22:47:00,0,False,True,15,True,13.735067777778,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.051902222222,0,,dresden,0,last,False,BIKE 93616,16566277,7551006429,2019-05-31 23:59:00,0,False,True,15,True,13.734987777778,"{""15"": 1}",False,12,0,,0,93616,1,,0,frame_lock,,ok,True
51.063798191437,0,,dresden,0,first,False,Parkhotel Weißer Hirsch,263934,7551006895,2019-05-31 00:00:00,4331,False,True,15,False,13.821358680725,"{""undefined"": 1, ""15"": 3}",True,0,0,,0,93031,4,,0,frame_lock,,ok,True
51.063798191437,0,,dresden,0,start,False,Parkhotel Weißer Hirsch,263934,7551006895,2019-05-31 06:20:00,4331,False,True,15,False,13.821358680725,"{""15"": 3}",True,0,0,,0,93031,4,,0,frame_lock,,ok,True
51.048337777778,0,,dresden,0,end,False,BIKE 93031,16522642,7551006895,2019-05-31 06:44:00,0,False,True,15,True,13.737753333333,"{""15"": 1}",False,12,0,,0,93031,1,Kramergasse,0,frame_lock,,ok,True
51.049427508558,0,,dresden,0,start,False,Altmarkt / Seestraße ,43026,7551006895,2019-05-31 11:42:00,4413,False,True,15,False,13.736944198608,"{""15"": 2}",True,0,0,,0,93031,2,,0,frame_lock,,ok,True
51.049427508558,0,,dresden,0,end,False,Altmarkt / Seestraße ,43026,7551006895,2019-05-31 11:49:00,4413,False,True,15,False,13.736944198608,"{""15"": 2}",True,0,0,,0,93031,2,,0,frame_lock,,ok,True
