p_bike_types,p_rack_locks,p_spot,p_special_racks,b_state,b_bike_type,p_name,p_uid,trip,p_booked_bikes,p_terminal_type,p_bike_racks,p_place_type,p_bike,p_lng,b_active,b_number,p_address,p_free_racks,b_lock_types,b_boardcomputer,b_electric_lock,city,datetime,p_maintenance,p_bikes,p_free_special_racks,p_lat,b_battery_pack,b_pedelec_battery,p_number
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15579068,first,0,,0,12,True,13.748494444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-11 00:00:00,False,1,0,51.073564444444,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15579068,start,0,,0,12,True,13.748535555556,True,93698,Erlenstraße 2,0,frame_lock,7551003551,True,dresden,2019-05-11 13:53:00,False,1,0,51.073591111111,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15626882,end,0,,0,12,True,13.727801111111,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-11 18:00:00,False,1,0,51.080915555556,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15626882,start,0,,0,12,True,13.727954444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-11 23:26:00,False,1,0,51.080702222222,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15626882,end,0,,0,12,True,13.727954444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-11 23:29:00,False,1,0,51.080702222222,,,0
"{""15"": 1}",False,False,0,ok,15,BIKE 93698,15626882,last,0,,0,12,True,13.727954444444,True,93698,,0,frame_lock,7551003551,True,dresden,2019-05-11 23:59:00,False,1,0,51.080702222222,,,0
"{""15"": 4, ""undefined"": 1}",False,True,0,ok,15,Kino im Dach,681987,first,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-11 00:00:00,False,5,0,51.040908194397,,,4446
"{""71"": 1, ""15"": 3, ""undefined"": 1}",False,True,0,ok,15,Kino im Dach,681987,start,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-11 15:24:00,False,5,0,51.040908194397,,,4446
"{""71"": 1, ""15"": 3, ""undefined"": 1}",False,True,0,ok,15,Kino im Dach,681987,end,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-11 15:26:00,False,5,0,51.040908194397,,,4446
"{""71"": 1, ""15"": 3, ""undefined"": 1}",False,True,0,ok,15,Kino im Dach,681987,start,0,,0,0,False,13.800866603851,True,93658,,0,frame_lock,7551006303,True,dresden,2019-05-11 20:38:00,False,5,0,51.040908194397,,,4446
