p_spot,b_pedelec_battery,p_lng,p_place_type,p_rack_locks,b_lock_types,p_bikes,b_number,p_bike,b_active,b_electric_lock,p_name,datetime,p_uid,b_bike_type,trip,b_boardcomputer,p_bike_types,p_free_special_racks,p_booked_bikes,b_battery_pack,city,p_number,p_maintenance,p_special_racks,p_terminal_type,p_bike_racks,p_lat,p_free_racks,p_address,b_state
True,,13.723919391632,0,False,frame_lock,5,93833,False,True,True,Andreas-Pfitzmann-Bau,2019-05-20 12:40:00,4405708,71,first,7551012504,"{""15"": 1, ""71"": 3, ""undefined"": 1}",0,0,,dresden,4461,False,0,traffic_sign,0,51.025619416653,0,,ok
True,,13.723919391632,0,False,frame_lock,5,93833,False,True,True,Andreas-Pfitzmann-Bau,2019-05-20 13:20:00,4405708,71,start,7551012504,"{""15"": 1, ""71"": 3, ""undefined"": 1}",0,0,,dresden,4461,False,0,traffic_sign,0,51.025619416653,0,,ok
False,,13.700957777778,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 13:33:00,16015492,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.042702222222,0,,ok
False,,13.701182222222,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 17:03:00,16015492,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.04256,0,,ok
False,,13.685927777778,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 17:17:00,16027378,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.053026666667,0,,ok
False,,13.685891111111,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 18:48:00,16027378,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.052986666667,0,,ok
False,,13.699055555556,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 19:09:00,16032403,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.041346666667,0,,ok
False,,13.698976666667,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 20:41:00,16032403,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.041266666667,0,,ok
False,,13.698976666667,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 20:43:00,16032403,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.041266666667,0,,ok
False,,13.698976666667,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 21:07:00,16032403,71,start,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.041266666667,0,,ok
False,,13.70038,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 21:42:00,16036776,71,end,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.043164444444,0,,ok
False,,13.701132222222,12,False,frame_lock,1,93833,True,True,True,BIKE 93833,2019-05-20 23:59:00,16036776,71,last,7551012504,"{""71"": 1}",0,0,,dresden,0,False,0,,0,51.042333333333,0,,ok
False,,13.782488888889,12,False,frame_lock,1,93406,True,True,True,BIKE 93406,2019-05-20 00:00:00,15987211,0,first,7551007269,"{""undefined"": 1}",0,0,,dresden,0,False,0,,0,51.054222222222,0,,ok
False,,13.782845555556,12,False,frame_lock,1,93406,True,True,True,BIKE 93406,2019-05-20 01:46:00,15987211,0,start,7551007269,"{""undefined"": 1}",0,0,,dresden,0,False,0,,0,51.053857777778,0,,ok
False,,13.782845555556,12,False,frame_lock,1,93406,True,True,True,BIKE 93406,2019-05-20 01:53:00,15987211,0,end,7551007269,"{""undefined"": 1}",0,0,,dresden,0,False,0,,0,51.053857777778,0,,ok
False,,13.782291111111,12,False,frame_lock,1,93406,True,True,True,BIKE 93406,2019-05-20 13:39:00,15987211,0,start,7551007269,"{""undefined"": 1}",0,0,,dresden,0,False,0,,0,51.05412,0,,ok
False,,13.782425555556,12,False,frame_lock,1,93406,True,True,True,BIKE 93406,2019-05-20 13:41:00,16015863,0,end,7551007269,"{""undefined"": 1}",0,0,,dresden,0,False,0,,0,51.054155555556,0,,ok
