p_spot,b_pedelec_battery,p_lng,p_place_type,p_rack_locks,b_lock_types,p_bikes,b_number,p_bike,b_active,b_electric_lock,p_name,datetime,p_uid,b_bike_type,trip,b_boardcomputer,p_bike_types,p_free_special_racks,p_booked_bikes,b_battery_pack,city,p_number,p_maintenance,p_special_racks,p_terminal_type,p_bike_racks,p_lat,p_free_racks,p_address,b_state
True,,13.795416355133,0,False,frame_lock,1,93727,False,True,True,Pohlandplatz,2019-05-15 00:00:00,126784,15,first,7551006606,"{""15"": 1}",0,0,,dresden,4322,True,0,,0,51.042955536027,0,,ok
True,,13.795416355133,0,False,frame_lock,1,93727,False,True,True,Pohlandplatz,2019-05-15 06:24:00,126784,15,start,7551006606,"{""15"": 1}",0,0,,dresden,4322,True,0,,0,51.042955536027,0,,ok
True,,13.795416355133,0,False,frame_lock,1,93727,False,True,True,Pohlandplatz,2019-05-15 06:26:00,126784,15,end,7551006606,"{""15"": 1}",0,0,,dresden,4322,True,0,,0,51.042955536027,0,,ok
True,,13.795416355133,0,False,frame_lock,2,93727,False,True,True,Pohlandplatz,2019-05-15 17:02:00,126784,15,start,7551006606,"{""15"": 2}",0,0,,dresden,4322,True,0,,0,51.042955536027,0,,ok
True,,13.795416355133,0,False,frame_lock,2,93727,False,True,True,Pohlandplatz,2019-05-15 17:04:00,126784,15,end,7551006606,"{""15"": 2}",0,0,,dresden,4322,True,0,,0,51.042955536027,0,,ok
True,,13.795416355133,0,False,frame_lock,3,93727,False,True,True,Pohlandplatz,2019-05-15 23:59:00,126784,15,last,7551006606,"{""15"": 2, ""71"": 1}",0,0,,dresden,4322,True,0,,0,51.042955536027,0,,ok
True,,13.74415397644,0,False,frame_lock,5,93613,False,True,True,Pirnaischer Platz,2019-05-15 04:26:00,9972732,15,first,7551004384,"{""15"": 3, ""undefined"": 2}",0,0,,dresden,4315,False,0,,0,51.048972240425,0,,ok
True,,13.74415397644,0,False,frame_lock,2,93613,False,True,True,Pirnaischer Platz,2019-05-15 09:27:00,9972732,15,start,7551004384,"{""15"": 1, ""undefined"": 1}",0,0,,dresden,4315,False,0,,0,51.048972240425,0,,ok
True,,13.74415397644,0,False,frame_lock,5,93613,False,True,True,Pirnaischer Platz,2019-05-15 12:48:00,9972732,15,end,7551004384,"{""15"": 4, ""undefined"": 1}",0,0,,dresden,4315,False,0,,0,51.048972240425,0,,ok
True,,13.74415397644,0,False,frame_lock,5,93613,False,True,True,Pirnaischer Platz,2019-05-15 13:29:00,9972732,15,start,7551004384,"{""15"": 4, ""undefined"": 1}",0,0,,dresden,4315,False,0,,0,51.048972240425,0,,ok
True,,13.74415397644,0,False,frame_lock,5,93613,False,True,True,Pirnaischer Platz,2019-05-15 14:30:00,9972732,15,end,7551004384,"{""15"": 3, ""undefined"": 2}",0,0,,dresden,4315,False,0,,0,51.048972240425,0,,ok
True,,13.74415397644,0,False,frame_lock,4,93613,False,True,True,Pirnaischer Platz,2019-05-15 16:28:00,9972732,15,start,7551004384,"{""15"": 2, ""undefined"": 2}",0,0,,dresden,4315,False,0,,0,51.048972240425,0,,ok
True,,13.7167096138,0,False,frame_lock,2,93613,False,True,True,Altpieschen,2019-05-15 16:44:00,264557,15,end,7551004384,"{""15"": 2}",0,0,,dresden,4355,False,0,,0,51.077648763812,0,,ok
True,,13.7167096138,0,False,frame_lock,2,93613,False,True,True,Altpieschen,2019-05-15 17:02:00,264557,15,start,7551004384,"{""15"": 2}",0,0,,dresden,4355,False,0,,0,51.077648763812,0,,ok
True,,13.7167096138,0,False,frame_lock,2,93613,False,True,True,Altpieschen,2019-05-15 17:04:00,264557,15,end,7551004384,"{""15"": 2}",0,0,,dresden,4355,False,0,,0,51.077648763812,0,,ok
True,,13.7167096138,0,False,frame_lock,3,93613,False,True,True,Altpieschen,2019-05-15 23:59:00,264557,15,last,7551004384,"{""15"": 3}",0,0,,dresden,4355,False,0,,0,51.077648763812,0,,ok
True,,13.758975863457,0,False,frame_lock,4,93406,False,True,True,Bischofsweg / Kamenzer Str.,2019-05-15 00:00:00,176054,0,first,7551007269,"{""15"": 2, ""undefined"": 2}",0,0,,dresden,4312,False,0,,0,51.068905419327,0,,ok
True,,13.758975863457,0,False,frame_lock,5,93406,False,True,True,Bischofsweg / Kamenzer Str.,2019-05-15 05:26:00,176054,0,start,7551007269,"{""15"": 3, ""undefined"": 2}",0,0,,dresden,4312,False,0,,0,51.068905419327,0,,ok
