p_booked_bikes,b_bike_type,p_bikes,p_bike,p_maintenance,b_boardcomputer,b_state,p_name,b_electric_lock,b_pedelec_battery,b_battery_pack,city,b_active,p_number,p_bike_racks,trip,p_lat,p_uid,p_special_racks,p_rack_locks,b_lock_types,p_place_type,p_free_racks,p_spot,p_bike_types,p_free_special_racks,datetime,p_terminal_type,p_lng,b_number,p_address
0,71,15,False,False,7551006338,ok,Altpieschen,True,,,dresden,True,4355,0,first,51.07764876381213,264557,0,False,frame_lock,0,0,True,"{""71"": 15}",0,2019-10-11 00:00:00,,13.716709613800047,93449,
0,71,15,False,False,7551006338,ok,Altpieschen,True,,,dresden,True,4355,0,start,51.07764876381213,264557,0,False,frame_lock,0,0,True,"{""71"": 15}",0,2019-10-11 00:57:00,,13.716709613800047,93449,
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,end,51.078213333333,23236226,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-11 01:12:00,,13.732868888889,93449,
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,start,51.078195555556,23236226,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-11 16:13:00,,13.73288,93449,
0,71,2,False,False,7551006338,ok,Bischofsweg / Kamenzer Str.,True,,,dresden,True,4312,0,end,51.068905419326775,176054,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-11 16:39:00,,13.758975863456726,93449,
0,71,3,False,False,7551006338,ok,Bischofsweg / Kamenzer Str.,True,,,dresden,True,4312,0,start,51.068905419326775,176054,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-11 18:39:00,,13.758975863456726,93449,
0,71,2,False,False,7551006338,ok,Alexander-Puschkin-Platz,True,,,dresden,True,4504,0,end,51.07035,10299848,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-11 18:55:00,free,13.72983,93449,
0,71,5,False,False,7551006338,ok,Alexander-Puschkin-Platz,True,,,dresden,True,4504,0,last,51.07035,10299848,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-11 23:59:00,free,13.72983,93449,
0,71,19,False,False,7551006379,ok,Gutenbergstraße,True,,,dresden,True,4389,0,first,51.0587713199203,264595,0,False,frame_lock,0,0,True,"{""71"": 19}",0,2019-10-11 00:00:00,,13.7692809104919,93408,
0,71,21,False,False,7551006379,ok,Gutenbergstraße,True,,,dresden,True,4389,0,last,51.0587713199203,264595,0,False,frame_lock,0,0,True,"{""71"": 21}",0,2019-10-11 23:59:00,,13.7692809104919,93408,
0,71,7,False,False,7551002421,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,first,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 7}",0,2019-10-11 00:00:00,,13.741257190704346,93706,
0,71,3,False,False,7551002421,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,start,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-11 11:37:00,,13.741257190704346,93706,
0,71,1,False,False,7551002421,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,end,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-11 12:03:00,,13.741257190704346,93706,
0,71,5,False,False,7551002421,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,start,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-11 18:11:00,,13.741257190704346,93706,
0,71,6,False,False,7551002421,ok,Schauburg,True,,,dresden,True,4327,0,end,51.07114365710672,121771,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-11 18:19:00,,13.75032842159271,93706,
0,71,6,False,False,7551002421,ok,Schauburg,True,,,dresden,True,4327,0,start,51.07114365710672,121771,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-11 20:35:00,,13.75032842159271,93706,
0,71,7,False,False,7551002421,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,end,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 7}",0,2019-10-11 20:45:00,,13.741257190704346,93706,
0,71,6,False,False,7551002421,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,last,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-11 23:59:00,,13.741257190704346,93706,
0,71,3,False,False,7551016029,ok,Park Inn,True,,,dresden,True,4423,0,first,51.060089620046995,273621,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-11 00:00:00,,13.75137984752655,93898,
0,71,2,False,False,7551016029,ok,Park Inn,True,,,dresden,True,4423,0,start,51.060089620046995,273621,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-11 00:34:00,,13.75137984752655,93898,
0,71,3,False,False,7551016029,ok,Park Inn,True,,,dresden,True,4423,0,end,51.060089620046995,273621,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-11 00:37:00,,13.75137984752655,93898,
0,71,3,False,False,7551016029,ok,Park Inn,True,,,dresden,True,4423,0,start,51.060089620046995,273621,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-11 01:19:00,,13.75137984752655,93898,
0,71,8,False,False,7551016029,ok,Schillergalerie,True,,,dresden,True,4399,6,end,51.05136993564705,329097,0,False,frame_lock,0,0,True,"{""15"": 1, ""71"": 7}",0,2019-10-11 01:41:00,,13.804289102554321,93898,
0,71,12,False,False,7551016029,ok,Schillergalerie,True,,,dresden,True,4399,6,start,51.05136993564705,329097,0,False,frame_lock,0,0,True,"{""15"": 1, ""71"": 11}",0,2019-10-11 12:10:00,,13.804289102554321,93898,
0,71,1,True,False,7551016029,ok,BIKE 93898,True,,,dresden,True,0,0,end,51.042577777778,23258489,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-11 12:36:00,,13.733311111111,93898,
0,71,1,True,False,7551016029,ok,BIKE 93898,True,,,dresden,True,0,0,start,51.042773333333,23258762,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-11 15:21:00,,13.73239,93898,
