p_booked_bikes,b_bike_type,p_bikes,p_bike,p_maintenance,b_boardcomputer,b_state,p_name,b_electric_lock,b_pedelec_battery,b_battery_pack,city,b_active,p_number,p_bike_racks,trip,p_lat,p_uid,p_special_racks,p_rack_locks,b_lock_types,p_place_type,p_free_racks,p_spot,p_bike_types,p_free_special_racks,datetime,p_terminal_type,p_lng,b_number,p_address
0,71,12,False,False,7551006338,ok,Waldschlösschen,True,,,dresden,True,4361,0,first,51.0671525069327,100894,0,False,frame_lock,0,0,True,"{""71"": 12}",0,2019-10-27 01:00:00,,13.776479959487915,93449,
0,71,12,False,False,7551006338,ok,Waldschlösschen,True,,,dresden,True,4361,0,start,51.0671525069327,100894,0,False,frame_lock,0,0,True,"{""71"": 12}",0,2019-10-27 19:07:00,,13.776479959487915,93449,
0,71,12,False,False,7551006338,ok,Waldschlösschen,True,,,dresden,True,4361,0,end,51.0671525069327,100894,0,False,frame_lock,0,0,True,"{""71"": 12}",0,2019-10-27 19:13:00,,13.776479959487915,93449,
0,71,12,False,False,7551006338,ok,Waldschlösschen,True,,,dresden,True,4361,0,start,51.0671525069327,100894,0,False,frame_lock,0,0,True,"{""71"": 12}",0,2019-10-27 20:46:00,,13.776479959487915,93449,
0,71,12,False,False,7551006338,ok,Waldschlösschen,True,,,dresden,True,4361,0,end,51.0671525069327,100894,0,False,frame_lock,0,0,True,"{""71"": 12}",0,2019-10-27 20:48:00,,13.776479959487915,93449,
0,71,12,False,False,7551006338,ok,Waldschlösschen,True,,,dresden,True,4361,0,last,51.0671525069327,100894,0,False,frame_lock,0,0,True,"{""71"": 12}",0,2019-10-27 23:59:00,,13.776479959487915,93449,
0,71,10,False,False,7551003856,ok,Rothermundstr. / Zwinglistr.,True,,,dresden,True,4405,0,first,51.03335214736798,4442319,0,False,frame_lock,0,0,True,"{""71"": 10}",0,2019-10-27 01:00:00,free,13.782976269721985,93377,
0,71,10,False,False,7551003856,ok,Rothermundstr. / Zwinglistr.,True,,,dresden,True,4405,0,start,51.03335214736798,4442319,0,False,frame_lock,0,0,True,"{""71"": 10}",0,2019-10-27 10:34:00,free,13.782976269721985,93377,
0,71,1,True,False,7551003856,ok,BIKE 93377,True,,,dresden,True,0,0,end,51.045711111111,24097585,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 10:49:00,,13.755198888889,93377,
0,71,1,True,False,7551003856,ok,BIKE 93377,True,,,dresden,True,0,0,start,51.045702222222,24097585,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 10:53:00,,13.755222222222,93377,
0,71,4,False,False,7551003856,ok,Pfotenhauer Straße,True,,,dresden,True,4394,0,end,51.05858587827212,264601,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-27 11:10:00,,13.777585029602049,93377,
0,71,5,False,False,7551003856,ok,Pfotenhauer Straße,True,,,dresden,True,4394,0,start,51.05858587827212,264601,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-27 12:31:00,,13.777585029602049,93377,
0,71,1,True,False,7551003856,ok,BIKE 93377,True,,,dresden,True,0,0,end,51.045728888889,24102146,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 12:45:00,,13.755177777778,93377,
0,71,5,False,False,7551003856,ok,Stadtteilzentrum Straßburger Platz,True,,,dresden,True,4468,0,start,51.04649,10299434,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-27 15:52:00,free,13.75599,93377,
0,71,1,True,False,7551003856,ok,BIKE 93377,True,,,dresden,True,0,0,end,51.064413333333,24110214,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 16:05:00,,13.755604444444,93377,
1,71,2,False,False,7551003856,ok,Martin-Luther-Platz (Kirche),True,,,dresden,True,4376,0,start,51.064135319559504,264578,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-27 16:30:00,,13.756663799285887,93377,
0,71,1,True,False,7551003856,ok,BIKE 93377,True,,,dresden,True,0,0,end,51.041244444444,24112173,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 16:56:00,,13.732332222222,93377,
0,71,1,True,False,7551003856,ok,BIKE 93377,True,,,dresden,True,0,0,start,51.040764444444,24112173,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 17:55:00,,13.732236666667,93377,
0,71,3,False,False,7551003856,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,end,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-27 18:01:00,free,13.744711875915527,93377,
0,71,4,False,False,7551003856,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,start,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-27 19:07:00,free,13.744711875915527,93377,
0,71,4,False,False,7551003856,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,end,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-27 19:13:00,free,13.744711875915527,93377,
0,71,5,False,False,7551003856,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,start,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-27 20:46:00,free,13.744711875915527,93377,
0,71,5,False,False,7551003856,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,end,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-27 20:48:00,free,13.744711875915527,93377,
0,71,7,False,False,7551003856,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,last,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 7}",0,2019-10-27 23:59:00,free,13.744711875915527,93377,
0,71,1,True,False,7551003316,ok,BIKE 93566,True,,,dresden,True,0,0,first,51.057653333333,24084015,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-27 01:00:00,,13.708497777778,93566,
