p_booked_bikes,b_bike_type,p_bikes,p_bike,p_maintenance,b_boardcomputer,b_state,p_name,b_electric_lock,b_pedelec_battery,b_battery_pack,city,b_active,p_number,p_bike_racks,trip,p_lat,p_uid,p_special_racks,p_rack_locks,b_lock_types,p_place_type,p_free_racks,p_spot,p_bike_types,p_free_special_racks,datetime,p_terminal_type,p_lng,b_number,p_address
0,71,1,False,False,7551006338,ok,Händelallee,True,,,dresden,True,4397,0,first,51.059914298409076,264604,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 00:00:00,,13.787949085235596,93449,
0,71,2,False,False,7551006338,ok,Händelallee,True,,,dresden,True,4397,0,start,51.059914298409076,264604,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 12:31:00,,13.787949085235596,93449,
0,71,2,False,False,7551006338,ok,Tatzberg,True,,,dresden,True,4396,0,end,51.0559424111161,264603,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 12:36:00,,13.7769949436188,93449,
0,71,2,False,False,7551006338,ok,Tatzberg,True,,,dresden,True,4396,0,start,51.0559424111161,264603,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 14:46:00,,13.7769949436188,93449,
0,71,2,False,False,7551006338,ok,Tatzberg,True,,,dresden,True,4396,0,end,51.0559424111161,264603,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 16:00:00,,13.7769949436188,93449,
0,71,2,False,False,7551006338,ok,Tatzberg,True,,,dresden,True,4396,0,start,51.0559424111161,264603,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 16:10:00,,13.7769949436188,93449,
0,71,1,False,False,7551006338,ok,Gläserne Manufaktur,True,,,dresden,True,4509,0,end,51.044814,14352492,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 16:22:00,,13.753959,93449,
0,71,1,False,False,7551006338,ok,Gläserne Manufaktur,True,,,dresden,True,4509,0,start,51.044814,14352492,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 17:59:00,,13.753959,93449,
0,71,3,False,False,7551006338,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,end,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 18:06:00,free,13.744711875915527,93449,
0,71,3,False,False,7551006338,ok,Wohnheim Gret-Palucca.Straße / Lenneplatz,True,,,dresden,True,4486,0,start,51.038209747620975,10299640,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 21:03:00,free,13.744711875915527,93449,
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,end,51.063453333333,23496083,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 21:19:00,,13.748927777778,93449,
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,start,51.063151111111,23496083,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 21:43:00,,13.748465555556,93449,
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,end,51.058813333333,23496810,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 21:49:00,,13.741882222222,93449,
0,71,3,False,False,7551006338,ok,Goldener Reiter,True,,,dresden,True,4421,0,last,51.05794862767418,96479,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 23:59:00,,13.741482496261597,93449,
0,71,9,False,False,7551005250,ok,August-Bebel-Str. / hinter dem Haus 83 rechts,True,,,dresden,True,4456,0,first,51.03112895073994,4405638,0,False,frame_lock,0,0,True,"{""71"": 9}",0,2019-10-15 08:46:00,traffic_sign,13.752731680870056,93518,
0,71,8,False,False,7551005250,ok,August-Bebel-Str. / hinter dem Haus 83 rechts,True,,,dresden,True,4456,0,start,51.03112895073994,4405638,0,False,frame_lock,0,0,True,"{""71"": 8}",0,2019-10-15 08:54:00,traffic_sign,13.752731680870056,93518,
0,71,4,False,False,7551005250,ok,August-Bebel-Str. / hinter dem Haus 83 rechts,True,,,dresden,True,4456,0,end,51.03112895073994,4405638,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 09:03:00,traffic_sign,13.752731680870056,93518,
0,71,6,False,False,7551005250,ok,August-Bebel-Str. / hinter dem Haus 83 rechts,True,,,dresden,True,4456,0,start,51.03112895073994,4405638,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-15 10:17:00,traffic_sign,13.752731680870056,93518,
0,71,2,False,False,7551005250,ok,Hempelbau /Mommsenstr. / Bergstr.,True,,,dresden,True,4350,0,end,51.027292926752,264550,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 10:32:00,traffic_sign,13.7310647964478,93518,
1,71,1,False,False,7551005250,ok,Hempelbau /Mommsenstr. / Bergstr.,True,,,dresden,True,4350,0,start,51.027292926752,264550,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 11:41:00,traffic_sign,13.7310647964478,93518,
0,71,1,False,False,7551005250,ok,Prager Str. / Mc Donalds,True,,,dresden,True,4418,0,end,51.0428121913295,19892,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 11:52:00,,13.7352356314659,93518,
0,71,1,False,False,7551005250,ok,Prager Str. / Mc Donalds,True,,,dresden,True,4418,0,start,51.0428121913295,19892,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 12:46:00,,13.7352356314659,93518,
0,71,6,False,False,7551005250,ok,Holbeinstraße,True,,,dresden,True,4393,0,end,51.0474546476596,264600,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-15 13:05:00,,13.7792158126831,93518,
0,71,5,False,False,7551005250,ok,Holbeinstraße,True,,,dresden,True,4393,0,last,51.0474546476596,264600,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-15 23:59:00,,13.7792158126831,93518,
0,71,6,False,False,7551002421,ok,Mosenstraße,True,,,dresden,True,4392,0,first,51.04473971878632,264599,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-15 00:00:00,,13.777724504470825,93706,
0,71,4,False,False,7551002421,ok,Mosenstraße,True,,,dresden,True,4392,0,start,51.04473971878632,264599,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 06:26:00,,13.777724504470825,93706,
0,71,16,False,False,7551002421,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 16}",0,2019-10-15 06:36:00,,13.781125545501709,93706,
0,71,18,False,False,7551002421,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 18}",0,2019-10-15 07:47:00,,13.781125545501709,93706,
0,71,5,False,False,7551002421,ok,Mosenstraße,True,,,dresden,True,4392,0,end,51.04473971878632,264599,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-15 07:58:00,,13.777724504470825,93706,
0,71,5,False,False,7551002421,ok,Mosenstraße,True,,,dresden,True,4392,0,start,51.04473971878632,264599,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-15 08:33:00,,13.777724504470825,93706,
0,71,1,False,True,7551002421,ok,Hauptbahnhof,True,,,dresden,True,4313,0,end,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 08:48:00,,13.733623623847961,93706,
0,71,1,False,True,7551002421,ok,Hauptbahnhof,True,,,dresden,True,4313,0,start,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 09:11:00,,13.733623623847961,93706,
0,71,1,False,False,7551002421,ok,DDV-Stadion,True,,,dresden,True,4439,6,end,51.04117128454927,2076679,0,False,frame_lock,0,5,True,"{""71"": 1}",0,2019-10-15 09:22:00,stele,13.74941110610962,93706,
0,71,1,False,False,7551002421,ok,DDV-Stadion,True,,,dresden,True,4439,6,last,51.04117128454927,2076679,0,False,frame_lock,0,5,True,"{""71"": 1}",0,2019-10-15 12:18:00,stele,13.74941110610962,93706,
0,71,6,False,False,7551016029,ok,Mosenstraße,True,,,dresden,True,4392,0,first,51.04473971878632,264599,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-15 00:00:00,,13.777724504470825,93898,
0,71,3,False,False,7551016029,ok,Mosenstraße,True,,,dresden,True,4392,0,start,51.04473971878632,264599,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 11:24:00,,13.777724504470825,93898,
0,71,16,False,False,7551016029,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 16}",0,2019-10-15 11:32:00,,13.781125545501709,93898,
0,71,17,False,False,7551016029,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 17}",0,2019-10-15 13:33:00,,13.781125545501709,93898,
0,71,3,False,False,7551016029,ok,Rothermundstr. / Zwinglistr.,True,,,dresden,True,4405,0,end,51.03335214736798,4442319,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 13:47:00,free,13.782976269721985,93898,
0,71,4,False,False,7551016029,ok,Rothermundstr. / Zwinglistr.,True,,,dresden,True,4405,0,last,51.03335214736798,4442319,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 23:59:00,free,13.782976269721985,93898,
0,71,5,False,False,7551007244,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,first,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-15 00:00:00,,13.741257190704346,93677,
0,71,3,False,False,7551007244,ok,Friedensstraße/Conradstr.,True,,,dresden,True,4373,0,start,51.07174027751911,264575,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 05:48:00,,13.741257190704346,93677,
0,71,1,True,False,7551007244,ok,BIKE 93677,True,,,dresden,True,0,0,end,51.049177777778,23449410,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 06:07:00,,13.719663333333,93677,
0,71,2,False,False,7551007244,ok,World-Trade-Center,True,,,dresden,True,4426,0,start,51.04918132708615,27113,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 11:37:00,,13.720845580101013,93677,
0,71,1,False,False,7551007244,ok,Alter katholischer Friedhof,True,,,dresden,True,4343,0,end,51.0598131510083,264543,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 11:48:00,,13.7182384729385,93677,
0,71,1,False,False,7551007244,ok,Alter katholischer Friedhof,True,,,dresden,True,4343,0,start,51.0598131510083,264543,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 14:08:00,,13.7182384729385,93677,
0,71,4,False,False,7551007244,ok,Bhf. Mitte - Weißeritzstraße,True,,,dresden,True,4300,0,end,51.05570637992387,338637,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 14:14:00,,13.722803592681885,93677,
0,71,1,False,False,7551007244,ok,Bhf. Mitte - Weißeritzstraße,True,,,dresden,True,4300,0,start,51.05570637992387,338637,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 15:06:00,,13.722803592681885,93677,
0,71,3,False,False,7551007244,ok,Manitiusstraße,True,,,dresden,True,4496,0,end,51.05658,10299726,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 15:10:00,free,13.71493,93677,
3,71,3,False,False,7551007244,ok,Manitiusstraße,True,,,dresden,True,4496,0,start,51.05658,10299726,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 15:31:00,free,13.71493,93677,
0,71,1,True,False,7551007244,ok,BIKE 93677,True,,,dresden,True,0,0,end,51.052755555556,23484449,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 16:20:00,,13.809295555556,93677,
0,71,1,True,False,7551007244,ok,BIKE 93677,True,,,dresden,True,0,0,last,51.052675555556,23484449,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 23:59:00,,13.808791111111,93677,
0,71,1,True,False,7551007215,ok,BIKE 93473,True,,,dresden,True,0,0,first,51.071493333333,23432635,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 00:00:00,,13.73104,93473,
0,71,1,True,False,7551007215,ok,BIKE 93473,True,,,dresden,True,0,0,last,51.071648888889,23432635,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 23:59:00,,13.731326666667,93473,
0,71,9,False,False,7551004182,ok,Wundtstr. / Zellescher Weg,True,,,dresden,True,4458,0,first,51.02837,4405670,0,False,frame_lock,0,0,True,"{""71"": 9}",0,2019-10-15 05:13:00,free,13.74773,93661,
0,71,6,False,False,7551004182,ok,Wundtstr. / Zellescher Weg,True,,,dresden,True,4458,0,start,51.02837,4405670,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-15 05:32:00,free,13.74773,93661,
0,71,8,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 8}",0,2019-10-15 05:50:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 14:50:00,,13.781125545501709,93661,
0,71,4,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 14:52:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 15:04:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 15:06:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 15:11:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 15:13:00,,13.781125545501709,93661,
0,71,4,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 17:24:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 17:26:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 17:27:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 17:32:00,,13.781125545501709,93661,
0,71,4,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 17:44:00,,13.781125545501709,93661,
0,71,4,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 17:46:00,,13.781125545501709,93661,
0,71,2,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 19:26:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 19:29:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 20:00:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 20:03:00,,13.781125545501709,93661,
0,71,3,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 20:19:00,,13.781125545501709,93661,
0,71,2,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 20:22:00,,13.781125545501709,93661,
0,71,1,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,start,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 20:35:00,,13.781125545501709,93661,
0,71,2,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,end,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 20:43:00,,13.781125545501709,93661,
0,71,2,False,False,7551004182,ok,Uniklinikum,True,,,dresden,True,4395,0,last,51.05422272773753,264602,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 23:59:00,,13.781125545501709,93661,
0,71,2,False,False,7551004036,ok,Haltepunkt Plauen,True,,,dresden,True,4435,0,first,51.030086474318246,310789,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 00:00:00,,13.703261017799377,93579,
0,71,2,False,False,7551004036,ok,Haltepunkt Plauen,True,,,dresden,True,4435,0,start,51.030086474318246,310789,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 10:45:00,,13.703261017799377,93579,
0,71,4,False,True,7551004036,ok,Hauptbahnhof,True,,,dresden,True,4313,0,end,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 11:30:00,,13.733623623847961,93579,
0,71,5,False,True,7551004036,ok,Hauptbahnhof,True,,,dresden,True,4313,0,start,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-15 12:07:00,,13.733623623847961,93579,
0,71,3,False,False,7551004036,ok,Lukasstr. / Hochschulstr.,True,,,dresden,True,4463,0,end,51.03252,4405747,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-15 12:14:00,free,13.7325,93579,
0,71,1,False,False,7551004036,ok,Lukasstr. / Hochschulstr.,True,,,dresden,True,4463,0,start,51.03252,4405747,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 12:27:00,free,13.7325,93579,
0,71,8,False,True,7551004036,ok,Hauptbahnhof,True,,,dresden,True,4313,0,end,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 8}",0,2019-10-15 12:33:00,,13.733623623847961,93579,
0,71,11,False,True,7551004036,ok,Hauptbahnhof,True,,,dresden,True,4313,0,start,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 11}",0,2019-10-15 12:42:00,,13.733623623847961,93579,
0,71,1,True,False,7551004036,ok,BIKE 93579,True,,,dresden,True,0,0,end,51.050782222222,23469258,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 12:50:00,,13.728412222222,93579,
0,71,1,True,False,7551004036,ok,BIKE 93579,True,,,dresden,True,0,0,start,51.050773333333,23469258,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 14:09:00,,13.728434444444,93579,
0,71,1,True,False,7551004036,ok,BIKE 93579,True,,,dresden,True,0,0,end,51.065151111111,23477911,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 14:52:00,,13.749194444444,93579,
0,71,1,True,False,7551004036,ok,BIKE 93579,True,,,dresden,True,0,0,start,51.064697777778,23477911,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 20:14:00,,13.749666666667,93579,
0,71,5,False,False,7551004036,ok,Albertplatz,True,,,dresden,True,4302,0,end,51.06389595884549,2985,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-15 20:23:00,,13.747313618659973,93579,
0,71,2,False,False,7551004036,ok,Albertplatz,True,,,dresden,True,4302,0,last,51.06389595884549,2985,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 23:47:00,,13.747313618659973,93579,
0,71,1,True,False,7551012771,ok,BIKE 93855,True,,,dresden,True,0,0,first,51.057328888889,23428642,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 00:00:00,,13.738942222222,93855,
0,71,1,True,False,7551012771,ok,BIKE 93855,True,,,dresden,True,0,0,start,51.057266666667,23428642,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 13:51:00,,13.739108888889,93855,
0,71,1,True,False,7551012771,ok,BIKE 93855,True,,,dresden,True,0,0,end,51.057315555556,23474355,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 14:04:00,,13.739091111111,93855,
0,71,1,True,False,7551012771,ok,BIKE 93855,True,,,dresden,True,0,0,last,51.057306666667,23474355,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 14:13:00,,13.739141111111,93855,
0,71,6,False,False,7551005249,ok,Alexander-Puschkin-Platz,True,,,dresden,True,4504,0,first,51.07035,10299848,0,False,frame_lock,0,0,True,"{""71"": 6}",0,2019-10-15 00:00:00,free,13.72983,93480,
0,71,4,False,False,7551005249,ok,Alexander-Puschkin-Platz,True,,,dresden,True,4504,0,start,51.07035,10299848,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 06:50:00,free,13.72983,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,end,51.029093333333,23453289,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 07:25:00,,13.741282222222,93480,
0,71,1,False,False,7551005249,ok,Andreas-Schubert-Bau / Zellescher Weg,True,,,dresden,True,4450,0,start,51.02922,4405569,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 08:02:00,sign,13.74035,93480,
0,71,2,False,False,7551005249,ok,Strehlener Str. / Immatrikulationsamt,True,,,dresden,True,4455,0,end,51.03486,4405631,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 08:07:00,free,13.74561,93480,
0,71,2,False,False,7551005249,ok,Strehlener Str. / Immatrikulationsamt,True,,,dresden,True,4455,0,start,51.03486,4405631,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 08:11:00,free,13.74561,93480,
0,71,2,False,False,7551005249,ok,Andreas-Schubert-Bau / Zellescher Weg,True,,,dresden,True,4450,0,end,51.02922,4405569,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 08:17:00,sign,13.74035,93480,
0,71,2,False,False,7551005249,ok,Andreas-Schubert-Bau / Zellescher Weg,True,,,dresden,True,4450,0,start,51.02922,4405569,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 08:47:00,sign,13.74035,93480,
0,71,1,False,False,7551005249,ok,Teplitzer Str. / Reichenbachstr.,True,,,dresden,True,4384,0,end,51.03090291415399,264588,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 08:52:00,,13.75082194805145,93480,
0,71,2,False,False,7551005249,ok,Teplitzer Str. / Reichenbachstr.,True,,,dresden,True,4384,0,start,51.03090291415399,264588,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 09:31:00,,13.75082194805145,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,end,51.032795555556,23459067,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 09:47:00,,13.750675555556,93480,
0,71,1,False,False,7551005249,ok,Wundtstr. / Zellescher Weg,True,,,dresden,True,4458,0,start,51.02837,4405670,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 10:34:00,free,13.74773,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,end,51.030031111111,23461900,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 10:44:00,,13.72121,93480,
0,71,2,False,False,7551005249,ok,Münchner Platz / George-Bähr-Str.,True,,,dresden,True,4462,0,start,51.02962,4405733,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 10:50:00,traffic_sign,13.72327,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,end,51.041582222222,23463556,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 11:14:00,,13.755552222222,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,start,51.041848888889,23463556,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 11:59:00,,13.756268888889,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,end,51.041102222222,23468800,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 12:42:00,,13.734227777778,93480,
0,71,14,False,True,7551005249,ok,Hauptbahnhof,True,,,dresden,True,4313,0,start,51.040476453474334,120,0,False,frame_lock,0,0,True,"{""71"": 14}",0,2019-10-15 13:51:00,,13.733623623847961,93480,
0,71,1,True,False,7551005249,ok,BIKE 93480,True,,,dresden,True,0,0,end,51.04368,23473564,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-15 13:54:00,,13.735831111111,93480,
0,71,2,False,False,7551005249,ok,Vapiano / Prager Str.,True,,,dresden,True,4402,0,start,51.0445980659557,127640,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-15 14:26:00,,13.7363541126251,93480,
1,71,1,False,False,7551005249,ok,Sächsische Landesbibliothek,True,,,dresden,True,4441,0,end,51.02893263812449,637839,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 14:40:00,free,13.7363862991333,93480,
1,71,1,False,False,7551005249,ok,Sächsische Landesbibliothek,True,,,dresden,True,4441,0,start,51.02893263812449,637839,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-15 14:43:00,free,13.7363862991333,93480,
0,71,4,False,False,7551005249,ok,Bischofsplatz (S-Bahn),True,,,dresden,True,4469,0,end,51.07192566647641,10299456,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 15:09:00,free,13.746272921562195,93480,
0,71,4,False,False,7551005249,ok,Bischofsplatz (S-Bahn),True,,,dresden,True,4469,0,start,51.07192566647641,10299456,0,False,frame_lock,0,0,True,"{""71"": 4}",0,2019-10-15 15:49:00,free,13.746272921562195,93480,
