p_booked_bikes,b_bike_type,p_bikes,p_bike,p_maintenance,b_boardcomputer,b_state,p_name,b_electric_lock,b_pedelec_battery,b_battery_pack,city,b_active,p_number,p_bike_racks,trip,p_lat,p_uid,p_special_racks,p_rack_locks,b_lock_types,p_place_type,p_free_racks,p_spot,p_bike_types,p_free_special_racks,datetime,p_terminal_type,p_lng,b_number,p_address
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,first,51.031782222222,23138774,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 00:00:00,,13.727582222222,93449,
0,71,1,True,False,7551006338,ok,BIKE 93449,True,,,dresden,True,0,0,start,51.031782222222,23138774,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 01:26:00,,13.727582222222,93449,
0,71,2,False,False,7551006338,ok,Bünaustraße,True,,,dresden,True,4485,0,end,51.04340749052124,10299619,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-09 01:48:00,free,13.69841694831848,93449,
1,71,1,False,False,7551006338,ok,Bünaustraße,True,,,dresden,True,4485,0,start,51.04340749052124,10299619,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-09 07:10:00,free,13.69841694831848,93449,
0,71,5,False,False,7551006338,ok,Toeplerbau / Binderbau,True,,,dresden,True,4459,0,end,51.02727,4405696,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-09 07:29:00,traffic_sign,13.72573,93449,
0,71,2,False,False,7551006338,ok,Toeplerbau / Binderbau,True,,,dresden,True,4459,0,start,51.02727,4405696,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-09 12:25:00,traffic_sign,13.72573,93449,
0,71,1,False,False,7551006338,ok,Lukasstr. / Hochschulstr.,True,,,dresden,True,4463,0,end,51.03252,4405747,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-09 12:32:00,free,13.7325,93449,
0,71,1,False,False,7551006338,ok,Lukasstr. / Hochschulstr.,True,,,dresden,True,4463,0,start,51.03252,4405747,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-09 12:48:00,free,13.7325,93449,
0,71,3,False,False,7551006338,ok,Sächsische Zeitung / Haus der Presse,True,,,dresden,True,4303,6,end,51.057284394170544,265880,0,False,frame_lock,0,3,True,"{""71"": 3}",0,2019-10-09 13:47:00,,13.728811740875244,93449,
1,71,3,False,False,7551006338,ok,Sächsische Zeitung / Haus der Presse,True,,,dresden,True,4303,6,start,51.057284394170544,265880,0,False,frame_lock,0,3,True,"{""71"": 3}",0,2019-10-09 14:31:00,,13.728811740875244,93449,
0,71,11,False,False,7551006338,ok,Altpieschen,True,,,dresden,True,4355,0,end,51.07764876381213,264557,0,False,frame_lock,0,0,True,"{""71"": 11}",0,2019-10-09 14:44:00,,13.716709613800047,93449,
0,71,11,False,False,7551006338,ok,Altpieschen,True,,,dresden,True,4355,0,start,51.07764876381213,264557,0,False,frame_lock,0,0,True,"{""71"": 11}",0,2019-10-09 16:01:00,,13.716709613800047,93449,
0,71,11,False,False,7551006338,ok,Altpieschen,True,,,dresden,True,4355,0,end,51.07764876381213,264557,0,False,frame_lock,0,0,True,"{""71"": 11}",0,2019-10-09 16:08:00,,13.716709613800047,93449,
0,71,14,False,False,7551006338,ok,Altpieschen,True,,,dresden,True,4355,0,last,51.07764876381213,264557,0,False,frame_lock,0,0,True,"{""71"": 14}",0,2019-10-09 23:59:00,,13.716709613800047,93449,
0,71,1,False,False,7551006379,ok,Händelallee,True,,,dresden,True,4397,0,first,51.059914298409076,264604,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-09 00:00:00,,13.787949085235596,93408,
0,71,1,False,False,7551006379,ok,Händelallee,True,,,dresden,True,4397,0,start,51.059914298409076,264604,0,False,frame_lock,0,0,True,"{""71"": 1}",0,2019-10-09 04:11:00,,13.787949085235596,93408,
0,71,8,False,False,7551006379,ok,Gutenbergstraße,True,,,dresden,True,4389,0,end,51.0587713199203,264595,0,False,frame_lock,0,0,True,"{""71"": 8}",0,2019-10-09 04:19:00,,13.7692809104919,93408,
0,71,1,True,False,7551006379,ok,BIKE 93408,True,,,dresden,True,0,0,start,51.056231111111,23166696,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:01:00,,13.768007777778,93408,
0,71,1,True,False,7551006379,ok,BIKE 93408,True,,,dresden,True,0,0,end,51.056231111111,23166696,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:08:00,,13.768007777778,93408,
0,71,8,False,False,7551006379,ok,Gutenbergstraße,True,,,dresden,True,4389,0,last,51.0587713199203,264595,0,False,frame_lock,0,0,True,"{""71"": 8}",0,2019-10-09 23:59:00,,13.7692809104919,93408,
0,71,4,False,False,7551002421,ok,DVB Trachenberger Straße,True,,,dresden,True,4305,6,first,51.08737775269143,265881,0,False,frame_lock,0,1,True,"{""71"": 4}",0,2019-10-09 00:00:00,stele,13.730077743530273,93706,
0,71,2,False,False,7551002421,ok,DVB Trachenberger Straße,True,,,dresden,True,4305,6,start,51.08737775269143,265881,0,False,frame_lock,0,4,True,"{""71"": 2}",0,2019-10-09 16:01:00,stele,13.730077743530273,93706,
0,71,2,False,False,7551002421,ok,DVB Trachenberger Straße,True,,,dresden,True,4305,6,end,51.08737775269143,265881,0,False,frame_lock,0,4,True,"{""71"": 2}",0,2019-10-09 16:08:00,stele,13.730077743530273,93706,
0,71,2,False,False,7551002421,ok,DVB Trachenberger Straße,True,,,dresden,True,4305,6,last,51.08737775269143,265881,0,False,frame_lock,0,4,True,"{""71"": 2}",0,2019-10-09 23:59:00,stele,13.730077743530273,93706,
0,71,5,False,False,7551002991,ok,Holbeinstraße,True,,,dresden,True,4393,0,first,51.0474546476596,264600,0,False,frame_lock,0,0,True,"{""71"": 5}",0,2019-10-09 00:00:00,,13.7792158126831,93808,
0,71,3,False,False,7551002991,ok,Holbeinstraße,True,,,dresden,True,4393,0,start,51.0474546476596,264600,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-09 13:12:00,,13.7792158126831,93808,
0,71,2,False,False,7551002991,ok,Holbeinstraße,True,,,dresden,True,4393,0,end,51.0474546476596,264600,0,False,frame_lock,0,0,True,"{""71"": 2}",0,2019-10-09 13:14:00,,13.7792158126831,93808,
0,71,1,True,False,7551002991,ok,BIKE 93808,True,,,dresden,True,0,0,start,51.046053333333,23169591,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:01:00,,13.779898888889,93808,
0,71,1,True,False,7551002991,ok,BIKE 93808,True,,,dresden,True,0,0,end,51.046053333333,23169591,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:08:00,,13.779898888889,93808,
0,71,3,False,False,7551002991,ok,Holbeinstraße,True,,,dresden,True,4393,0,last,51.0474546476596,264600,0,False,frame_lock,0,0,True,"{""71"": 3}",0,2019-10-09 23:59:00,,13.7792158126831,93808,
0,71,1,True,False,7551005989,ok,BIKE 93009,True,,,dresden,True,0,0,first,51.061164444444,23125182,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 00:00:00,,13.732987777778,93009,
0,71,1,True,False,7551005989,ok,BIKE 93009,True,,,dresden,True,0,0,start,51.061288888889,23125182,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:01:00,,13.733107777778,93009,
0,71,1,True,False,7551005989,ok,BIKE 93009,True,,,dresden,True,0,0,end,51.061288888889,23125182,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:08:00,,13.733107777778,93009,
0,71,1,True,False,7551005989,ok,BIKE 93009,True,,,dresden,True,0,0,start,51.061288888889,23125182,0,False,frame_lock,12,0,False,"{""71"": 1}",0,2019-10-09 16:15:00,,13.733107777778,93009,
