b_lock_types,p_uid,trip,p_free_racks,b_number,b_bike_type,p_rack_locks,p_terminal_type,p_special_racks,b_battery_pack,p_bikes,b_electric_lock,p_bike,p_address,p_bike_racks,p_lng,b_pedelec_battery,p_place_type,p_booked_bikes,p_name,b_state,p_lat,p_maintenance,datetime,p_spot,p_free_special_racks,b_active,p_number,b_boardcomputer,city,p_bike_types
frame_lock,26172,first,0,93791,71,False,,0,,2,True,False,,0,13.74066710472107,,0,0,Blockhaus / Augustusbrücke,ok,51.05767214585065,False,2019-08-28 00:00:00,True,0,True,4404,7551006383,dresden,"{""71"": 2}"
frame_lock,26172,start,0,93791,71,False,,0,,2,True,False,,0,13.74066710472107,,0,0,Blockhaus / Augustusbrücke,ok,51.05767214585065,False,2019-08-28 18:08:00,True,0,True,4404,7551006383,dresden,"{""71"": 2}"
frame_lock,14103,end,0,93791,71,False,,0,,4,True,False,,0,13.736576,,7,0,Ibis Hotel Königstein / Prager Straße,ok,51.046156,False,2019-08-28 18:25:00,True,0,True,4417,7551006383,dresden,"{""71"": 4}"
frame_lock,14103,start,0,93791,71,False,,0,,3,True,False,,0,13.736576,,7,0,Ibis Hotel Königstein / Prager Straße,ok,51.046156,False,2019-08-28 20:52:00,True,0,True,4417,7551006383,dresden,"{""71"": 3}"
frame_lock,21167433,end,0,93791,71,False,,0,,1,True,True,,0,13.800597777778,,12,0,BIKE 93791,ok,51.034057777778,False,2019-08-28 21:16:00,False,0,True,0,7551006383,dresden,"{""71"": 1}"
frame_lock,21167433,last,0,93791,71,False,,0,,1,True,True,,0,13.800563333333,,12,0,BIKE 93791,ok,51.034222222222,False,2019-08-28 23:59:00,False,0,True,0,7551006383,dresden,"{""71"": 1}"
frame_lock,21114035,first,0,93730,71,False,,0,,1,True,True,,0,13.724333333333,,12,0,BIKE 93730,ok,51.054297777778,False,2019-08-28 00:00:00,False,0,True,0,7551006367,dresden,"{""71"": 1}"
frame_lock,21116706,start,0,93730,71,False,,0,,1,True,True,,0,13.723888888889,,12,0,BIKE 93730,ok,51.05432,False,2019-08-28 05:32:00,False,0,True,0,7551006367,dresden,"{""71"": 1}"
frame_lock,10924,end,0,93730,71,False,,0,,1,True,False,,0,13.7325990200043,,0,0,Postplatz / Staatsschauspiel Dresden,ok,51.0518690183409,False,2019-08-28 05:36:00,True,0,True,4411,7551006367,dresden,"{""71"": 1}"
frame_lock,10924,start,0,93730,71,False,,0,,1,True,False,,0,13.7325990200043,,0,0,Postplatz / Staatsschauspiel Dresden,ok,51.0518690183409,False,2019-08-28 05:40:00,True,0,True,4411,7551006367,dresden,"{""71"": 1}"
frame_lock,27113,end,0,93730,71,False,,0,,4,True,False,,0,13.720845580101013,,0,0,World-Trade-Center,ok,51.04918132708615,False,2019-08-28 05:45:00,True,0,True,4426,7551006367,dresden,"{""71"": 4}"
frame_lock,21129272,start,0,93730,71,False,,0,,1,True,True,,0,13.721714444444,,12,0,BIKE 93730,ok,51.047533333333,False,2019-08-28 11:17:00,False,0,True,0,7551006367,dresden,"{""71"": 1}"
frame_lock,21134172,end,0,93730,71,False,,0,,1,True,True,,0,13.704455555556,,12,0,BIKE 93730,ok,51.04352,False,2019-08-28 11:25:00,False,0,True,0,7551006367,dresden,"{""71"": 1}"
frame_lock,21134172,start,0,93730,71,False,,0,,1,True,True,,0,13.704062222222,,12,0,BIKE 93730,ok,51.04352,False,2019-08-28 11:30:00,False,0,True,0,7551006367,dresden,"{""71"": 1}"
frame_lock,265881,end,2,93730,71,False,stele,0,,3,True,False,,6,13.730077743530273,,0,0,DVB Trachenberger Straße,ok,51.08737775269143,False,2019-08-28 13:48:00,True,0,True,4305,7551006367,dresden,"{""71"": 3}"
