p_rack_locks,p_bike_racks,b_state,p_spot,b_active,p_booked_bikes,p_place_type,datetime,b_number,trip,p_uid,p_bikes,p_lat,b_electric_lock,b_bike_type,p_name,p_free_racks,p_address,b_lock_types,city,p_number,b_pedelec_battery,p_lng,b_boardcomputer,p_maintenance,p_terminal_type,p_bike,p_bike_types
False,0,ok,True,True,0,0,2019-01-23 00:00:00,93716,first,264595,5,51.05877131992,False,15,Gutenbergstraße,0,,analog_code_lock,dresden,4389,0,13.769280910492,0,False,,False,"{""undefined"": 3, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-23 14:46:00,93716,start,264595,5,51.05877131992,False,15,Gutenbergstraße,0,,analog_code_lock,dresden,4389,0,13.769280910492,0,False,,False,"{""undefined"": 2, ""15"": 3}"
False,0,ok,True,True,0,0,2019-01-23 14:57:00,93716,end,10299563,2,51.06294,False,15,Bautzner Straße / Rothenburger Straße,0,,analog_code_lock,dresden,4482,0,13.75129,0,False,free,False,"{""undefined"": 1, ""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 15:30:00,93716,start,10299563,3,51.06294,False,15,Bautzner Straße / Rothenburger Straße,0,,analog_code_lock,dresden,4482,0,13.75129,0,False,free,False,"{""undefined"": 2, ""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 15:41:00,93716,end,264593,2,51.05400017581,False,15,Güntzplatz,0,,analog_code_lock,dresden,4387,0,13.758552074432,0,False,,False,"{""undefined"": 1, ""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 16:38:00,93716,start,264593,1,51.05400017581,False,15,Güntzplatz,0,,analog_code_lock,dresden,4387,0,13.758552074432,0,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 16:41:00,93716,end,264593,1,51.05400017581,False,15,Güntzplatz,0,,analog_code_lock,dresden,4387,0,13.758552074432,0,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 17:57:00,93716,start,264593,1,51.05400017581,False,15,Güntzplatz,0,,analog_code_lock,dresden,4387,0,13.758552074432,0,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 17:59:00,93716,end,264593,1,51.05400017581,False,15,Güntzplatz,0,,analog_code_lock,dresden,4387,0,13.758552074432,0,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-23 23:59:00,93716,last,264593,2,51.05400017581,False,15,Güntzplatz,0,,analog_code_lock,dresden,4387,0,13.758552074432,0,False,,False,"{""undefined"": 1, ""15"": 1}"
False,0,ok,False,True,0,12,2019-01-23 00:00:00,93025,first,12162437,1,51.057545277777,True,15,BIKE 93025,0,,frame_lock,dresden,0,0,13.725449375,7551006389,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-23 23:59:00,93025,last,12185771,1,51.057489166667,True,15,BIKE 93025,0,,frame_lock,dresden,0,0,13.725555902778,7551006389,False,,True,"{""15"": 1}"
