p_rack_locks,p_bike_racks,b_state,p_spot,b_active,p_booked_bikes,p_place_type,datetime,b_number,trip,p_uid,p_bikes,p_lat,b_electric_lock,b_bike_type,p_name,p_free_racks,p_address,b_lock_types,city,p_number,b_pedelec_battery,p_lng,b_boardcomputer,p_maintenance,p_terminal_type,p_bike,p_bike_types
False,0,ok,True,True,0,0,2019-01-22 00:00:00,93716,first,4405800,4,51.051430635181,False,15,Marschnerstr. / Holbeinstr.,0,,analog_code_lock,dresden,4465,0,13.759705424309,0,False,free,False,"{""undefined"": 2, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-22 18:50:00,93716,start,4405800,5,51.051430635181,False,15,Marschnerstr. / Holbeinstr.,0,,analog_code_lock,dresden,4465,0,13.759705424309,0,False,free,False,"{""undefined"": 3, ""15"": 2}"
False,0,ok,True,True,0,0,2019-01-22 19:10:00,93716,end,264576,1,51.066946872474,False,15,Alaunstraße,0,,analog_code_lock,dresden,4374,0,13.751809000969,0,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-22 22:20:00,93716,start,264576,1,51.066946872474,False,15,Alaunstraße,0,,analog_code_lock,dresden,4374,0,13.751809000969,0,False,,False,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-22 22:33:00,93716,end,264595,5,51.05877131992,False,15,Gutenbergstraße,0,,analog_code_lock,dresden,4389,0,13.769280910492,0,False,,False,"{""undefined"": 2, ""15"": 3}"
False,0,ok,True,True,0,0,2019-01-22 23:59:00,93716,last,264595,5,51.05877131992,False,15,Gutenbergstraße,0,,analog_code_lock,dresden,4389,0,13.769280910492,0,False,,False,"{""undefined"": 3, ""15"": 2}"
False,0,ok,False,True,0,12,2019-01-22 00:00:00,93025,first,12138998,1,51.051128888889,True,15,BIKE 93025,0,,frame_lock,dresden,0,0,13.720771180555,7551006389,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-22 15:40:00,93025,start,12152661,1,51.051095555555,True,15,BIKE 93025,0,,frame_lock,dresden,0,0,13.720600138889,7551006389,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-22 15:46:00,93025,end,12162437,1,51.05744,True,15,BIKE 93025,0,,frame_lock,dresden,0,0,13.725474444444,7551006389,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-22 23:59:00,93025,last,12162437,1,51.057545277777,True,15,BIKE 93025,0,,frame_lock,dresden,0,0,13.725449375,7551006389,False,,True,"{""15"": 1}"
False,0,ok,False,True,0,12,2019-01-22 00:00:00,93789,first,12144309,1,51.051457777778,True,15,BIKE 93789,0,,frame_lock,dresden,0,0,13.745699444445,7551003441,False,,True,"{""15"": 1}"
False,0,ok,True,True,0,0,2019-01-22 09:55:00,93789,start,122238,1,51.051484590255,True,15,Tzschirnerplatz,0,,frame_lock,dresden,4410,0,13.744668960571,7551003441,False,,False,"{""15"": 1}"
