p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_special_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,p_free_special_racks,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93462,True,51.047315555556,15102034,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.740917777778,False,1,ok,0,first,0,,7551004409,0,2019-04-29 00:00:00,12,True
Kreuzkirche,True,51.048304505734,115668,,False,frame_lock,4414,93462,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.739261627197,False,1,ok,0,start,0,,7551004409,0,2019-04-29 12:12:00,0,False
BIKE 93462,True,51.037928888889,15119226,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.716585555556,False,1,ok,0,end,0,,7551004409,0,2019-04-29 12:28:00,12,True
BIKE 93462,True,51.038,15119226,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.716581111111,False,1,ok,0,start,0,,7551004409,0,2019-04-29 16:30:00,12,True
BIKE 93462,True,51.03776,15119226,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.716921111111,False,1,ok,0,end,0,,7551004409,0,2019-04-29 16:33:00,12,True
BIKE 93462,True,51.03776,15119226,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.716921111111,False,1,ok,0,start,0,,7551004409,0,2019-04-29 17:03:00,12,True
Hochschulstr./Reichenbachstraße,True,51.033898652818,4813110,free,False,frame_lock,4466,93462,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.73299062252,False,1,ok,0,end,0,,7551004409,0,2019-04-29 17:14:00,0,False
Hochschulstr./Reichenbachstraße,True,51.033898652818,4813110,free,False,frame_lock,4466,93462,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.73299062252,False,1,ok,0,start,0,,7551004409,0,2019-04-29 17:41:00,0,False
BIKE 93462,True,51.043764444444,15132443,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.702401111111,False,1,ok,0,end,0,,7551004409,0,2019-04-29 18:00:00,12,True
BIKE 93462,True,51.043702222222,15132443,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.70229,False,1,ok,0,start,0,,7551004409,0,2019-04-29 18:01:00,12,True
BIKE 93462,True,51.046457777778,15132991,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.755185555556,False,1,ok,0,end,0,,7551004409,0,2019-04-29 18:18:00,12,True
Stadtteilzentrum Straßburger Platz,True,51.04649,10299434,free,False,frame_lock,4468,93462,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.75599,False,1,ok,0,start,0,,7551004409,0,2019-04-29 18:23:00,0,False
BIKE 93462,True,51.051368888889,15133255,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.758024444444,False,1,ok,0,end,0,,7551004409,0,2019-04-29 18:27:00,12,True
BIKE 93462,True,51.051622222222,15133255,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.758414444444,False,1,ok,0,last,0,,7551004409,0,2019-04-29 23:59:00,12,True
