p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93462,True,51.061688888889,13895081,,False,frame_lock,0,93462,0,Bautzner Landstraße 146,True,False,0,dresden,"{""undefined"": 1}",,13.852368888889,False,1,ok,0,first,,7551004409,0,2019-04-04 00:00:00,12,True
BIKE 93462,True,51.061724444444,13895081,,False,frame_lock,0,93462,0,Bautzner Landstraße 144,True,False,0,dresden,"{""undefined"": 1}",,13.851985555556,False,1,ok,0,last,,7551004409,0,2019-04-04 23:59:00,12,True
BIKE 93539,True,51.052977777778,14021942,,False,frame_lock,0,93539,0,Loschwitzer Brücke,True,False,15,dresden,"{""15"": 1}",,13.809324444444,False,1,ok,0,first,,7551006822,0,2019-04-04 16:28:00,12,True
BIKE 93539,True,51.053995555556,14073284,,False,frame_lock,0,93539,0,Loschwitzer Brücke,True,False,15,dresden,"{""15"": 1}",,13.8092,False,1,ok,0,last,,7551006822,0,2019-04-04 23:59:00,12,True
Hebbelplatz,True,51.05166331599,10299773,free,False,frame_lock,4499,93054,0,,True,True,15,dresden,"{""15"": 4}",,13.682983517647,False,4,ok,0,first,,7551006192,0,2019-04-04 00:00:00,0,False
Hebbelplatz,True,51.05166331599,10299773,free,False,frame_lock,4499,93054,0,,True,True,15,dresden,"{""15"": 2}",,13.682983517647,False,2,ok,0,start,,7551006192,0,2019-04-04 09:21:00,0,False
Münchner Platz / George-Bähr-Str.,True,51.02962,4405733,traffic_sign,False,frame_lock,4462,93054,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 3}",,13.72327,False,4,ok,0,end,,7551006192,0,2019-04-04 09:41:00,0,False
Münchner Platz / George-Bähr-Str.,True,51.02962,4405733,traffic_sign,False,frame_lock,4462,93054,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 4}",,13.72327,False,5,ok,0,start,,7551006192,0,2019-04-04 10:04:00,0,False
BIKE 93054,True,51.028888888889,14045705,,False,frame_lock,0,93054,0,Haeckelstraße,True,False,15,dresden,"{""15"": 1}",,13.737274444444,False,1,ok,0,end,,7551006192,0,2019-04-04 10:10:00,12,True
BIKE 93054,True,51.028888888889,14045705,,False,frame_lock,0,93054,0,Haeckelstraße,True,False,15,dresden,"{""15"": 1}",,13.737274444444,False,1,ok,0,start,,7551006192,0,2019-04-04 10:20:00,12,True
