p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_special_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,p_free_special_racks,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
Leubnitzer Straße,True,51.037670039406,264583,,False,frame_lock,4380,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.725271224976,False,1,ok,0,first,,,7551004409,0,2019-04-24 00:00:00,0,False
Leubnitzer Straße,True,51.037670039406,264583,,False,frame_lock,4380,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.725271224976,False,1,ok,0,start,,,7551004409,0,2019-04-24 01:40:00,0,False
Leubnitzer Straße,True,51.037670039406,264583,,False,frame_lock,4380,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.725271224976,False,1,ok,0,start,,,7551004409,0,2019-04-24 01:42:00,0,False
Leubnitzer Straße,True,51.037670039406,264583,,False,frame_lock,4380,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.725271224976,False,1,ok,0,end,,,7551004409,0,2019-04-24 01:44:00,0,False
Leubnitzer Straße,True,51.037670039406,264583,,False,frame_lock,4380,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.725271224976,False,1,ok,0,start,,,7551004409,0,2019-04-24 07:15:00,0,False
BIKE 93462,True,51.029706666667,14873451,,False,frame_lock,0,93462,0,,,True,False,0,dresden,"{""undefined"": 1}",,13.724655555556,False,1,ok,0,end,,,7551004409,0,2019-04-24 07:22:00,12,True
BIKE 93462,True,51.029151111111,14873560,,False,frame_lock,0,93462,0,,,True,False,0,dresden,"{""undefined"": 1}",,13.725194444444,False,1,ok,0,start,,,7551004409,0,2019-04-24 10:45:00,12,True
BIKE 93462,True,51.029564444444,14880853,,False,frame_lock,0,93462,0,,,True,False,0,dresden,"{""undefined"": 1}",,13.724865555556,False,1,ok,0,end,,,7551004409,0,2019-04-24 10:54:00,12,True
BIKE 93462,True,51.029546666667,14880853,,False,frame_lock,0,93462,0,,,True,False,0,dresden,"{""undefined"": 1}",,13.724955555556,False,1,ok,0,start,,,7551004409,0,2019-04-24 11:41:00,12,True
Jugendgästehaus Maternistr. 22,True,51.048962,820,,False,frame_lock,4416,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.723669,False,1,ok,0,end,,,7551004409,0,2019-04-24 11:53:00,0,False
Jugendgästehaus Maternistr. 22,True,51.048962,820,,False,frame_lock,4416,93462,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.723669,False,1,ok,0,start,0,,7551004409,0,2019-04-24 12:25:00,0,False
BIKE 93462,True,51.026497777778,14885413,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.725838888889,False,1,ok,0,end,0,,7551004409,0,2019-04-24 12:42:00,12,True
