p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93462,True,51.061595555556,13895081,,False,frame_lock,0,93462,0,Bautzner Landstraße 146,True,False,0,dresden,"{""undefined"": 1}",,13.852422222222,False,1,ok,0,first,,7551004409,0,2019-04-06 00:00:00,12,True
BIKE 93462,True,51.06172,13895081,,False,frame_lock,0,93462,0,Bautzner Landstraße 146,True,False,0,dresden,"{""undefined"": 1}",,13.852323333333,False,1,ok,0,last,,7551004409,0,2019-04-06 23:59:00,12,True
BIKE 93539,True,51.06848,14117362,,False,frame_lock,0,93539,0,Am Brauhaus 2,True,False,15,dresden,"{""15"": 1}",,13.777345555556,False,1,ok,0,first,,7551006822,0,2019-04-06 00:00:00,12,True
BIKE 93539,True,51.06884,14119605,,False,frame_lock,0,93539,0,Waldschlößchenstraße 12,True,False,15,dresden,"{""15"": 1}",,13.776468888889,False,1,ok,0,start,,7551006822,0,2019-04-06 05:52:00,12,True
BIKE 93539,True,51.0678,14124053,,False,frame_lock,0,93539,0,Bautzner Straße,True,False,15,dresden,"{""15"": 1}",,13.777394444444,False,1,ok,0,end,,7551006822,0,2019-04-06 05:55:00,12,True
Waldschlösschen,True,51.067152506933,100894,,False,frame_lock,4361,93539,0,,True,True,15,dresden,"{""15"": 2}",,13.776479959488,False,2,ok,0,start,,7551006822,0,2019-04-06 10:55:00,0,False
Wohnheim Gret-Palucca.Straße / Lenneplatz,True,51.038209747621,10299640,free,False,frame_lock,4486,93539,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.744711875916,False,3,ok,0,end,,7551006822,0,2019-04-06 11:26:00,0,False
Wohnheim Gret-Palucca.Straße / Lenneplatz,True,51.038209747621,10299640,free,False,frame_lock,4486,93539,0,,True,True,15,dresden,"{""15"": 1}",,13.744711875916,False,1,ok,0,last,,7551006822,0,2019-04-06 23:59:00,0,False
Bonhoeffer Platz,True,51.038466106821,310792,,False,frame_lock,4438,93054,0,,True,True,15,dresden,"{""71"": 1, ""15"": 1}",,13.701678514481,False,2,ok,0,first,,7551006192,0,2019-04-06 00:00:00,0,False
Bonhoeffer Platz,True,51.038466106821,310792,,False,frame_lock,4438,93054,0,,True,True,15,dresden,"{""15"": 2}",,13.701678514481,False,2,ok,0,start,,7551006192,0,2019-04-06 08:29:00,0,False
