p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_special_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,p_free_special_racks,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
DVB Trachenberger Straße,True,51.087377752691,265881,stele,False,frame_lock,4305,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.73007774353,False,1,ok,0,first,0,,7551004409,6,2019-04-28 00:00:00,0,False
DVB Trachenberger Straße,True,51.087377752691,265881,stele,False,frame_lock,4305,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.73007774353,False,1,ok,0,start,0,,7551004409,6,2019-04-28 10:19:00,0,False
BIKE 93462,True,51.036622222222,15082101,,False,frame_lock,0,93462,0,0,Gerhart-Hauptmann-Straße 1a,True,False,0,dresden,"{""undefined"": 1}",,13.749827777778,False,1,ok,0,end,0,,7551004409,0,2019-04-28 10:51:00,12,True
Zoo,True,51.037110085489,264592,,False,frame_lock,4386,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.752071857452,False,1,ok,0,start,0,,7551004409,6,2019-04-28 11:29:00,0,False
Zoo,True,51.037110085489,264592,,False,frame_lock,4386,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.752071857452,False,1,ok,0,end,0,,7551004409,6,2019-04-28 11:36:00,0,False
Zoo,True,51.037110085489,264592,,False,frame_lock,4386,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.752071857452,False,1,ok,0,start,0,,7551004409,6,2019-04-28 12:27:00,0,False
Kreuzkirche,True,51.048304505734,115668,,False,frame_lock,4414,93462,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.739261627197,False,1,ok,0,end,0,,7551004409,0,2019-04-28 12:36:00,0,False
BIKE 93462,True,51.047315555556,15102034,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.740917777778,False,1,ok,0,last,0,,7551004409,0,2019-04-28 23:59:00,12,True
BIKE 93539,True,51.049782222222,15065705,,False,frame_lock,0,93539,0,0,,True,False,15,dresden,"{""15"": 1}",,13.752134444444,False,1,ok,0,first,0,,7551006822,0,2019-04-28 00:00:00,12,True
BIKE 93539,True,51.049244444444,15077255,,False,frame_lock,0,93539,0,0,Mathildenstraße,True,False,15,dresden,"{""15"": 1}",,13.752384444444,False,1,ok,0,start,0,,7551006822,0,2019-04-28 07:10:00,12,True
BIKE 93539,True,51.05176,15077441,,False,frame_lock,0,93539,0,0,Taschenberg 3,True,False,15,dresden,"{""15"": 1}",,13.735627777778,False,1,ok,0,end,0,,7551006822,0,2019-04-28 07:21:00,12,True
BIKE 93539,True,51.051657777778,15077441,,False,frame_lock,0,93539,0,0,Taschenberg 3,True,False,15,dresden,"{""15"": 1}",,13.735646666667,False,1,ok,0,start,0,,7551006822,0,2019-04-28 11:29:00,12,True
BIKE 93539,True,51.051657777778,15077441,,False,frame_lock,0,93539,0,0,Taschenberg 3,True,False,15,dresden,"{""15"": 1}",,13.735646666667,False,1,ok,0,end,0,,7551006822,0,2019-04-28 11:36:00,12,True
BIKE 93539,True,51.052044444444,15077441,,False,frame_lock,0,93539,0,0,Taschenberg 3,True,False,15,dresden,"{""15"": 1}",,13.736004444444,False,1,ok,0,start,0,,7551006822,0,2019-04-28 13:49:00,12,True
BIKE 93539,True,51.049933333333,15088526,,False,frame_lock,0,93539,0,0,Pillnitzer Straße 28,True,False,15,dresden,"{""15"": 1}",,13.753741111111,False,1,ok,0,end,0,,7551006822,0,2019-04-28 14:00:00,12,True
BIKE 93539,True,51.049826666667,15088526,,False,frame_lock,0,93539,0,0,Pillnitzer Straße 28,True,False,15,dresden,"{""15"": 1}",,13.752683333333,False,1,ok,0,last,0,,7551006822,0,2019-04-28 23:59:00,12,True
BIKE 93054,True,51.028604444444,15067985,,False,frame_lock,0,93054,0,0,,True,False,15,dresden,"{""15"": 1}",,13.769832222222,False,1,ok,0,first,0,,7551006192,0,2019-04-28 00:00:00,12,True
BIKE 93054,True,51.0286,15067985,,False,frame_lock,0,93054,0,0,,True,False,15,dresden,"{""15"": 1}",,13.769734444444,False,1,ok,0,start,0,,7551006192,0,2019-04-28 08:10:00,12,True
BIKE 93054,True,51.028631111111,15078332,,False,frame_lock,0,93054,0,0,,True,False,15,dresden,"{""15"": 1}",,13.769712222222,False,1,ok,0,end,0,,7551006192,0,2019-04-28 08:12:00,12,True
BIKE 93054,True,51.028653333333,15078332,,False,frame_lock,0,93054,0,0,,True,False,15,dresden,"{""15"": 1}",,13.769751111111,False,1,ok,0,start,0,,7551006192,0,2019-04-28 09:12:00,12,True
Lukasstr. / Hochschulstr.,True,51.03252,4405747,free,False,frame_lock,4463,93054,0,0,,True,True,15,dresden,"{""15"": 1}",,13.7325,False,1,ok,0,end,0,,7551006192,0,2019-04-28 09:25:00,0,False
Lukasstr. / Hochschulstr.,True,51.03252,4405747,free,False,frame_lock,4463,93054,0,0,,True,True,15,dresden,"{""15"": 1}",,13.7325,False,1,ok,0,start,0,,7551006192,0,2019-04-28 09:57:00,0,False
BIKE 93054,True,51.06968,15081241,,False,frame_lock,0,93054,0,0,Förstereistraße 21,True,False,15,dresden,"{""15"": 1}",,13.751262222222,False,1,ok,0,end,0,,7551006192,0,2019-04-28 10:21:00,12,True
BIKE 93054,True,51.069662222222,15081241,,False,frame_lock,0,93054,0,0,Timaeusstraße 2,True,False,15,dresden,"{""15"": 1}",,13.751537777778,False,1,ok,0,start,0,,7551006192,0,2019-04-28 11:29:00,12,True
BIKE 93054,True,51.069662222222,15081241,,False,frame_lock,0,93054,0,0,Timaeusstraße 2,True,False,15,dresden,"{""15"": 1}",,13.751537777778,False,1,ok,0,end,0,,7551006192,0,2019-04-28 11:36:00,12,True
BIKE 93054,True,51.069866666667,15081241,,False,frame_lock,0,93054,0,0,Timaeusstraße 2,True,False,15,dresden,"{""15"": 1}",,13.751475555556,False,1,ok,0,start,0,,7551006192,0,2019-04-28 16:40:00,12,True
Schauburg,True,51.071143657107,121771,,False,frame_lock,4327,93054,0,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.750328421593,False,5,ok,0,end,0,,7551006192,0,2019-04-28 17:32:00,0,False
Schauburg,True,51.071143657107,121771,,False,frame_lock,4327,93054,0,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.750328421593,False,5,ok,0,start,0,,7551006192,0,2019-04-28 17:57:00,0,False
Schauburg,True,51.071143657107,121771,,False,frame_lock,4327,93054,0,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.750328421593,False,5,ok,0,end,0,,7551006192,0,2019-04-28 17:59:00,0,False
Schauburg,True,51.071143657107,121771,,False,frame_lock,4327,93054,0,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.750328421593,False,5,ok,0,start,0,,7551006192,0,2019-04-28 18:38:00,0,False
BIKE 93054,True,51.068524444444,15098855,,False,frame_lock,0,93054,0,0,,True,False,15,dresden,"{""15"": 1}",,13.755064444444,False,1,ok,0,end,0,,7551006192,0,2019-04-28 19:39:00,12,True
BIKE 93054,True,51.068666666667,15098855,,False,frame_lock,0,93054,0,0,,True,False,15,dresden,"{""15"": 1}",,13.755165555556,False,1,ok,0,last,0,,7551006192,0,2019-04-28 21:39:00,12,True
BIKE 93415,True,51.0816,14976514,,False,frame_lock,0,93415,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.749357777778,False,1,ok,0,first,0,,7551002520,0,2019-04-28 00:00:00,12,True
BIKE 93415,True,51.081591111111,14976514,,False,frame_lock,0,93415,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.74944,False,1,ok,0,start,0,,7551002520,0,2019-04-28 11:29:00,12,True
BIKE 93415,True,51.081591111111,14976514,,False,frame_lock,0,93415,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.74944,False,1,ok,0,end,0,,7551002520,0,2019-04-28 11:36:00,12,True
BIKE 93415,True,51.081591111111,14976514,,False,frame_lock,0,93415,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.74944,False,1,ok,0,start,0,,7551002520,0,2019-04-28 13:52:00,12,True
BIKE 93415,True,51.065795555556,15088678,,False,frame_lock,0,93415,0,0,Hansastraße,True,False,0,dresden,"{""undefined"": 1}",,13.739194444444,False,1,ok,0,end,0,,7551002520,0,2019-04-28 14:04:00,12,True
BIKE 93415,True,51.065911111111,15088678,,False,frame_lock,0,93415,0,0,Hansastraße,True,False,0,dresden,"{""undefined"": 1}",,13.7389,False,1,ok,0,start,0,,7551002520,0,2019-04-28 16:52:00,12,True
BIKE 93415,True,51.074591111111,15094750,,False,frame_lock,0,93415,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.748696666667,False,1,ok,0,end,0,,7551002520,0,2019-04-28 17:01:00,12,True
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93415,0,0,,True,True,0,dresden,"{""undefined"": 3, ""71"": 1, ""15"": 1}",,13.749507665634,False,5,ok,0,last,0,,7551002520,0,2019-04-28 23:59:00,0,False
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93697,3,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.838900327682,False,3,ok,0,first,0,,7551006885,6,2019-04-28 00:00:00,0,False
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93697,3,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.838900327682,False,3,ok,0,start,0,,7551006885,6,2019-04-28 11:29:00,0,False
DVB Endpunkt Laubegast,True,51.022778359957,264566,stele,False,frame_lock,4365,93697,3,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.838900327682,False,3,ok,0,end,0,,7551006885,6,2019-04-28 11:36:00,0,False
BIKE 93697,True,51.021866666667,15102759,,False,frame_lock,0,93697,0,0,,True,False,15,dresden,"{""15"": 1}",,13.840716666667,False,1,ok,0,last,0,,7551006885,0,2019-04-28 23:59:00,12,True
Bünaustraße,True,51.043407490521,10299619,free,False,frame_lock,4485,93481,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.698416948318,False,1,ok,0,first,0,,7551002454,0,2019-04-28 00:00:00,0,False
Bünaustraße,True,51.043407490521,10299619,free,False,frame_lock,4485,93481,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.698416948318,False,1,ok,0,start,0,,7551002454,0,2019-04-28 11:29:00,0,False
Bünaustraße,True,51.043407490521,10299619,free,False,frame_lock,4485,93481,0,0,,True,True,0,dresden,"{""undefined"": 1}",,13.698416948318,False,1,ok,0,end,0,,7551002454,0,2019-04-28 11:36:00,0,False
