p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93462,True,51.061582222222,14168432,,False,frame_lock,0,93462,0,,True,False,0,dresden,"{""undefined"": 1}",,13.852401111111,False,1,ok,0,first,,7551004409,0,2019-04-09 00:00:00,12,True
BIKE 93462,True,51.061653333333,14168432,,False,frame_lock,0,93462,0,,True,False,0,dresden,"{""undefined"": 1}",,13.852494444444,False,1,ok,0,last,,7551004409,0,2019-04-09 04:05:00,12,True
Fetscherplatz,True,51.046641871977,6768,,False,frame_lock,4325,93054,0,,True,True,15,dresden,"{""71"": 1, ""15"": 2}",,13.771276473999,False,3,ok,0,first,,7551006192,0,2019-04-09 00:00:00,0,False
Fetscherplatz,True,51.046641871977,6768,,False,frame_lock,4325,93054,0,,True,True,15,dresden,"{""71"": 1, ""15"": 1}",,13.771276473999,False,2,ok,0,start,,7551006192,0,2019-04-09 08:31:00,0,False
BIKE 93054,True,51.047284444444,14268702,,False,frame_lock,0,93054,0,Haydnstraße 21,True,False,15,dresden,"{""15"": 1}",,13.774841111111,False,1,ok,0,end,,7551006192,0,2019-04-09 08:38:00,12,True
BIKE 93054,True,51.047377777778,14268702,,False,frame_lock,0,93054,0,Haydnstraße 21,True,False,15,dresden,"{""15"": 1}",,13.774704444444,False,1,ok,0,start,,7551006192,0,2019-04-09 15:09:00,12,True
BIKE 93054,True,51.085751111111,14287043,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.769327777778,False,1,ok,0,end,,7551006192,0,2019-04-09 15:38:00,12,True
BIKE 93054,True,51.085764444444,14287043,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.769315555556,False,1,ok,0,start,,7551006192,0,2019-04-09 15:50:00,12,True
BIKE 93054,True,51.085764444444,14287043,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.769315555556,False,1,ok,0,end,,7551006192,0,2019-04-09 15:57:00,12,True
BIKE 93054,True,51.085764444444,14287043,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.769315555556,False,1,ok,0,start,,7551006192,0,2019-04-09 17:26:00,12,True
BIKE 93054,True,51.049791111111,14293154,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.745693333333,False,1,ok,0,end,,7551006192,0,2019-04-09 17:48:00,12,True
BIKE 93054,True,51.050293333333,14301145,,False,frame_lock,0,93054,0,,True,False,15,dresden,"{""15"": 1}",,13.744988888889,False,1,ok,0,last,,7551006192,0,2019-04-09 23:53:00,12,True
Enderstr. / Seidnitz-Center,True,51.029452205346,264533,,False,frame_lock,4337,93415,0,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1}",,13.802497386932,False,2,ok,0,first,,7551002520,0,2019-04-09 00:00:00,0,False
Enderstr. / Seidnitz-Center,True,51.029452205346,264533,,False,frame_lock,4337,93415,0,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1}",,13.802497386932,False,2,ok,0,last,,7551002520,0,2019-04-09 04:09:00,0,False
Rathaus Plauen,True,51.029401598405,10299481,free,False,frame_lock,4470,93689,0,,True,True,15,dresden,"{""71"": 1, ""15"": 2}",,13.707064390182,False,3,ok,0,first,,7551006605,0,2019-04-09 00:00:00,0,False
BIKE 93689,True,51.028475555556,14263219,,False,frame_lock,0,93689,0,,True,False,15,dresden,"{""15"": 1}",,13.706783333333,False,1,ok,0,last,,7551006605,0,2019-04-09 07:06:00,12,True
