p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_special_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,p_free_special_racks,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
Martin-Luther-Platz (Kirche),True,51.06413531956,264578,,False,frame_lock,4376,93462,0,,,True,True,0,dresden,"{""undefined"": 2, ""71"": 2, ""15"": 1}",,13.756663799286,False,5,ok,0,first,,,7551004409,0,2019-04-25 00:00:00,0,False
Martin-Luther-Platz (Kirche),True,51.06413531956,264578,,False,frame_lock,4376,93462,0,,,True,True,0,dresden,"{""undefined"": 2, ""71"": 2, ""15"": 1}",,13.756663799286,False,5,ok,0,start,,,7551004409,0,2019-04-25 04:53:00,0,False
Albertplatz,True,51.063895958845,2985,,False,frame_lock,4302,93462,0,,,True,True,0,dresden,"{""undefined"": 1, ""15"": 1}",,13.74731361866,False,2,ok,0,end,,,7551004409,0,2019-04-25 04:58:00,0,False
BIKE 93462,True,51.063777777778,14929345,,False,frame_lock,0,93462,0,,Antonstraße,True,False,0,dresden,"{""undefined"": 1}",,13.746048888889,False,1,ok,0,start,,,7551004409,0,2019-04-25 07:54:00,12,True
BIKE 93462,True,51.0478,14935942,,False,frame_lock,0,93462,0,,Seestraße 16,True,False,0,dresden,"{""undefined"": 1}",,13.736454444444,False,1,ok,0,end,,,7551004409,0,2019-04-25 08:05:00,12,True
Dresden Thalia (Dr.-Külz-Ring/Prager Str.),True,51.047039830317,69118,,False,frame_lock,4415,93462,0,0,,True,True,0,dresden,"{""undefined"": 1, ""15"": 1}",,13.736633062363,False,2,ok,0,start,0,,7551004409,0,2019-04-25 10:42:00,0,False
BIKE 93462,True,51.046884694422,48356,,False,frame_lock,,93462,0,0,Dr. Külz Ring 12,True,True,0,dresden,"{""undefined"": 1}",,13.736987113953,False,1,ok,0,end,0,,7551004409,0,2019-04-25 10:45:00,12,True
BIKE 93462,True,51.046884694422,48356,,False,frame_lock,0,93462,0,0,Dr. Külz Ring 12,True,True,0,dresden,"{""undefined"": 1}",,13.736987113953,False,1,ok,0,start,0,,7551004409,0,2019-04-25 15:16:00,12,True
Großer Garten / Lennéstraße,True,51.042628372186,12936,,False,frame_lock,4314,93462,0,,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1}",,13.751079440117,False,2,ok,0,end,,,7551004409,0,2019-04-25 16:16:00,0,False
Großer Garten / Lennéstraße,True,51.042628372186,12936,,False,frame_lock,4314,93462,0,,,True,True,0,dresden,"{""undefined"": 1}",,13.751079440117,False,1,ok,0,start,,,7551004409,0,2019-04-25 17:27:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,,,True,True,0,dresden,"{""undefined"": 1, ""71"": 1, ""15"": 1}",,13.749507665634,False,3,ok,0,end,,,7551004409,0,2019-04-25 18:09:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,,,True,True,0,dresden,"{""undefined"": 1, ""71"": 3, ""15"": 1}",,13.749507665634,False,5,ok,0,start,,,7551004409,0,2019-04-25 22:59:00,0,False
Königsbrücker Platz,True,51.074982791812,14262,,False,frame_lock,4308,93462,0,,,True,True,0,dresden,"{""undefined"": 1, ""71"": 3, ""15"": 1}",,13.749507665634,False,5,ok,0,end,,,7551004409,0,2019-04-25 23:01:00,0,False
