p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
DVB Endpunkt Prohlis,True,50.999402205789,300244,,False,frame_lock,4430,93539,3,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.799300193787,False,3,ok,0,first,,7551006822,6,2019-04-14 00:00:00,0,False
DVB Endpunkt Prohlis,True,50.999402205789,300244,,False,frame_lock,4430,93539,3,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.799300193787,False,3,ok,0,start,,7551006822,6,2019-04-14 16:02:00,0,False
DVB Endpunkt Prohlis,True,50.999402205789,300244,,False,frame_lock,4430,93539,3,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.799300193787,False,3,ok,0,end,,7551006822,6,2019-04-14 16:09:00,0,False
DVB Endpunkt Prohlis,True,50.999402205789,300244,,False,frame_lock,4430,93539,3,,True,True,15,dresden,"{""undefined"": 1, ""15"": 2}",,13.799300193787,False,3,ok,0,last,,7551006822,6,2019-04-14 23:59:00,0,False
Waldpark,True,51.058110469927,264534,,False,frame_lock,4338,93054,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.792535662651,False,5,ok,0,first,,7551006192,0,2019-04-14 00:00:00,0,False
Waldpark,True,51.058110469927,264534,,False,frame_lock,4338,93054,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.792535662651,False,5,ok,0,start,,7551006192,0,2019-04-14 16:02:00,0,False
Waldpark,True,51.058110469927,264534,,False,frame_lock,4338,93054,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.792535662651,False,5,ok,0,end,,7551006192,0,2019-04-14 16:09:00,0,False
Waldpark,True,51.058110469927,264534,,False,frame_lock,4338,93054,0,,True,True,15,dresden,"{""undefined"": 2, ""15"": 3}",,13.792535662651,False,5,ok,0,last,,7551006192,0,2019-04-14 19:42:00,0,False
Hotel Smetana,True,51.038820284961,318577,,False,frame_lock,4409,93415,0,,True,True,0,dresden,"{""undefined"": 4, ""15"": 1}",,13.791795372963,False,5,ok,0,first,,7551002520,4,2019-04-14 00:00:00,0,False
Hotel Smetana,True,51.038820284961,318577,,False,frame_lock,4409,93415,0,,True,True,0,dresden,"{""undefined"": 4, ""15"": 1}",,13.791795372963,False,5,ok,0,start,,7551002520,4,2019-04-14 16:02:00,0,False
