p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_special_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,p_free_special_racks,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93462,True,51.082284444444,15031438,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.730145555556,False,1,ok,0,first,0,,7551004409,0,2019-04-27 00:00:00,12,True
BIKE 93462,True,51.082675555556,15045853,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.729998888889,False,1,ok,0,start,0,,7551004409,0,2019-04-27 11:23:00,12,True
BIKE 93462,True,51.082675555556,15045853,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.729998888889,False,1,ok,0,end,0,,7551004409,0,2019-04-27 11:30:00,12,True
BIKE 93462,True,51.082844444444,15045853,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.729664444444,False,1,ok,0,start,0,,7551004409,0,2019-04-27 16:14:00,12,True
BIKE 93462,True,51.083173333333,15057376,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.729246666667,False,1,ok,0,end,0,,7551004409,0,2019-04-27 16:20:00,12,True
BIKE 93462,True,51.082844444444,15057376,,False,frame_lock,0,93462,0,0,,True,False,0,dresden,"{""undefined"": 1}",,13.729073333333,False,1,ok,0,start,0,,7551004409,0,2019-04-27 20:10:00,12,True
DVB Trachenberger Straße,True,51.087377752691,265881,stele,False,frame_lock,4305,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.73007774353,False,1,ok,0,end,0,,7551004409,6,2019-04-27 22:40:00,0,False
DVB Trachenberger Straße,True,51.087377752691,265881,stele,False,frame_lock,4305,93462,5,0,,True,True,0,dresden,"{""undefined"": 1}",,13.73007774353,False,1,ok,0,last,0,,7551004409,6,2019-04-27 23:59:00,0,False
DVB Endpunkt Prohlis,True,50.999402205789,300244,,False,frame_lock,4430,93539,2,0,,True,True,15,dresden,"{""15"": 4}",,13.799300193787,False,4,ok,0,first,0,,7551006822,6,2019-04-27 00:00:00,0,False
DVB Endpunkt Prohlis,True,50.999402205789,300244,,False,frame_lock,4430,93539,2,0,,True,True,15,dresden,"{""15"": 4}",,13.799300193787,False,4,ok,0,start,0,,7551006822,6,2019-04-27 08:41:00,0,False
