p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 2}",True,0,13.7388753890991,False,0,7551003570,True,first,0,dresden,93183,False,frame_lock,0,,False,2,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-23 00:00:00,ok,71,40,
"{""71"": 4}",True,0,13.7388753890991,False,0,7551003570,True,last,0,dresden,93183,False,frame_lock,0,,False,4,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-23 23:59:00,ok,71,40,
"{""71"": 2}",True,0,13.7388753890991,False,0,7551002454,True,first,0,dresden,93481,False,frame_lock,0,,False,2,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-23 00:00:00,ok,71,40,
"{""71"": 2}",True,0,13.7388753890991,False,0,7551002454,True,start,0,dresden,93481,False,frame_lock,0,,False,2,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-23 04:31:00,ok,71,40,
"{""71"": 6}",True,0,13.7692809104919,False,0,7551002454,True,end,0,dresden,93481,False,frame_lock,0,,False,6,,True,0,0,,Gutenbergstraße,4389,51.0587713199203,2019-11-23 04:51:00,ok,71,264595,
"{""71"": 3}",True,0,13.7692809104919,False,0,7551002454,True,start,0,dresden,93481,False,frame_lock,0,,False,3,,True,0,0,,Gutenbergstraße,4389,51.0587713199203,2019-11-23 17:48:00,ok,71,264595,
"{""71"": 1}",False,0,13.754721111111,False,0,7551002454,True,end,0,dresden,93481,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93481,0,51.047168888889,2019-11-23 18:02:00,ok,71,25204006,
"{""71"": 2}",True,0,13.75599,False,0,7551002454,True,last,0,dresden,93481,False,frame_lock,0,,False,2,,True,0,0,free,Stadtteilzentrum Straßburger Platz,4468,51.04649,2019-11-23 23:59:00,ok,71,10299434,
"{""71"": 6}",True,0,13.7412196397781,False,0,7551003692,True,first,0,dresden,93262,False,frame_lock,0,,False,6,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-23 00:00:00,ok,71,73,
"{""71"": 10}",True,0,13.7412196397781,False,0,7551003692,True,start,0,dresden,93262,False,frame_lock,0,,False,10,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-23 01:50:00,ok,71,73,
"{""71"": 1}",True,0,13.751809000968931,False,0,7551003692,True,end,0,dresden,93262,False,frame_lock,0,,False,1,,True,0,0,,Alaunstraße,4374,51.066946872474276,2019-11-23 01:56:00,ok,71,264576,
"{""71"": 1}",True,0,13.751809000968931,False,0,7551003692,True,start,0,dresden,93262,False,frame_lock,0,,False,1,,True,0,0,,Alaunstraße,4374,51.066946872474276,2019-11-23 02:35:00,ok,71,264576,
"{""71"": 6}",True,0,13.72983,False,0,7551003692,True,end,0,dresden,93262,False,frame_lock,0,,False,6,,True,0,0,free,Alexander-Puschkin-Platz,4504,51.07035,2019-11-23 02:44:00,ok,71,10299848,
