p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 2}",True,0,13.7388753890991,False,0,7551002845,True,first,0,dresden,93077,False,frame_lock,0,,False,2,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-17 00:00:00,ok,71,40,
"{""71"": 1}",True,0,13.7388753890991,False,0,7551002845,True,start,0,dresden,93077,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-17 03:52:00,ok,71,40,
"{""71"": 1}",False,0,13.746516666667,False,0,7551002845,True,end,0,dresden,93077,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93077,0,51.060204444444,2019-11-17 04:11:00,ok,71,24946770,
"{""71"": 1}",False,0,13.74635,False,0,7551002845,True,start,0,dresden,93077,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93077,0,51.060048888889,2019-11-17 12:40:00,ok,71,24946770,
"{""71"": 1}",False,0,13.74595,False,0,7551002845,True,end,0,dresden,93077,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93077,0,51.056973333333,2019-11-17 12:43:00,ok,71,24956001,
"{""71"": 1}",False,0,13.746366666667,False,0,7551002845,True,last,0,dresden,93077,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93077,0,51.057302222222,2019-11-17 23:59:00,ok,71,24971852,
"{""71"": 2}",True,0,13.7388753890991,False,0,7551002970,True,first,0,dresden,93618,False,frame_lock,0,,False,2,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-17 00:00:00,ok,71,40,
"{""71"": 2}",True,0,13.7388753890991,False,0,7551002970,True,start,0,dresden,93618,False,frame_lock,0,,False,2,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-17 02:03:00,ok,71,40,
"{""71"": 1}",False,0,13.737835555556,False,0,7551002970,True,end,0,dresden,93618,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93618,0,51.044328888889,2019-11-17 02:25:00,ok,71,24944675,
"{""71"": 1}",False,0,13.734368888889,False,0,7551002970,True,start,0,dresden,93618,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93618,0,51.045142222222,2019-11-17 09:04:00,ok,71,24949271,
"{""71"": 5}",True,0,13.75599,False,0,7551002970,True,end,0,dresden,93618,False,frame_lock,0,,False,5,,True,0,0,free,Stadtteilzentrum Straßburger Platz,4468,51.04649,2019-11-17 09:14:00,ok,71,10299434,
"{""71"": 3}",True,0,13.75599,False,0,7551002970,True,start,0,dresden,93618,False,frame_lock,0,,False,3,,True,0,0,free,Stadtteilzentrum Straßburger Platz,4468,51.04649,2019-11-17 11:27:00,ok,71,10299434,
"{""71"": 8}",True,0,13.733623623847961,True,0,7551002970,True,end,0,dresden,93618,False,frame_lock,0,,False,8,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-17 11:39:00,ok,71,120,
"{""71"": 10}",True,0,13.733623623847961,True,0,7551002970,True,start,0,dresden,93618,False,frame_lock,0,,False,10,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-17 15:39:00,ok,71,120,
"{""71"": 1}",True,0,13.758975863456726,False,0,7551002970,True,end,0,dresden,93618,False,frame_lock,0,,False,1,,True,0,0,,Bischofsweg / Kamenzer Str.,4312,51.068905419326775,2019-11-17 15:53:00,ok,71,176054,
"{""71"": 1}",True,0,13.758975863456726,False,0,7551002970,True,start,0,dresden,93618,False,frame_lock,0,,False,1,,True,0,0,,Bischofsweg / Kamenzer Str.,4312,51.068905419326775,2019-11-17 15:54:00,ok,71,176054,
"{""71"": 5}",True,0,13.7495076656342,False,0,7551002970,True,end,0,dresden,93618,False,frame_lock,0,,False,5,,True,0,0,,Königsbrücker Platz,4308,51.0749827918118,2019-11-17 16:08:00,ok,71,14262,
"{""71"": 5}",True,0,13.7495076656342,False,0,7551002970,True,start,0,dresden,93618,False,frame_lock,0,,False,5,,True,0,0,,Königsbrücker Platz,4308,51.0749827918118,2019-11-17 16:45:00,ok,71,14262,
"{""71"": 1}",True,0,13.758975863456726,False,0,7551002970,True,end,0,dresden,93618,False,frame_lock,0,,False,1,,True,0,0,,Bischofsweg / Kamenzer Str.,4312,51.068905419326775,2019-11-17 16:52:00,ok,71,176054,
"{""71"": 7}",True,0,13.758975863456726,False,0,7551002970,True,last,0,dresden,93618,False,frame_lock,0,,False,7,,True,0,0,,Bischofsweg / Kamenzer Str.,4312,51.068905419326775,2019-11-17 23:59:00,ok,71,176054,
"{""71"": 5}",True,0,13.7412196397781,False,0,7551003397,True,first,0,dresden,93027,False,frame_lock,0,,False,5,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 00:00:00,ok,71,73,
"{""71"": 4}",True,0,13.7412196397781,False,0,7551003397,True,start,0,dresden,93027,False,frame_lock,0,,False,4,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 01:17:00,ok,71,73,
"{""71"": 1}",False,0,13.736865555556,False,0,7551003397,True,end,0,dresden,93027,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93027,0,51.063426666667,2019-11-17 01:20:00,ok,71,24943455,
"{""71"": 1}",False,0,13.737198888889,False,0,7551003397,True,last,0,dresden,93027,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93027,0,51.063551111111,2019-11-17 23:59:00,ok,71,24952029,
"{""71"": 5}",True,0,13.7412196397781,False,0,7551003692,True,first,0,dresden,93262,False,frame_lock,0,,False,5,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 00:00:00,ok,71,73,
"{""71"": 2}",True,0,13.7412196397781,False,0,7551003692,True,start,0,dresden,93262,False,frame_lock,0,,False,2,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 14:29:00,ok,71,73,
"{""71"": 3}",True,0,13.74754,False,0,7551003692,True,end,0,dresden,93262,False,frame_lock,0,,False,3,,True,0,0,free,Louisenstraße,4484,51.06798,2019-11-17 14:33:00,ok,71,10299599,
"{""71"": 2}",True,0,13.74754,False,0,7551003692,True,start,0,dresden,93262,False,frame_lock,0,,False,2,,True,0,0,free,Louisenstraße,4484,51.06798,2019-11-17 15:49:00,ok,71,10299599,
"{""71"": 1}",True,0,13.7412196397781,False,0,7551003692,True,end,0,dresden,93262,False,frame_lock,0,,False,1,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 15:53:00,ok,71,73,
"{""71"": 1}",True,0,13.7412196397781,False,0,7551003692,True,start,0,dresden,93262,False,frame_lock,0,,False,1,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 17:05:00,ok,71,73,
"{""71"": 1}",False,0,13.797424444444,False,0,7551003692,True,end,0,dresden,93262,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93262,0,51.047964444444,2019-11-17 17:39:00,ok,71,24965534,
"{""71"": 2}",True,0,13.7981843948364,False,0,7551003692,True,last,0,dresden,93262,False,frame_lock,0,,False,2,,True,0,0,,Eisenacher Straße,4326,51.0474108053519,2019-11-17 23:59:00,ok,71,122008,
"{""71"": 5}",True,0,13.7412196397781,False,0,7551006595,True,first,0,dresden,93559,False,frame_lock,0,,False,5,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 00:00:00,ok,71,73,
"{""71"": 4}",True,0,13.7412196397781,False,0,7551006595,True,start,0,dresden,93559,False,frame_lock,0,,False,4,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 01:03:00,ok,71,73,
"{""71"": 1}",True,0,13.739293813705444,False,0,7551006595,True,end,0,dresden,93559,False,frame_lock,0,,False,1,,True,0,0,,Palaisplatz,4403,51.060231225500615,2019-11-17 01:10:00,ok,71,38955,
"{""71"": 2}",True,0,13.739293813705444,False,0,7551006595,True,last,0,dresden,93559,False,frame_lock,0,,False,2,,True,0,0,,Palaisplatz,4403,51.060231225500615,2019-11-17 23:59:00,ok,71,38955,
"{""71"": 5}",True,0,13.7412196397781,False,0,7551007293,True,first,0,dresden,93663,False,frame_lock,0,,False,5,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 00:00:00,ok,71,73,
"{""71"": 3}",True,0,13.7412196397781,False,0,7551007293,True,start,0,dresden,93663,False,frame_lock,0,,False,3,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-17 11:28:00,ok,71,73,
