b_number,b_boardcomputer,p_booked_bikes,b_pedelec_battery,p_special_racks,p_bike_racks,p_uid,p_place_type,trip,b_battery_pack,p_bike_types,b_lock_types,p_name,p_bikes,p_bike,p_maintenance,b_state,p_address,p_lng,p_free_racks,b_bike_type,p_rack_locks,p_spot,b_active,datetime,p_number,p_terminal_type,p_free_special_racks,p_lat,city,b_electric_lock
93037,7551002340,0,,0,0,40,0,first,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 00:00:00,4306,,0,51.0741334233362,dresden,True
93037,7551002340,0,,0,0,40,0,start,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 04:07:00,4306,,0,51.0741334233362,dresden,True
93037,7551002340,0,,0,0,24674838,12,end,,"{""71"": 1}",frame_lock,BIKE 93037,1,True,False,ok,,13.72443,0,71,False,False,True,2019-11-10 04:17:00,0,,0,51.08868,dresden,True
93037,7551002340,0,,0,0,264558,0,start,,"{""71"": 2}",frame_lock,Hubertusplatz,2,False,False,ok,,13.72336685657501,0,71,False,True,True,2019-11-10 04:45:00,4356,,0,51.08974650394621,dresden,True
93037,7551002340,0,,0,0,264558,0,end,,"{""71"": 2}",frame_lock,Hubertusplatz,2,False,False,ok,,13.72336685657501,0,71,False,True,True,2019-11-10 04:47:00,4356,,0,51.08974650394621,dresden,True
93037,7551002340,0,,0,0,264558,0,start,,"{""71"": 2}",frame_lock,Hubertusplatz,2,False,False,ok,,13.72336685657501,0,71,False,True,True,2019-11-10 12:53:00,4356,,0,51.08974650394621,dresden,True
93037,7551002340,0,,0,0,264558,0,end,,"{""71"": 2}",frame_lock,Hubertusplatz,2,False,False,ok,,13.72336685657501,0,71,False,True,True,2019-11-10 12:55:00,4356,,0,51.08974650394621,dresden,True
93037,7551002340,0,,0,0,264558,0,start,,"{""71"": 2}",frame_lock,Hubertusplatz,2,False,False,ok,,13.72336685657501,0,71,False,True,True,2019-11-10 14:18:00,4356,,0,51.08974650394621,dresden,True
93037,7551002340,0,,0,0,24687903,12,end,,"{""71"": 1}",frame_lock,BIKE 93037,1,True,False,ok,,13.743701111111,0,71,False,False,True,2019-11-10 14:36:00,0,,0,51.060351111111,dresden,True
93037,7551002340,0,,0,4,300246,0,last,,"{""71"": 1}",frame_lock,Markthalle Dresden,1,False,False,ok,,13.745548725128174,3,71,False,True,True,2019-11-10 23:59:00,4432,stele,0,51.05990081210173,dresden,True
93654,7551004145,0,,0,0,40,0,first,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 00:00:00,4306,,0,51.0741334233362,dresden,True
93654,7551004145,0,,0,0,40,0,start,,"{""71"": 3}",frame_lock,NH-Hotel / Hansa Str. 43,3,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 04:45:00,4306,,0,51.0741334233362,dresden,True
93654,7551004145,0,,0,0,40,0,end,,"{""71"": 3}",frame_lock,NH-Hotel / Hansa Str. 43,3,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 04:47:00,4306,,0,51.0741334233362,dresden,True
93654,7551004145,0,,0,0,40,0,start,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 12:53:00,4306,,0,51.0741334233362,dresden,True
93654,7551004145,0,,0,0,40,0,end,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 12:55:00,4306,,0,51.0741334233362,dresden,True
93654,7551004145,0,,0,0,40,0,last,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 23:59:00,4306,,0,51.0741334233362,dresden,True
93763,7551006327,0,,0,0,40,0,first,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 00:00:00,4306,,0,51.0741334233362,dresden,True
93763,7551006327,0,,0,0,40,0,start,,"{""71"": 3}",frame_lock,NH-Hotel / Hansa Str. 43,3,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 04:45:00,4306,,0,51.0741334233362,dresden,True
93763,7551006327,0,,0,0,40,0,end,,"{""71"": 3}",frame_lock,NH-Hotel / Hansa Str. 43,3,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 04:47:00,4306,,0,51.0741334233362,dresden,True
93763,7551006327,0,,0,0,40,0,start,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 12:53:00,4306,,0,51.0741334233362,dresden,True
93763,7551006327,0,,0,0,40,0,end,,"{""71"": 4}",frame_lock,NH-Hotel / Hansa Str. 43,4,False,False,ok,,13.7388753890991,0,71,False,True,True,2019-11-10 12:55:00,4306,,0,51.0741334233362,dresden,True
