p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 21}",True,0,13.733623623847961,True,0,7551003747,True,first,0,dresden,93195,False,frame_lock,0,,False,21,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-21 00:00:00,ok,71,120,
"{""71"": 21}",True,0,13.733623623847961,True,0,7551003747,True,last,0,dresden,93195,False,frame_lock,0,,False,21,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-21 11:30:00,ok,71,120,
"{""71"": 21}",True,0,13.733623623847961,True,0,7551006677,True,first,0,dresden,93024,False,frame_lock,0,,False,21,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-21 00:00:00,ok,71,120,
"{""71"": 25}",True,0,13.733623623847961,True,0,7551006677,True,start,0,dresden,93024,False,frame_lock,0,,False,25,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-21 08:40:00,ok,71,120,
"{""71"": 2}",True,0,13.75082194805145,False,1,7551006677,True,end,0,dresden,93024,False,frame_lock,0,,False,2,,True,0,0,,Teplitzer Str. / Reichenbachstr.,4384,51.03090291415399,2019-11-21 09:02:00,ok,71,264588,
"{""71"": 2}",True,0,13.75082194805145,False,1,7551006677,True,start,0,dresden,93024,False,frame_lock,0,,False,2,,True,0,0,,Teplitzer Str. / Reichenbachstr.,4384,51.03090291415399,2019-11-21 09:13:00,ok,71,264588,
"{""71"": 4}",True,0,13.7769949436188,False,0,7551006677,True,end,0,dresden,93024,False,frame_lock,0,,False,4,,True,0,0,,Tatzberg,4396,51.0559424111161,2019-11-21 09:28:00,ok,71,264603,
"{""71"": 4}",True,0,13.7769949436188,False,0,7551006677,True,start,0,dresden,93024,False,frame_lock,0,,False,4,,True,0,0,,Tatzberg,4396,51.0559424111161,2019-11-21 16:56:00,ok,71,264603,
"{""71"": 2}",True,0,13.736576,False,0,7551006677,True,end,0,dresden,93024,False,frame_lock,0,,False,2,,True,0,7,,Ibis Hotel Königstein / Prager Straße,4417,51.046156,2019-11-21 17:11:00,ok,71,14103,
"{""71"": 2}",True,0,13.736576,False,0,7551006677,True,start,0,dresden,93024,False,frame_lock,0,,False,2,,True,0,7,,Ibis Hotel Königstein / Prager Straße,4417,51.046156,2019-11-21 17:31:00,ok,71,14103,
"{""71"": 1}",False,0,13.737178888889,False,0,7551006677,True,end,0,dresden,93024,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93024,0,51.043724444444,2019-11-21 17:53:00,ok,71,25121699,
"{""71"": 7}",True,0,13.7363541126251,False,0,7551006677,True,start,0,dresden,93024,False,frame_lock,0,,False,7,,True,0,0,,Vapiano / Prager Str.,4402,51.0445980659557,2019-11-21 23:40:00,ok,71,127640,
"{""71"": 1}",True,0,13.7229108810425,False,0,7551006677,True,end,0,dresden,93024,False,frame_lock,0,,False,1,,True,0,0,free,Nürnberger Ei,4348,51.03376708728,2019-11-21 23:50:00,ok,71,264548,
