b_number,b_boardcomputer,p_booked_bikes,b_pedelec_battery,p_special_racks,p_bike_racks,p_uid,p_place_type,trip,b_battery_pack,p_bike_types,b_lock_types,p_name,p_bikes,p_bike,p_maintenance,b_state,p_address,p_lng,p_free_racks,b_bike_type,p_rack_locks,p_spot,b_active,datetime,p_number,p_terminal_type,p_free_special_racks,p_lat,city,b_electric_lock
93507,7551002996,0,,0,0,120,0,first,,"{""71"": 1}",frame_lock,Hauptbahnhof,1,False,True,ok,,13.733623623847961,0,71,False,True,True,2019-11-05 00:00:00,4313,,0,51.040476453474334,dresden,True
93507,7551002996,0,,0,0,120,0,start,,"{""71"": 1}",frame_lock,Hauptbahnhof,1,False,True,ok,,13.733623623847961,0,71,False,True,True,2019-11-05 01:13:00,4313,,0,51.040476453474334,dresden,True
93507,7551002996,0,,0,0,264576,0,end,,"{""71"": 7}",frame_lock,Alaunstraße,7,False,False,ok,,13.751809000968931,0,71,False,True,True,2019-11-05 01:31:00,4374,,0,51.066946872474276,dresden,True
93507,7551002996,0,,0,0,264576,0,start,,"{""71"": 6}",frame_lock,Alaunstraße,6,False,False,ok,,13.751809000968931,0,71,False,True,True,2019-11-05 08:25:00,4374,,0,51.066946872474276,dresden,True
93507,7551002996,0,,0,0,264576,0,end,,"{""71"": 5}",frame_lock,Alaunstraße,5,False,False,ok,,13.751809000968931,0,71,False,True,True,2019-11-05 09:43:00,4374,,0,51.066946872474276,dresden,True
93507,7551002996,0,,0,0,264576,0,start,,"{""71"": 1}",frame_lock,Alaunstraße,1,False,False,ok,,13.751809000968931,0,71,False,True,True,2019-11-05 13:59:00,4374,,0,51.066946872474276,dresden,True
93507,7551002996,0,,0,0,24483483,12,end,,"{""71"": 1}",frame_lock,BIKE 93507,1,True,False,ok,,13.729321111111,0,71,False,False,True,2019-11-05 14:15:00,0,,0,51.052942222222,dresden,True
93507,7551002996,0,,0,0,24483757,12,start,,"{""71"": 1}",frame_lock,BIKE 93507,1,True,False,ok,,13.730416666667,0,71,False,False,True,2019-11-05 21:47:00,0,,0,51.052755555556,dresden,True
93507,7551002996,0,,0,0,264586,0,end,,"{""71"": 1}",frame_lock,Nürnberger Platz,1,False,False,ok,,13.726285099983214,0,71,False,True,True,2019-11-05 22:26:00,4382,free,0,51.031520295058236,dresden,True
93507,7551002996,0,,0,0,264586,0,last,,"{""71"": 2}",frame_lock,Nürnberger Platz,2,False,False,ok,,13.726285099983214,0,71,False,True,True,2019-11-05 23:59:00,4382,free,0,51.031520295058236,dresden,True
93499,7551007212,0,,0,0,820,0,first,,"{""71"": 1}",frame_lock,Jugendgästehaus Maternistr. 22,1,False,False,ok,,13.723669,0,71,False,True,True,2019-11-05 00:00:00,4416,,0,51.048962,dresden,True
93499,7551007212,1,,0,0,820,0,start,,"{""71"": 1}",frame_lock,Jugendgästehaus Maternistr. 22,1,False,False,ok,,13.723669,0,71,False,True,True,2019-11-05 08:58:00,4416,,0,51.048962,dresden,True
93499,7551007212,0,,0,0,14103,7,end,,"{""71"": 2}",frame_lock,Ibis Hotel Königstein / Prager Straße,2,False,False,ok,,13.736576,0,71,False,True,True,2019-11-05 09:07:00,4417,,0,51.046156,dresden,True
93499,7551007212,0,,0,0,14103,7,start,,"{""71"": 2}",frame_lock,Ibis Hotel Königstein / Prager Straße,2,False,False,ok,,13.736576,0,71,False,True,True,2019-11-05 13:12:00,4417,,0,51.046156,dresden,True
93499,7551007212,0,,0,0,24481551,12,end,,"{""71"": 1}",frame_lock,BIKE 93499,1,True,False,ok,,13.738293333333,0,71,False,False,True,2019-11-05 13:28:00,0,,0,51.029173333333,dresden,True
93499,7551007212,0,,0,0,24481551,12,start,,"{""71"": 1}",frame_lock,BIKE 93499,1,True,False,ok,,13.738303333333,0,71,False,False,True,2019-11-05 13:37:00,0,,0,51.029262222222,dresden,True
93499,7551007212,0,,0,0,24482703,12,end,,"{""71"": 1}",frame_lock,BIKE 93499,1,True,False,ok,,13.70153,0,71,False,False,True,2019-11-05 13:55:00,0,,0,51.043253333333,dresden,True
93499,7551007212,0,,0,0,310790,0,last,,"{""15"": 1, ""71"": 2}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,3,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-05 23:59:00,4436,,0,51.0440355,dresden,True
93252,7551002457,0,,0,0,2985,0,first,,"{""71"": 2}",frame_lock,Albertplatz,2,False,False,ok,,13.747313618659973,0,71,False,True,True,2019-11-05 00:00:00,4302,,0,51.06389595884549,dresden,True
93252,7551002457,0,,0,0,2985,0,start,,"{""71"": 5}",frame_lock,Albertplatz,5,False,False,ok,,13.747313618659973,0,71,False,True,True,2019-11-05 15:49:00,4302,,0,51.06389595884549,dresden,True
93252,7551002457,0,,0,0,24488010,12,end,,"{""71"": 1}",frame_lock,BIKE 93252,1,True,False,ok,,13.73645,0,71,False,False,True,2019-11-05 16:00:00,0,,0,51.048315555556,dresden,True
93252,7551002457,0,,0,0,43026,0,start,,"{""15"": 1, ""71"": 2}",frame_lock,Altmarkt / Seestraße ,3,False,False,ok,,13.7369441986084,0,71,False,True,True,2019-11-05 17:10:00,4413,,0,51.0494275085582,dresden,True
93252,7551002457,0,,0,0,2985,0,end,,"{""71"": 6}",frame_lock,Albertplatz,6,False,False,ok,,13.747313618659973,0,71,False,True,True,2019-11-05 17:22:00,4302,,0,51.06389595884549,dresden,True
