p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 1}",True,0,13.7388753890991,False,0,7551005447,True,first,0,dresden,93423,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-20 00:00:00,ok,71,40,
"{""71"": 1}",True,0,13.7388753890991,False,0,7551005447,True,start,0,dresden,93423,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-20 02:37:00,ok,71,40,
"{""71"": 3}",True,0,13.72336685657501,False,0,7551005447,True,end,0,dresden,93423,False,frame_lock,0,,False,3,,True,0,0,,Hubertusplatz,4356,51.08974650394621,2019-11-20 02:47:00,ok,71,264558,
"{""71"": 3}",True,0,13.72336685657501,False,0,7551005447,True,last,0,dresden,93423,False,frame_lock,0,,False,3,,True,0,0,,Hubertusplatz,4356,51.08974650394621,2019-11-20 23:59:00,ok,71,264558,
"{""71"": 1}",True,0,13.7412196397781,False,0,7551016026,True,first,0,dresden,93847,False,frame_lock,0,,False,1,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-20 00:00:00,ok,71,73,
"{""71"": 1}",True,0,13.7412196397781,False,0,7551016026,True,start,0,dresden,93847,False,frame_lock,0,,False,1,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-20 00:12:00,ok,71,73,
"{""71"": 2}",True,0,13.75129,False,0,7551016026,True,end,0,dresden,93847,False,frame_lock,0,,False,2,,True,0,0,free,Bautzner Straße / Rothenburger Straße,4482,51.06294,2019-11-20 00:18:00,ok,71,10299563,
"{""71"": 1}",True,0,13.75129,False,0,7551016026,True,start,0,dresden,93847,False,frame_lock,0,,False,1,,True,0,0,free,Bautzner Straße / Rothenburger Straße,4482,51.06294,2019-11-20 02:07:00,ok,71,10299563,
"{""71"": 1}",False,0,13.744435555556,False,0,7551016026,True,end,0,dresden,93847,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93847,0,51.052777777778,2019-11-20 02:22:00,ok,71,25051467,
"{""71"": 1}",False,0,13.744053333333,False,0,7551016026,True,start,0,dresden,93847,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93847,0,51.052862222222,2019-11-20 02:29:00,ok,71,25051467,
"{""71"": 5}",True,0,13.74415397644043,False,0,7551016026,True,end,0,dresden,93847,False,frame_lock,0,,False,5,,True,0,0,,Pirnaischer Platz,4315,51.04897224042478,2019-11-20 02:36:00,ok,71,9972732,
"{""71"": 4}",True,0,13.74415397644043,False,0,7551016026,True,start,0,dresden,93847,False,frame_lock,0,,False,4,,True,0,0,,Pirnaischer Platz,4315,51.04897224042478,2019-11-20 03:32:00,ok,71,9972732,
