p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 1}",True,0,13.7388753890991,False,0,7551005447,True,first,0,dresden,93423,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-19 00:00:00,ok,71,40,
"{""71"": 1}",True,0,13.7388753890991,False,0,7551005447,True,last,0,dresden,93423,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-19 23:59:00,ok,71,40,
"{""71"": 1}",True,0,13.7412196397781,False,0,7551006213,True,first,0,dresden,93770,False,frame_lock,0,,False,1,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-19 00:00:00,ok,71,73,
"{""71"": 1}",True,0,13.7412196397781,False,0,7551006213,True,start,0,dresden,93770,False,frame_lock,0,,False,1,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-19 00:16:00,ok,71,73,
"{""71"": 4}",True,0,13.7495076656342,False,0,7551006213,True,end,0,dresden,93770,False,frame_lock,0,,False,4,,True,0,0,,Königsbrücker Platz,4308,51.0749827918118,2019-11-19 00:22:00,ok,71,14262,
"{""71"": 2}",True,0,13.7495076656342,False,0,7551006213,True,start,0,dresden,93770,False,frame_lock,0,,False,2,,True,0,0,,Königsbrücker Platz,4308,51.0749827918118,2019-11-19 11:21:00,ok,71,14262,
"{""71"": 1}",False,0,13.748693333333,False,0,7551006213,True,end,0,dresden,93770,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93770,0,51.069368888889,2019-11-19 11:26:00,ok,71,25022317,
"{""71"": 1}",False,0,13.748623333333,False,0,7551006213,True,start,0,dresden,93770,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93770,0,51.069302222222,2019-11-19 11:33:00,ok,71,25022317,
"{""71"": 7}",True,0,13.75137984752655,False,0,7551006213,True,end,0,dresden,93770,False,frame_lock,0,,False,7,,True,0,0,,Park Inn,4423,51.060089620046995,2019-11-19 11:42:00,ok,71,273621,
"{""71"": 6}",True,0,13.75137984752655,False,0,7551006213,True,last,0,dresden,93770,False,frame_lock,0,,False,6,,True,0,0,,Park Inn,4423,51.060089620046995,2019-11-19 23:59:00,ok,71,273621,
"{""71"": 1}",True,0,13.771276473999,False,0,7551002493,True,first,0,dresden,93762,False,frame_lock,0,,False,1,,True,0,0,,Fetscherplatz,4325,51.0466418719772,2019-11-19 00:00:00,ok,71,6768,
"{""71"": 1}",True,0,13.771276473999,False,0,7551002493,True,start,0,dresden,93762,False,frame_lock,0,,False,1,,True,0,0,,Fetscherplatz,4325,51.0466418719772,2019-11-19 14:25:00,ok,71,6768,
"{""71"": 2}",True,0,13.7325990200043,False,0,7551002493,True,end,0,dresden,93762,False,frame_lock,0,,False,2,,True,0,0,,Postplatz / Staatsschauspiel Dresden,4411,51.0518690183409,2019-11-19 14:46:00,ok,71,10924,
