p_bike_types,p_spot,p_bike_racks,p_lng,p_maintenance,p_booked_bikes,b_boardcomputer,b_active,trip,p_free_special_racks,city,b_number,p_bike,b_lock_types,p_free_racks,b_pedelec_battery,p_rack_locks,p_bikes,b_battery_pack,b_electric_lock,p_special_racks,p_place_type,p_terminal_type,p_name,p_number,p_lat,datetime,b_state,b_bike_type,p_uid,p_address
"{""71"": 1}",True,0,13.7388753890991,False,0,7551003799,True,first,0,dresden,93264,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-29 00:00:00,ok,71,40,
"{""71"": 1}",True,0,13.7388753890991,False,0,7551003799,True,start,0,dresden,93264,False,frame_lock,0,,False,1,,True,0,0,,NH-Hotel / Hansa Str. 43,4306,51.0741334233362,2019-11-29 07:12:00,ok,71,40,
"{""71"": 14}",True,0,13.781125545501709,False,0,7551003799,True,end,0,dresden,93264,False,frame_lock,0,,False,14,,True,0,0,,Uniklinikum,4395,51.05422272773753,2019-11-29 07:39:00,ok,71,264602,
"{""71"": 18}",True,0,13.781125545501709,False,0,7551003799,True,start,0,dresden,93264,False,frame_lock,0,,False,18,,True,0,0,,Uniklinikum,4395,51.05422272773753,2019-11-29 11:21:00,ok,71,264602,
"{""71"": 7}",True,0,13.74773,False,0,7551003799,True,end,0,dresden,93264,False,frame_lock,0,,False,7,,True,0,0,free,Wundtstr. / Zellescher Weg,4458,51.02837,2019-11-29 11:42:00,ok,71,4405670,
"{""71"": 7}",True,0,13.74773,False,0,7551003799,True,start,0,dresden,93264,False,frame_lock,0,,False,7,,True,0,0,free,Wundtstr. / Zellescher Weg,4458,51.02837,2019-11-29 12:47:00,ok,71,4405670,
"{""71"": 7}",True,0,13.74773,False,0,7551003799,True,end,0,dresden,93264,False,frame_lock,0,,False,7,,True,0,0,free,Wundtstr. / Zellescher Weg,4458,51.02837,2019-11-29 12:49:00,ok,71,4405670,
"{""71"": 7}",True,0,13.74773,False,0,7551003799,True,start,0,dresden,93264,False,frame_lock,0,,False,7,,True,0,0,free,Wundtstr. / Zellescher Weg,4458,51.02837,2019-11-29 12:54:00,ok,71,4405670,
"{""71"": 7}",True,0,13.74773,False,0,7551003799,True,end,0,dresden,93264,False,frame_lock,0,,False,7,,True,0,0,free,Wundtstr. / Zellescher Weg,4458,51.02837,2019-11-29 12:56:00,ok,71,4405670,
"{""71"": 9}",True,0,13.74773,False,0,7551003799,True,start,0,dresden,93264,False,frame_lock,0,,False,9,,True,0,0,free,Wundtstr. / Zellescher Weg,4458,51.02837,2019-11-29 16:47:00,ok,71,4405670,
"{""71"": 25}",True,0,13.733623623847961,True,0,7551003799,True,end,0,dresden,93264,False,frame_lock,0,,False,25,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-29 16:56:00,ok,71,120,
"{""71"": 17}",True,0,13.733623623847961,True,0,7551003799,True,start,0,dresden,93264,False,frame_lock,0,,False,17,,True,0,0,,Hauptbahnhof,4313,51.040476453474334,2019-11-29 23:19:00,ok,71,120,
"{""71"": 9}",True,0,13.751809000968931,False,0,7551003799,True,end,0,dresden,93264,False,frame_lock,0,,False,9,,True,0,0,,Alaunstraße,4374,51.066946872474276,2019-11-29 23:33:00,ok,71,264576,
"{""71"": 7}",True,0,13.751809000968931,False,0,7551003799,True,last,0,dresden,93264,False,frame_lock,0,,False,7,,True,0,0,,Alaunstraße,4374,51.066946872474276,2019-11-29 23:59:00,ok,71,264576,
"{""71"": 2}",True,0,13.7412196397781,False,0,7551006403,True,first,0,dresden,93731,False,frame_lock,0,,False,2,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-29 00:00:00,ok,71,73,
"{""71"": 3}",True,0,13.7412196397781,False,0,7551006403,True,start,0,dresden,93731,False,frame_lock,0,,False,3,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-29 11:13:00,ok,71,73,
"{""71"": 1}",False,0,13.727561111111,False,0,7551006403,True,end,0,dresden,93731,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93731,0,51.08116,2019-11-29 11:32:00,ok,71,25439802,
"{""71"": 1}",False,0,13.727602222222,False,0,7551006403,True,start,0,dresden,93731,True,frame_lock,0,,False,1,,True,0,12,,BIKE 93731,0,51.081128888889,2019-11-29 12:46:00,ok,71,25439802,
"{""71"": 5}",True,0,13.7412196397781,False,0,7551006403,True,end,0,dresden,93731,False,frame_lock,0,,False,5,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-29 12:59:00,ok,71,73,
"{""71"": 2}",True,0,13.7412196397781,False,0,7551006403,True,start,0,dresden,93731,False,frame_lock,0,,False,2,,True,0,0,free,Bf. Dresden-Neustadt,4332,51.0651837723282,2019-11-29 13:15:00,ok,71,73,
"{""71"": 6}",True,0,13.7372446060181,False,0,7551006403,True,end,0,dresden,93731,False,frame_lock,0,,False,6,,True,0,0,,Theaterplatz / Semperoper,4406,51.0542867955185,2019-11-29 13:27:00,ok,71,14266,
"{""71"": 6}",True,0,13.7372446060181,False,0,7551006403,True,start,0,dresden,93731,False,frame_lock,0,,False,6,,True,0,0,,Theaterplatz / Semperoper,4406,51.0542867955185,2019-11-29 15:17:00,ok,71,14266,
"{""71"": 1}",True,0,13.74754,False,0,7551006403,True,end,0,dresden,93731,False,frame_lock,0,,False,1,,True,0,0,free,Louisenstraße,4484,51.06798,2019-11-29 15:39:00,ok,71,10299599,
"{""71"": 1}",True,0,13.74754,False,0,7551006403,True,start,0,dresden,93731,False,frame_lock,0,,False,1,,True,0,0,free,Louisenstraße,4484,51.06798,2019-11-29 15:42:00,ok,71,10299599,
"{""71"": 7}",True,0,13.69296669960022,False,0,7551006403,True,end,0,dresden,93731,False,frame_lock,0,,False,7,,True,0,0,,Conertplatz,4437,51.04600108441405,2019-11-29 16:06:00,ok,71,310791,
"{""71"": 9}",True,0,13.69296669960022,False,0,7551006403,True,last,0,dresden,93731,False,frame_lock,0,,False,9,,True,0,0,,Conertplatz,4437,51.04600108441405,2019-11-29 23:59:00,ok,71,310791,
