p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,free,0,4496,False,10299726,ok,93346,0,7551005453,2019-03-24 00:00:00,13.71493,,True,True,False,5,first,dresden,0,Manitiusstraße,0,51.05658,0,"{""undefined"": 1, ""15"": 4}"
True,frame_lock,False,0,free,0,4496,False,10299726,ok,93346,0,7551005453,2019-03-24 23:59:00,13.71493,,True,True,False,5,last,dresden,0,Manitiusstraße,0,51.05658,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,,0,4438,False,310792,ok,93625,0,7551005239,2019-03-24 00:00:00,13.701678514481,,True,True,False,1,first,dresden,0,Bonhoeffer Platz,15,51.038466106821,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4438,False,310792,ok,93625,0,7551005239,2019-03-24 13:23:00,13.701678514481,,True,True,False,2,start,dresden,0,Bonhoeffer Platz,15,51.038466106821,0,"{""15"": 2}"
False,frame_lock,False,0,,12,0,False,13666304,ok,93625,0,7551005239,2019-03-24 13:30:00,13.709366666667,,True,True,True,1,end,dresden,0,BIKE 93625,15,51.044906666667,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13678750,ok,93625,0,7551005239,2019-03-24 23:59:00,13.708704444444,,True,True,True,1,last,dresden,0,BIKE 93625,15,51.04536,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13643071,ok,93153,0,7551006387,2019-03-24 00:00:00,13.714534444444,,True,True,True,1,first,dresden,0,BIKE 93153,0,51.061026666667,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13681523,ok,93153,0,7551006387,2019-03-24 23:59:00,13.715314444444,,True,True,True,1,last,dresden,0,BIKE 93153,0,51.060555555556,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4392,False,264599,ok,93766,0,7551002605,2019-03-24 00:00:00,13.777724504471,,True,True,False,2,first,dresden,0,Mosenstraße,15,51.044739718786,0,"{""15"": 2}"
True,frame_lock,False,0,,0,4392,False,264599,ok,93766,0,7551002605,2019-03-24 10:20:00,13.777724504471,,True,True,False,2,start,dresden,0,Mosenstraße,15,51.044739718786,0,"{""15"": 2}"
True,frame_lock,False,0,,0,4326,False,122008,ok,93766,0,7551002605,2019-03-24 10:30:00,13.798184394836,,True,True,False,1,end,dresden,0,Eisenacher Straße,15,51.047410805352,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4326,False,122008,ok,93766,0,7551002605,2019-03-24 23:59:00,13.798184394836,,True,True,False,1,last,dresden,0,Eisenacher Straße,15,51.047410805352,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4300,False,338637,ok,93812,0,7551003389,2019-03-24 00:00:00,13.722803592682,,True,True,False,1,first,dresden,0,Bhf. Mitte - Weißeritzstraße,15,51.055706379924,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4300,False,338637,ok,93812,0,7551003389,2019-03-24 00:58:00,13.722803592682,,True,True,False,1,start,dresden,0,Bhf. Mitte - Weißeritzstraße,15,51.055706379924,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13652505,ok,93812,0,7551003389,2019-03-24 01:14:00,13.730457777778,,True,True,True,1,end,dresden,0,BIKE 93812,15,51.081275555556,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13654022,ok,93812,0,7551003389,2019-03-24 07:24:00,13.731661111111,,True,True,True,1,start,dresden,0,BIKE 93812,15,51.080968888889,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13657583,ok,93812,0,7551003389,2019-03-24 07:37:00,13.73291,,True,True,True,1,end,dresden,0,BIKE 93812,15,51.066484444444,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13658535,ok,93812,0,7551003389,2019-03-24 11:59:00,13.733876666667,,True,True,True,1,start,dresden,0,BIKE 93812,15,51.065844444444,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4416,False,820,ok,93812,0,7551003389,2019-03-24 12:11:00,13.723669,,True,True,False,1,end,dresden,0,Jugendgästehaus Maternistr. 22,15,51.048962,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13674298,ok,93812,0,7551003389,2019-03-24 18:09:00,13.723196666667,,True,True,True,1,start,dresden,0,BIKE 93812,15,51.04824,0,"{""15"": 1}"
True,frame_lock,False,0,free,0,4504,False,10299848,ok,93812,0,7551003389,2019-03-24 18:25:00,13.72983,,True,True,False,3,end,dresden,0,Alexander-Puschkin-Platz,15,51.07035,0,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,free,0,4504,False,10299848,ok,93812,0,7551003389,2019-03-24 18:39:00,13.72983,,True,True,False,3,start,dresden,0,Alexander-Puschkin-Platz,15,51.07035,0,"{""undefined"": 1, ""15"": 2}"
True,frame_lock,False,0,,0,4374,False,264576,ok,93812,0,7551003389,2019-03-24 18:54:00,13.751809000969,,True,True,False,3,end,dresden,0,Alaunstraße,15,51.066946872474,0,"{""15"": 3}"
True,frame_lock,False,0,,0,4374,False,264576,ok,93812,0,7551003389,2019-03-24 20:20:00,13.751809000969,,True,True,False,2,start,dresden,0,Alaunstraße,15,51.066946872474,0,"{""15"": 2}"
