p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,free,0,4505,False,10299865,ok,93153,0,7551006387,2019-03-06 00:00:00,13.767585754395,,True,True,False,4,first,dresden,0,Altleubitz,0,51.01559733604,0,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,free,0,4505,False,10299865,ok,93153,0,7551006387,2019-03-06 17:48:00,13.767585754395,,True,True,False,4,start,dresden,0,Altleubitz,0,51.01559733604,0,"{""undefined"": 3, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13191910,ok,93153,0,7551006387,2019-03-06 18:07:00,13.734732222222,,True,True,True,1,end,dresden,0,BIKE 93153,0,51.048706666667,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13191910,ok,93153,0,7551006387,2019-03-06 21:38:00,13.73456,,True,True,True,1,start,dresden,0,BIKE 93153,0,51.048677777778,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4380,False,264583,ok,93153,0,7551006387,2019-03-06 21:49:00,13.725271224976,,True,True,False,1,end,dresden,0,Leubnitzer Straße,0,51.037670039406,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4380,False,264583,ok,93153,0,7551006387,2019-03-06 23:59:00,13.725271224976,,True,True,False,1,last,dresden,0,Leubnitzer Straße,0,51.037670039406,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13165535,ok,93616,0,7551006429,2019-03-06 00:00:00,13.717911388889,,True,True,True,1,first,dresden,0,BIKE 93616,15,51.02732,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13194089,ok,93616,0,7551006429,2019-03-06 23:04:00,13.717917222222,,True,True,True,1,start,dresden,0,BIKE 93616,15,51.027355555556,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4385,False,264589,ok,93616,0,7551006429,2019-03-06 23:19:00,13.758868575096,,True,True,False,4,end,dresden,0,Wasaplatz,15,51.028122911363,0,"{""undefined"": 1, ""15"": 3}"
True,frame_lock,False,0,,0,4385,False,264589,ok,93616,0,7551006429,2019-03-06 23:59:00,13.758868575096,,True,True,False,4,last,dresden,0,Wasaplatz,15,51.028122911363,0,"{""undefined"": 1, ""15"": 3}"
True,frame_lock,False,6,,0,4303,False,265880,ok,93362,1,7551005456,2019-03-06 00:00:00,13.728811740875,,True,True,False,5,first,dresden,0,Sächsische Zeitung / Haus der Presse,0,51.057284394171,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,6,,0,4303,False,265880,ok,93362,5,7551005456,2019-03-06 17:49:00,13.728811740875,,True,True,False,1,start,dresden,0,Sächsische Zeitung / Haus der Presse,0,51.057284394171,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13191503,ok,93362,0,7551005456,2019-03-06 17:51:00,13.727751111111,,True,True,True,1,end,dresden,0,BIKE 93362,0,51.057293333333,0,"{""undefined"": 1}"
